"Mach","Pressure","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.27388,8.8264e+05,1,0.038848,0.038848,0,0
0.27467,8.8251e+05,1,0.038971,0.038971,0,0
0.27545,8.8239e+05,1,0.039094,0.039094,0,0
0.27624,8.8227e+05,1,0.039217,0.039217,0,0
0.27703,8.8215e+05,1,0.03934,0.03934,0,0
0.27782,8.8203e+05,1,0.039463,0.039463,0,0
0.27861,8.819e+05,1,0.039586,0.039586,0,0
0.27942,8.8178e+05,1,0.039709,0.039709,0,0
0.28025,8.8164e+05,1,0.039832,0.039832,0,0
0.28109,8.8151e+05,1,0.039954,0.039954,0,0
0.28192,8.8137e+05,1,0.040077,0.040077,0,0
0.28276,8.8123e+05,1,0.0402,0.0402,0,0
0.28361,8.8109e+05,1,0.040323,0.040323,0,0
0.28445,8.8095e+05,1,0.040446,0.040446,0,0
0.2853,8.808e+05,1,0.040569,0.040569,0,0
0.28615,8.8066e+05,1,0.040692,0.040692,0,0
0.28701,8.8052e+05,1,0.040815,0.040815,0,0
0.28786,8.8038e+05,1,0.040938,0.040938,0,0
0.28872,8.8024e+05,1,0.041061,0.041061,0,0
0.28958,8.801e+05,1,0.041184,0.041184,0,0
0.29046,8.7996e+05,1,0.041307,0.041307,0,0
0.29135,8.7982e+05,1,0.04143,0.04143,0,0
0.29223,8.7968e+05,1,0.041553,0.041553,0,0
0.29312,8.7954e+05,1,0.041676,0.041676,0,0
0.29403,8.7938e+05,1,0.041799,0.041799,0,0
0.29495,8.7922e+05,1,0.041921,0.041921,0,0
0.29586,8.7907e+05,1,0.042044,0.042044,0,0
0.29678,8.7891e+05,1,0.042167,0.042167,0,0
0.2977,8.7872e+05,1,0.04229,0.04229,0,0
0.29862,8.7853e+05,1,0.042413,0.042413,0,0
0.29954,8.7834e+05,1,0.042536,0.042536,0,0
0.30047,8.7817e+05,1,0.042659,0.042659,0,0
0.30143,8.7802e+05,1,0.042782,0.042782,0,0
0.30239,8.7787e+05,1,0.042905,0.042905,0,0
0.30335,8.7772e+05,1,0.043028,0.043028,0,0
0.30431,8.7757e+05,1,0.043151,0.043151,0,0
0.30527,8.7743e+05,1,0.043274,0.043274,0,0
0.30623,8.7728e+05,1,0.043397,0.043397,0,0
0.30719,8.7713e+05,1,0.04352,0.04352,0,0
0.30816,8.7697e+05,1,0.043643,0.043643,0,0
0.30918,8.7677e+05,1,0.043766,0.043766,0,0
0.31019,8.7657e+05,1,0.043888,0.043888,0,0
0.31121,8.7637e+05,1,0.044011,0.044011,0,0
0.31223,8.7618e+05,1,0.044134,0.044134,0,0
