"Density","Mach","Pressure","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
5.856,0.1595,98758,1,0,0,0,0
5.856,0.15958,98758,1,0.00061468,0.00061468,0,0
5.856,0.15967,98757,1,0.0012294,0.0012294,0,0
5.856,0.15975,98757,1,0.0018441,0.0018441,0,0
5.8558,0.15988,98754,1,0.0024587,0.0024587,0,0
5.8556,0.16003,98751,1,0.0030734,0.0030734,0,0
5.8554,0.1602,98749,1,0.0036881,0.0036881,0,0
5.8552,0.16041,98746,1,0.0043028,0.0043028,0,0
5.855,0.16066,98741,1,0.0049175,0.0049175,0,0
5.8547,0.16096,98737,1,0.0055322,0.0055322,0,0
5.8544,0.16127,98732,1,0.0061468,0.0061468,0,0
5.8541,0.16162,98726,1,0.0067615,0.0067615,0,0
5.8537,0.16201,98720,1,0.0073762,0.0073762,0,0
5.8533,0.16242,98714,1,0.0079909,0.0079909,0,0
5.8529,0.16288,98706,1,0.0086056,0.0086056,0,0
5.8524,0.16338,98698,1,0.0092203,0.0092203,0,0
5.8519,0.16391,98690,1,0.0098349,0.0098349,0,0
5.8514,0.16448,98681,1,0.01045,0.01045,0,0
5.8508,0.16508,98672,1,0.011064,0.011064,0,0
5.8502,0.16573,98662,1,0.011679,0.011679,0,0
5.8495,0.16642,98651,1,0.012294,0.012294,0,0
5.8488,0.16714,98639,1,0.012908,0.012908,0,0
5.8481,0.16793,98627,1,0.013523,0.013523,0,0
5.8473,0.16874,98614,1,0.014138,0.014138,0,0
5.8464,0.16959,98599,1,0.014752,0.014752,0,0
5.8455,0.17049,98585,1,0.015367,0.015367,0,0
5.8446,0.17142,98570,1,0.015982,0.015982,0,0
5.8436,0.1724,98553,1,0.016596,0.016596,0,0
5.8426,0.17342,98536,1,0.017211,0.017211,0,0
5.8415,0.17448,98518,1,0.017826,0.017826,0,0
5.8404,0.1756,98500,1,0.018441,0.018441,0,0
5.8392,0.17675,98480,1,0.019055,0.019055,0,0
5.8379,0.17796,98459,1,0.01967,0.01967,0,0
5.8366,0.17922,98437,1,0.020285,0.020285,0,0
5.8353,0.18051,98415,1,0.020899,0.020899,0,0
5.8338,0.18188,98391,1,0.021514,0.021514,0,0
5.8323,0.18329,98366,1,0.022129,0.022129,0,0
5.8307,0.18474,98340,1,0.022743,0.022743,0,0
5.829,0.18628,98312,1,0.023358,0.023358,0,0
5.8273,0.18786,98283,1,0.023973,0.023973,0,0
5.8255,0.18951,98253,1,0.024587,0.024587,0,0
5.8236,0.19124,98222,1,0.025202,0.025202,0,0
5.8216,0.193,98189,1,0.025817,0.025817,0,0
5.8196,0.19485,98155,1,0.026431,0.026431,0,0
5.8174,0.19676,98119,1,0.027046,0.027046,0,0
5.8151,0.19874,98082,1,0.027661,0.027661,0,0
5.8127,0.20083,98042,1,0.028275,0.028275,0,0
5.8102,0.20297,98001,1,0.02889,0.02889,0,0
5.8077,0.20524,97958,1,0.029505,0.029505,0,0
5.8053,0.20752,97919,1,0.03012,0.03012,0,0
5.8022,0.20977,97867,1,0.030734,0.030734,0,0
5.7992,0.21223,97817,1,0.031349,0.031349,0,0
5.796,0.21472,97766,1,0.031964,0.031964,0,0
5.7928,0.21729,97712,1,0.032578,0.032578,0,0
5.7894,0.21997,97656,1,0.033193,0.033193,0,0
5.7859,0.2227,97598,1,0.033808,0.033808,0,0
5.7822,0.22556,97537,1,0.034422,0.034422,0,0
5.7783,0.22851,97472,1,0.035037,0.035037,0,0
5.7743,0.23153,97406,1,0.035652,0.035652,0,0
5.7701,0.23469,97335,1,0.036266,0.036266,0,0
5.7657,0.23791,97262,1,0.036881,0.036881,0,0
5.761,0.24126,97185,1,0.037496,0.037496,0,0
5.7561,0.24475,97104,1,0.03811,0.03811,0,0
5.7511,0.24832,97021,1,0.038725,0.038725,0,0
5.7459,0.25217,96934,1,0.03934,0.03934,0,0
5.7405,0.25605,96845,1,0.039954,0.039954,0,0
5.7346,0.26002,96747,1,0.040569,0.040569,0,0
5.7286,0.26394,96648,1,0.041184,0.041184,0,0
5.7223,0.268,96543,1,0.041799,0.041799,0,0
5.7154,0.27221,96430,1,0.042413,0.042413,0,0
5.7084,0.27671,96314,1,0.043028,0.043028,0,0
5.7017,0.28139,96203,1,0.043643,0.043643,0,0
5.6942,0.28623,96078,1,0.044257,0.044257,0,0
5.6862,0.29099,95945,1,0.044872,0.044872,0,0
5.678,0.29571,95810,1,0.045487,0.045487,0,0
5.6696,0.30064,95670,1,0.046101,0.046101,0,0
5.6599,0.30585,95510,1,0.046716,0.046716,0,0
5.651,0.31116,95363,1,0.047331,0.047331,0,0
5.6414,0.31663,95203,1,0.047945,0.047945,0,0
5.6313,0.32223,95035,1,0.04856,0.04856,0,0
5.6208,0.32818,94862,1,0.049175,0.049175,0,0
5.6101,0.33422,94684,1,0.049789,0.049789,0,0
5.5985,0.34039,94491,1,0.050404,0.050404,0,0
5.5866,0.34643,94294,1,0.051019,0.051019,0,0
5.5742,0.35259,94088,1,0.051633,0.051633,0,0
5.5613,0.35903,93875,1,0.052248,0.052248,0,0
5.548,0.36561,93653,1,0.052863,0.052863,0,0
5.534,0.37236,93421,1,0.053478,0.053478,0,0
5.5195,0.37918,93181,1,0.054092,0.054092,0,0
5.5046,0.38626,92934,1,0.054707,0.054707,0,0
5.4891,0.39347,92675,1,0.055322,0.055322,0,0
5.473,0.40084,92408,1,0.055936,0.055936,0,0
5.4562,0.40837,92129,1,0.056551,0.056551,0,0
5.4388,0.41608,91840,1,0.057166,0.057166,0,0
5.4208,0.42394,91541,1,0.05778,0.05778,0,0
5.4021,0.43196,91231,1,0.058395,0.058395,0,0
5.3828,0.44014,90909,1,0.05901,0.05901,0,0
5.3627,0.4485,90575,1,0.059624,0.059624,0,0
5.3419,0.45703,90229,1,0.060239,0.060239,0,0
