"Density","Mach","Pressure","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.9232,1.1817,49676,1,0.094047,0.094047,0,0
2.8703,1.197,48777,1,0.094661,0.094661,0,0
2.8181,1.212,47890,1,0.095276,0.095276,0,0
2.7649,1.2275,46984,1,0.095891,0.095891,0,0
2.7094,1.2437,46040,1,0.096505,0.096505,0,0
2.6533,1.2602,45084,1,0.09712,0.09712,0,0
2.5994,1.2762,44166,1,0.097735,0.097735,0,0
2.5484,1.2914,43298,1,0.098349,0.098349,0,0
2.4987,1.3065,42452,1,0.098964,0.098964,0,0
2.4494,1.3216,41611,1,0.099579,0.099579,0,0
2.3963,1.3371,40706,1,0.10019,0.10019,0,0
2.3507,1.3517,39928,1,0.10081,0.10081,0,0
2.3017,1.3676,39094,1,0.10142,0.10142,0,0
2.2524,1.3829,38252,1,0.10204,0.10204,0,0
2.2023,1.3983,37400,1,0.10265,0.10265,0,0
2.5882,1.2333,44000,1,0.10327,0.10327,0,0
4.1077,0.69164,69888,1,0.10388,0.10388,0,0
4.3783,0.64982,74446,1,0.1045,0.1045,0,0
4.4039,0.66327,74858,1,0.10511,0.10511,0,0
4.4265,0.65642,75238,1,0.10573,0.10573,0,0
4.4439,0.64945,75529,1,0.10634,0.10634,0,0
4.4653,0.64851,75874,1,0.10696,0.10696,0,0
4.4899,0.64368,76282,1,0.10757,0.10757,0,0
4.5067,0.63784,76564,1,0.10818,0.10818,0,0
4.5237,0.63181,76852,1,0.1088,0.1088,0,0
4.5402,0.6266,77128,1,0.10941,0.10941,0,0
4.5554,0.62153,77384,1,0.11003,0.11003,0,0
4.5696,0.61662,77622,1,0.11064,0.11064,0,0
4.5829,0.61207,77846,1,0.11126,0.11126,0,0
4.5952,0.60779,78052,1,0.11187,0.11187,0,0
4.6063,0.60399,78241,1,0.11249,0.11249,0,0
4.6171,0.6006,78418,1,0.1131,0.1131,0,0
4.6262,0.59736,78571,1,0.11372,0.11372,0,0
4.6357,0.59475,78726,1,0.11433,0.11433,0,0
4.6441,0.59137,78868,1,0.11495,0.11495,0,0
4.6519,0.59043,78996,1,0.11556,0.11556,0,0
4.6593,0.58941,79119,1,0.11618,0.11618,0,0
4.6658,0.58755,79230,1,0.11679,0.11679,0,0
4.6719,0.58626,79331,1,0.1174,0.1174,0,0
4.6778,0.58524,79427,1,0.11802,0.11802,0,0
4.6837,0.58422,79524,1,0.11863,0.11863,0,0
4.6887,0.58305,79606,1,0.11925,0.11925,0,0
4.6926,0.58171,79672,1,0.11986,0.11986,0,0
4.6966,0.58037,79738,1,0.12048,0.12048,0,0
4.7005,0.579,79804,1,0.12109,0.12109,0,0
4.7045,0.57754,79871,1,0.12171,0.12171,0,0
4.7086,0.57608,79938,1,0.12232,0.12232,0,0
4.7126,0.57462,80005,1,0.12294,0.12294,0,0
