"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
0, 6.140018714288662e+00, 1.806533201820160e+00, 1.212383643727658e+01, 3.000056162180468e+03, 3.167002090487333e+01, 1.134091055381291e+06, 1.712544836609742e+05, 2.468595050777483e+02, 1.910962235485117e+00, -1.542507796091415e+17
1, -3.974393215201991e+00, 4.979326446762077e+00, 6.140476589246661e+01, 2.469738277345077e+02, -2.397900559484762e+00, 5.473734910436343e+06, 1.146162579725306e+06, 3.783075231672362e+02, 2.708152883026267e-02, 8.362254655123110e+18
2, -2.714744334172068e+00, 1.452213324235172e+00, 6.001832684694608e+01, 1.757288850969788e+03, -7.718383712120763e+02, 5.354828202498093e+06, 1.115662525780011e+06, 3.758731350264416e+02, 2.158817248928832e-01, 8.095815309472630e+18
3, -2.702827701673673e+00, 1.418556972063019e+00, 5.997662629689600e+01, 1.787330278225068e+03, -7.703679391578238e+02, 5.351244537082026e+06, 1.114747623359239e+06, 3.757993773804310e+02, 2.190838203375473e-01, 8.087822995663555e+18
4, -2.683298354968702e+00, 1.381946861571967e+00, 5.992462764415286e+01, 1.822318054992193e+03, -7.730181271571902e+02, 5.346782143420571e+06, 1.113607004564294e+06, 3.757073648809546e+02, 2.230378673811758e-01, 8.077858891144042e+18
5, -2.704566335931773e+00, 1.342808722000284e+00, 5.991129339038694e+01, 1.843997379426045e+03, -7.423541023074596e+02, 5.345634606657346e+06, 1.113314490970797e+06, 3.756837498303309e+02, 2.240311004016608e-01, 8.075303579911314e+18
6, -2.661060431927914e+00, 1.345909101327060e+00, 5.986888442850990e+01, 1.858191681375569e+03, -7.768604281464507e+02, 5.341986638602282e+06, 1.112384468237276e+06, 3.756086655672017e+02, 2.271665685650183e-01, 8.067179179574058e+18
7, -2.635878673889121e+00, 1.313194157582838e+00, 5.981206127619497e+01, 1.893185440760412e+03, -7.832929499883111e+02, 5.337107251645299e+06, 1.111138559971618e+06, 3.755080058051072e+02, 2.313341986098683e-01, 8.056295297740998e+18
8, -2.648607239339447e+00, 1.276170400628421e+00, 5.979390885415955e+01, 1.915491581438700e+03, -7.579958906023824e+02, 5.335555620698949e+06, 1.110740459556802e+06, 3.754758058442742e+02, 2.326760609723009e-01, 8.052817611628808e+18
9, -2.692201146100990e+00, 1.294111735835849e+00, 5.985618555714716e+01, 1.884438755324610e+03, -7.328683933644010e+02, 5.340897518354057e+06, 1.112105910094533e+06, 3.755861540446558e+02, 2.281096699829932e-01, 8.064745778983646e+18
10, -2.608823272884731e+00, 1.283651334611455e+00, 5.975433657164889e+01, 1.927189237972929e+03, -7.915731945732572e+02, 5.332148644357615e+06, 1.109873071902867e+06, 3.754056698384516e+02, 2.354933619587734e-01, 8.045240372606402e+18
11, -2.761992085342801e+00, 1.638326084954424e+00, 6.022638951075392e+01, 1.595923738841917e+03, -7.811732226623697e+02, 5.372681605483311e+06, 1.120229512040113e+06, 3.762406668696231e+02, 1.990874076242443e-01, 8.135711134998672e+18
12, -2.746105927861020e+00, 1.596051449302482e+00, 6.017590829178067e+01, 1.633904391858572e+03, -7.852523690313855e+02, 5.368356412075377e+06, 1.119121119055005e+06, 3.761515671159285e+02, 2.033057982716035e-01, 8.126028545511933e+18
13, -2.724544729280222e+00, 1.558616274293255e+00, 6.012416215851140e+01, 1.669597623370897e+03, -7.940556107195343e+02, 5.363921871215757e+06, 1.117985214119274e+06, 3.760601957385676e+02, 2.075420705511692e-01, 8.116105619856118e+18
14, -2.701380592286221e+00, 1.531980672564566e+00, 6.007906711992894e+01, 1.697425275641163e+03, -8.062236589070031e+02, 5.360045320570044e+06, 1.116995442661991e+06, 3.759805184937802e+02, 2.111263490000654e-01, 8.107459272544902e+18
15, -2.740741206648905e+00, 1.515311539452586e+00, 6.009852620738492e+01, 1.700029302578250e+03, -7.694594039417456e+02, 5.361715735983055e+06, 1.117422511245055e+06, 3.760149026863253e+02, 2.095782942379905e-01, 8.111190015907634e+18
16, -2.698656745258524e+00, 1.492950596938654e+00, 6.004031265844613e+01, 1.729834966988963e+03, -7.972657678593584e+02, 5.356711018857846e+06, 1.116144965082255e+06, 3.759120131093075e+02, 2.141519273298525e-01, 8.100029754871204e+18
17, -2.747540100168013e+00, 1.469670045298967e+00, 6.006372491803116e+01, 1.733780311897776e+03, -7.512048788215272e+02, 5.358731392469698e+06, 1.116658702098915e+06, 3.759533938536444e+02, 2.123510651549402e-01, 8.104517607738634e+18
18, -2.674532851123509e+00, 1.457194387449937e+00, 5.998430464603248e+01, 1.766185439355126e+03, -8.058677012459044e+02, 5.351904304669056e+06, 1.114916070061639e+06, 3.758129599406619e+02, 2.184972183382897e-01, 8.089294495656471e+18
19, -2.748081309272081e+00, 1.424867883687375e+00, 6.002445550508774e+01, 1.767861674292858e+03, -7.372185806495013e+02, 5.355357852802720e+06, 1.115796982674394e+06, 3.758839687777835e+02, 2.154180459869387e-01, 8.096989884672460e+18
20, -2.655353022346528e+00, 1.422731395788553e+00, 5.993321876159368e+01, 1.800333643283161e+03, -8.098753773156658e+02, 5.347521201072961e+06, 1.113795434313616e+06, 3.757225692062931e+02, 2.223952810216826e-01, 8.079504957055937e+18
21, -2.738386649177632e+00, 1.374460669342819e+00, 5.997132169018887e+01, 1.808601716933746e+03, -7.280984417599605e+02, 5.350787823069499e+06, 1.114631224379090e+06, 3.757899867845432e+02, 2.194854375396124e-01, 8.086806168999545e+18
22, -2.634801022458785e+00, 1.388494714118261e+00, 5.987962269890225e+01, 1.835138681600405e+03, -8.140806370183268e+02, 5.342915734744051e+06, 1.112619981223841e+06, 3.756276887870752e+02, 2.263941591735985e-01, 8.069236550559208e+18
23, -2.612495585654080e+00, 1.355409936925305e+00, 5.982422130465186e+01, 1.870105575806365e+03, -8.191443308433217e+02, 5.338158197072415e+06, 1.111405185572262e+06, 3.755295574322889e+02, 2.304702627174114e-01, 8.058624459213856e+18
24, -2.673763523732820e+00, 1.245091833463186e+00, 5.979407391311581e+01, 1.927114019422529e+03, -7.261617117607002e+02, 5.335551254387869e+06, 1.110743983254927e+06, 3.754760780324214e+02, 2.326044389182413e-01, 8.052848393601334e+18
25, -2.745261855046738e+00, 1.318574972505354e+00, 5.992917684612227e+01, 1.846655194824167e+03, -7.033337453293949e+02, 5.347153836183184e+06, 1.113706669580960e+06, 3.757153920556737e+02, 2.226320370413819e-01, 8.078729534909862e+18
