,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,G,Z,s
336,145.15,45113000.0,1.6976,10493.0,-9.7599,0,858770.0,-0.0020177,621.69,1,0.336,0.336,0.25,0,-0.002623348569776862,0.44055752830958017,550.2038088984498
337,145.14,45108000.0,1.6975,10493.0,-10.216,0,858750.0,-0.0021073,621.69,1,0.337,0.337,0.25,0,-0.0025320681273757195,0.4406039155435312,550.2038088984498
338,145.22,45135000.0,1.6981,10497.0,-7.565,0,858900.0,-0.0015886,621.69,1,0.338,0.338,0.25,0,-0.003216083490311661,0.4402554640034211,550.2038088984498
339,145.31,45163000.0,1.6987,10500.0,-4.785,0,859060.0,-0.0010447,621.7,1,0.339,0.339,0.25,0,-0.0032726121411412734,0.44008724832152823,550.2038088984498
340,145.4,45190000.0,1.6993,10504.0,-2.0049,0,859220.0,-0.00050081,621.71,1,0.34,0.34,0.25,0,-0.0033275938426031715,0.43991888756037956,550.2038088984498
341,145.48,45218000.0,1.7,10508.0,0.77516,0,859380.0,4.3091e-05,621.72,1,0.341,0.341,0.25,0,-0.0033810198837556094,0.43975038120468435,550.2038088984498
342,145.57,45246000.0,1.7006,10512.0,3.5553,0,859540.0,0.00058701,621.73,1,0.342,0.342,0.25,0,-0.0034328814980875144,0.43958172873623347,550.2038088984498
343,145.67,45276000.0,1.7013,10517.0,6.7697,0,859720.0,0.0011718,621.74,1,0.343,0.343,0.25,0,-0.0035729181021304512,0.43936604956289804,550.2038088984498
344,145.77,45308000.0,1.7021,10521.0,10.452,0,859900.0,0.0018007,621.75,1,0.344,0.344,0.25,0,-0.0037107890155689827,0.43915006892858377,550.2038088984498
345,145.87,45341000.0,1.7029,10526.0,14.134,0,860090.0,0.0024296,621.76,1,0.345,0.345,0.25,0,-0.003891030571614218,0.43891024744598495,550.2038088984498
346,145.98,45373000.0,1.7037,10531.0,17.816,0,860270.0,0.0030584,621.77,1,0.346,0.346,0.25,0,-0.004024356615677904,0.4386936141937635,550.2038088984498
347,146.08,45406000.0,1.7045,10536.0,21.498,0,860460.0,0.0036873,621.78,1,0.347,0.347,0.25,0,-0.004199688865621498,0.43845304065371116,550.2038088984498
348,146.27,45466000.0,1.7059,10545.0,27.848,0,860800.0,0.0048383,621.8,1,0.348,0.348,0.25,0,-0.004366998845301895,0.43806558764053494,550.2038088984498
349,146.64,45582000.0,1.7087,10562.0,40.103,0,861450.0,0.0070521,621.84,1,0.349,0.349,0.25,0,-0.004548114404553827,0.43735956675965815,550.2038088984498
350,147.01,45698000.0,1.7114,10579.0,52.358,0,862110.0,0.0092658,621.87,1,0.35,0.35,0.25,0,-0.005402778402632036,0.43641390408597047,550.2038088984498
351,147.39,45819000.0,1.7143,10596.0,65.066,0,862780.0,0.011549,621.91,1,0.351,0.351,0.25,0,-0.005606382533772214,0.4356520375293488,550.2038088984498
352,147.87,45968000.0,1.718,10618.0,80.902,0,863600.0,0.014316,621.96,1,0.352,0.352,0.25,0,-0.005742687719115791,0.43473753135143456,550.2038088984498
353,148.34,46117000.0,1.7217,10641.0,96.739,0,864420.0,0.017082,622.0,1,0.353,0.353,0.25,0,-0.0064760241308370325,0.43359828539564116,550.2038088984498
354,148.76,46249000.0,1.7249,10660.0,110.11,0,865150.0,0.019543,622.04,1,0.354,0.354,0.25,0,-0.006794722716348511,0.4326731723758015,550.2038088984498
355,148.89,46290000.0,1.7258,10665.0,114.06,0,865380.0,0.020333,622.06,1,0.355,0.355,0.25,0,-0.006411456041489849,0.4325454690029348,550.2038088984498
356,148.9,46292000.0,1.7257,10665.0,114.48,0,865400.0,0.020413,622.06,1,0.356,0.356,0.25,0,-0.0064894169354234865,0.4324956016736936,550.2038088984498
357,148.92,46300000.0,1.7258,10667.0,116.14,0,865450.0,0.020586,622.06,1,0.357,0.357,0.25,0,-0.006684064036571735,0.4323708115966961,550.2038088984498
358,148.94,46307000.0,1.726,10668.0,117.8,0,865500.0,0.020759,622.07,1,0.358,0.358,0.25,0,-0.0062384780391360195,0.4324691998375001,550.2038088984498
359,147.77,45940000.0,1.7168,10612.0,78.711,0,863460.0,0.013823,621.95,1,0.359,0.359,0.25,0,-0.0058183846226456115,0.4348622660093,550.2038088984498
360,146.6,45573000.0,1.7077,10557.0,39.568,0,861410.0,0.006896,621.84,1,0.36,0.36,0.25,0,-0.004374822297310121,0.4374549507518657,550.2038088984498
361,145.49,45223000.0,1.6989,10504.0,1.709,0,859460.0,0.00029617,621.73,1,0.361,0.361,0.25,0,-0.0030725182349378155,0.4397687583108968,550.2038088984498
362,144.03,44764000.0,1.6878,10435.0,-48.848,0,856760.0,-0.00882,621.59,1,0.362,0.362,0.25,0,-3.3090293393378545e-05,0.4431616355926148,550.2038088984498
363,141.41,43938000.0,1.6685,10312.0,-139.74,0,851640.0,-0.026156,621.32,1,0.363,0.363,0.25,0,0.006554415502538213,0.4493088992613691,550.2038088984498
364,138.96,43166000.0,1.6504,10197.0,-224.34,0,846920.0,-0.042141,621.06,1,0.364,0.364,0.25,0,0.012938097518427227,0.4545816695757733,550.2038088984498
365,136.38,42354000.0,1.6316,10076.0,-313.01,0,841850.0,-0.059311,620.79,1,0.365,0.365,0.25,0,0.02131174024401994,0.46023359513093354,550.2038088984498
366,132.9,41259000.0,1.6074,9912.1,-432.02,0,834370.0,-0.084616,620.42,1,0.366,0.366,0.25,0,0.036750636172130036,0.46870321110946533,550.2038088984498
367,129.41,40159000.0,1.5834,9747.6,-552.09,0,826770.0,-0.11034,620.04,1,0.367,0.367,0.25,0,0.053147147309612564,0.4768695158444137,550.2038088984498
368,125.59,38957000.0,1.559,9567.5,-683.12,0,817700.0,-0.14102,619.62,1,0.368,0.368,0.25,0,0.07541126480639881,0.48663918554656194,550.2038088984498
369,121.81,37764000.0,1.5361,9388.3,-813.56,0,808210.0,-0.17314,619.18,1,0.369,0.369,0.25,0,0.09887732873498534,0.49637913370479414,550.2038088984498
370,118.14,36610000.0,1.5148,9213.4,-940.06,0,798630.0,-0.20556,618.75,1,0.37,0.37,0.25,0,0.12316598749911223,0.5059560828495835,550.2038088984498
371,114.63,35506000.0,1.4957,9044.5,-1060.5,0,788950.0,-0.23834,618.34,1,0.371,0.371,0.25,0,0.1484173331213703,0.5155057241555197,550.2038088984498
372,111.39,34490000.0,1.4793,8887.7,-1171.2,0,779530.0,-0.27021,617.95,1,0.372,0.372,0.25,0,0.17270811727433777,0.5245381601440005,550.2038088984498
