,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,G,Z,s
0,145.48,45216000.0,1.7,10508.0,-2.8063e-12,0,859370.0,2.9944e-14,621.72,1,0.0,0.0,0.25,0,-0.0033358620902452785,0.4397737474748393,550.1823723910481
1,145.48,45216000.0,1.7,10508.0,-3.7944e-12,0,859370.0,3.0835e-14,621.72,1,0.001,0.001,0.25,0,-0.0033358620902452785,0.4397737474748393,550.1823723910481
2,145.48,45216000.0,1.7,10508.0,-4.7826e-12,0,859370.0,3.1727e-14,621.72,1,0.002,0.002,0.25,0,-0.0033358620902452785,0.4397737474748393,550.1823723910481
3,145.48,45216000.0,1.7,10508.0,-5.7707e-12,0,859370.0,3.2619e-14,621.72,1,0.003,0.003,0.25,0,-0.0033358620902452785,0.4397737474748393,550.1823723910481
4,145.48,45216000.0,1.7,10508.0,-6.7588e-12,0,859370.0,3.3511e-14,621.72,1,0.004,0.004,0.25,0,-0.0033358620902452785,0.4397737474748393,550.1823723910481
5,145.48,45216000.0,1.7,10508.0,-7.747e-12,0,859370.0,3.4403e-14,621.72,1,0.005,0.005,0.25,0,-0.0033358620902452785,0.4397737474748393,550.1823723910481
6,145.48,45216000.0,1.7,10508.0,-8.7351e-12,0,859370.0,3.5295e-14,621.72,1,0.006,0.006,0.25,0,-0.0033358620902452785,0.4397737474748393,550.1823723910481
7,145.48,45216000.0,1.7,10508.0,-9.7232e-12,0,859370.0,3.6187e-14,621.72,1,0.007,0.007,0.25,0,-0.0033358620902452785,0.4397737474748393,550.1823723910481
8,145.48,45216000.0,1.7,10508.0,-1.0711e-11,0,859370.0,3.7078e-14,621.72,1,0.008,0.008,0.25,0,-0.0033358620902452785,0.4397737474748393,550.1823723910481
9,145.48,45216000.0,1.7,10508.0,-1.17e-11,0,859370.0,3.797e-14,621.72,1,0.009,0.009,0.25,0,-0.0033358620902452785,0.4397737474748393,550.1823723910481
10,145.48,45216000.0,1.7,10508.0,-1.2688e-11,0,859370.0,3.8862e-14,621.72,1,0.01,0.01,0.25,0,-0.0033358620902452785,0.4397737474748393,550.1823723910481
11,145.48,45216000.0,1.7,10508.0,-1.3676e-11,0,859370.0,3.9754e-14,621.72,1,0.011,0.011,0.25,0,-0.0033358620902452785,0.4397737474748393,550.1823723910481
12,145.48,45216000.0,1.7,10508.0,-1.4664e-11,0,859370.0,4.0646e-14,621.72,1,0.012,0.012,0.25,0,-0.0033358620902452785,0.4397737474748393,550.1823723910481
13,145.48,45216000.0,1.7,10508.0,-1.5652e-11,0,859370.0,4.1538e-14,621.72,1,0.013,0.013,0.25,0,-0.0033358620902452785,0.4397737474748393,550.1823723910481
14,145.48,45216000.0,1.7,10508.0,-1.664e-11,0,859370.0,4.243e-14,621.72,1,0.014,0.014,0.25,0,-0.0033358620902452785,0.4397737474748393,550.1823723910481
15,145.48,45216000.0,1.7,10508.0,-1.7628e-11,0,859370.0,4.3321e-14,621.72,1,0.015,0.015,0.25,0,-0.0033358620902452785,0.4397737474748393,550.1823723910481
16,145.48,45216000.0,1.7,10508.0,-1.8616e-11,0,859370.0,4.4213e-14,621.72,1,0.016,0.016,0.25,0,-0.0033358620902452785,0.4397737474748393,550.1823723910481
17,145.48,45216000.0,1.7,10508.0,-1.8649e-11,0,859370.0,4.4899e-14,621.72,1,0.017,0.017,0.25,0,-0.0033358620902452785,0.4397737474748393,550.1823723910481
18,145.48,45216000.0,1.7,10508.0,-1.7228e-11,0,859370.0,4.5272e-14,621.72,1,0.018,0.018,0.25,0,-0.0033358620902452785,0.4397737474748393,550.1823723910481
19,145.48,45216000.0,1.7,10508.0,-3.3379e-11,0,859370.0,4.57e-14,621.72,1,0.019,0.019,0.25,0,-0.0033358620902452785,0.4397737474748393,550.1823723910481
20,145.48,45216000.0,1.7,10508.0,-4.2425e-11,0,859370.0,4.5161e-14,621.72,1,0.02,0.02,0.25,0,-0.0033358620902452785,0.4397737474748393,550.1823723910481
21,145.48,45216000.0,1.7,10508.0,-4.314e-11,0,859370.0,4.3491e-14,621.72,1,0.021,0.021,0.25,0,-0.0033358620902452785,0.4397737474748393,550.1823723910481
22,145.48,45216000.0,1.7,10508.0,-4.3855e-11,0,859370.0,4.1822e-14,621.72,1,0.022,0.022,0.25,0,-0.0033358620902452785,0.4397737474748393,550.1823723910481
23,145.48,45216000.0,1.7,10508.0,-4.4569e-11,0,859370.0,4.0152e-14,621.72,1,0.023,0.023,0.25,0,-0.0033358620902452785,0.4397737474748393,550.1823723910481
24,145.48,45216000.0,1.7,10508.0,-4.5284e-11,0,859370.0,3.8483e-14,621.72,1,0.024,0.024,0.25,0,-0.0033358620902452785,0.4397737474748393,550.1823723910481
25,145.48,45216000.0,1.7,10508.0,-4.5999e-11,0,859370.0,3.6813e-14,621.72,1,0.025,0.025,0.25,0,-0.0033358620902452785,0.4397737474748393,550.1823723910481
26,145.48,45216000.0,1.7,10508.0,-4.6713e-11,0,859370.0,3.5144e-14,621.72,1,0.026,0.026,0.25,0,-0.0033358620902452785,0.4397737474748393,550.1823723910481
27,145.48,45216000.0,1.7,10508.0,-4.7428e-11,0,859370.0,3.3474e-14,621.72,1,0.027,0.027,0.25,0,-0.0033358620902452785,0.4397737474748393,550.1823723910481
28,145.48,45216000.0,1.7,10508.0,-4.8143e-11,0,859370.0,3.1805e-14,621.72,1,0.028,0.028,0.25,0,-0.0033358620902452785,0.4397737474748393,550.1823723910481
29,145.48,45216000.0,1.7,10508.0,-4.8858e-11,0,859370.0,3.0135e-14,621.72,1,0.029,0.029,0.25,0,-0.0033358620902452785,0.4397737474748393,550.1823723910481
30,145.48,45216000.0,1.7,10508.0,-4.9572e-11,0,859370.0,2.8466e-14,621.72,1,0.03,0.03,0.25,0,-0.0033358620902452785,0.4397737474748393,550.1823723910481
31,145.48,45216000.0,1.7,10508.0,-5.0287e-11,0,859370.0,2.6796e-14,621.72,1,0.031,0.031,0.25,0,-0.0033358620902452785,0.4397737474748393,550.1823723910481
32,145.48,45216000.0,1.7,10508.0,-5.1002e-11,0,859370.0,2.5127e-14,621.72,1,0.032,0.032,0.25,0,-0.0033358620902452785,0.4397737474748393,550.1823723910481
33,145.48,45216000.0,1.7,10508.0,-5.1717e-11,0,859370.0,2.3457e-14,621.72,1,0.033,0.033,0.25,0,-0.0033358620902452785,0.4397737474748393,550.1823723910481
34,145.48,45216000.0,1.7,10508.0,-5.2431e-11,0,859370.0,2.1787e-14,621.72,1,0.034,0.034,0.25,0,-0.0033358620902452785,0.4397737474748393,550.1823723910481
35,145.48,45216000.0,1.7,10508.0,-5.3146e-11,0,859370.0,2.0118e-14,621.72,1,0.035,0.035,0.25,0,-0.0033358620902452785,0.4397737474748393,550.1823723910481
36,145.48,45216000.0,1.7,10508.0,-5.3861e-11,0,859370.0,1.8448e-14,621.72,1,0.036,0.036,0.25,0,-0.0033358620902452785,0.4397737474748393,550.1823723910481
37,145.48,45216000.0,1.7,10508.0,-2.0466e-11,0,859370.0,1.6763e-14,621.72,1,0.037,0.037,0.25,0,-0.0033358620902452785,0.4397737474748393,550.1823723910481
38,145.48,45216000.0,1.7,10508.0,6.3935e-11,0,859370.0,1.5053e-14,621.72,1,0.038,0.038,0.25,0,-0.0033358620902452785,0.4397737474748393,550.1823723910481
39,145.48,45216000.0,1.7,10508.0,1.4834e-10,0,859370.0,1.3343e-14,621.72,1,0.039,0.039,0.25,0,-0.0033358620902452785,0.4397737474748393,550.1823723910481
40,145.48,45216000.0,1.7,10508.0,2.3274e-10,0,859370.0,1.1633e-14,621.72,1,0.04,0.04,0.25,0,-0.0033358620902452785,0.4397737474748393,550.1823723910481
41,145.48,45216000.0,1.7,10508.0,3.1714e-10,0,859370.0,9.9228e-15,621.72,1,0.041,0.041,0.25,0,-0.0033358620902452785,0.4397737474748393,550.1823723910481
42,145.48,45216000.0,1.7,10508.0,4.0154e-10,0,859370.0,8.2128e-15,621.72,1,0.042,0.042,0.25,0,-0.0033358620902452785,0.4397737474748393,550.1823723910481
43,145.48,45216000.0,1.7,10508.0,4.8594e-10,0,859370.0,6.5028e-15,621.72,1,0.043,0.043,0.25,0,-0.0033358620902452785,0.4397737474748393,550.1823723910481
44,145.48,45216000.0,1.7,10508.0,5.7034e-10,0,859370.0,4.7929e-15,621.72,1,0.044,0.044,0.25,0,-0.0033358620902452785,0.4397737474748393,550.1823723910481
45,145.48,45216000.0,1.7,10508.0,6.5475e-10,0,859370.0,3.0829e-15,621.72,1,0.045,0.045,0.25,0,-0.0033358620902452785,0.4397737474748393,550.1823723910481
46,145.48,45216000.0,1.7,10508.0,7.3915e-10,0,859370.0,1.3729e-15,621.72,1,0.046,0.046,0.25,0,-0.0033358620902452785,0.4397737474748393,550.1823723910481
47,145.48,45216000.0,1.7,10508.0,8.2355e-10,0,859370.0,-3.3703e-16,621.72,1,0.047,0.047,0.25,0,-0.0033358620902452785,0.4397737474748393,550.1823723910481
48,145.48,45216000.0,1.7,10508.0,9.0795e-10,0,859370.0,-2.047e-15,621.72,1,0.048,0.048,0.25,0,-0.0033358620902452785,0.4397737474748393,550.1823723910481
49,145.48,45216000.0,1.7,10508.0,9.9235e-10,0,859370.0,-3.757e-15,621.72,1,0.049,0.049,0.25,0,-0.0033358620902452785,0.4397737474748393,550.1823723910481
50,145.48,45216000.0,1.7,10508.0,1.0768e-09,0,859370.0,-5.4669e-15,621.72,1,0.05,0.05,0.25,0,-0.0033358620902452785,0.4397737474748393,550.1823723910481
51,145.48,45216000.0,1.7,10508.0,1.1612e-09,0,859370.0,-7.1769e-15,621.72,1,0.051,0.051,0.25,0,-0.0033358620902452785,0.4397737474748393,550.1823723910481
52,145.48,45216000.0,1.7,10508.0,1.0525e-09,0,859370.0,3.7728e-15,621.72,1,0.052,0.052,0.25,0,-0.0033358620902452785,0.4397737474748393,550.1823723910481
