,Mach,Pressure,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,entropy,total enthalpt
0,0.97154,2242300.0,528.65,1,0.0,0.0,0,0,871.4884347144526,402088.8038663956
1,0.97461,2239800.0,528.59,1,0.011782,0.011782,0,0,871.4577863186518,402071.9435744639
2,0.97767,2237300.0,528.54,1,0.023564,0.023564,0,0,871.5806885006601,402136.36294528586
3,0.98074,2234800.0,528.48,1,0.035346,0.035346,0,0,871.5571417185479,402123.2922331725
4,0.9838,2232400.0,528.42,1,0.047128,0.047128,0,0,871.5012377752103,402093.61764961836
5,0.98687,2229900.0,528.36,1,0.05891,0.05891,0,0,871.4840317929112,402083.9206169089
6,0.98997,2227400.0,528.31,1,0.070692,0.070692,0,0,871.6231707838107,402157.2311985963
7,0.99404,2224100.0,528.23,1,0.082474,0.082474,0,0,871.5988328381476,402143.69363207585
8,0.99811,2220900.0,528.15,1,0.094256,0.094256,0,0,871.5434707832636,402114.2951625431
9,1.0022,2217600.0,528.07,1,0.10604,0.10604,0,0,871.5308620783832,402107.095711121
10,1.0063,2214400.0,527.99,1,0.11782,0.11782,0,0,871.4866816862361,402083.78570467146
11,1.0103,2211100.0,527.91,1,0.1296,0.1296,0,0,871.4863099602022,402082.7028533189
12,1.0144,2207900.0,527.83,1,0.14138,0.14138,0,0,871.4538102965631,402065.6165179487
13,1.0185,2204700.0,527.76,1,0.15317,0.15317,0,0,871.5862036169954,402136.08158075257
14,1.0225,2201400.0,527.68,1,0.16495,0.16495,0,0,871.6058123788704,402145.6787590271
15,1.0262,2198500.0,527.61,1,0.17673,0.17673,0,0,871.6336022134536,402160.5813774367
16,1.0295,2195900.0,527.54,1,0.18851,0.18851,0,0,871.5463517307604,402114.2911372637
17,1.0328,2193200.0,527.47,1,0.20029,0.20029,0,0,871.503002346277,402090.7474592035
18,1.0362,2190500.0,527.4,1,0.21208,0.21208,0,0,871.4638265334207,402069.88149553246
19,1.0395,2187900.0,527.34,1,0.22386,0.22386,0,0,871.5513370913986,402116.47737402236
20,1.0429,2185200.0,527.27,1,0.23564,0.23564,0,0,871.5211652434738,402100.4172942076
21,1.0462,2182500.0,527.2,1,0.24742,0.24742,0,0,871.4953999647558,402086.2471531282
22,1.0496,2179900.0,527.14,1,0.2592,0.2592,0,0,871.5975993076053,402141.17834600504
23,1.0529,2177200.0,527.07,1,0.27099,0.27099,0,0,871.5812816777091,402132.0559976991
24,1.0561,2174600.0,527.0,1,0.28277,0.28277,0,0,871.5266154598652,402102.65384503943
25,1.0593,2172000.0,526.93,1,0.29455,0.29455,0,0,871.4759292587623,402075.36879543634
26,1.0625,2169400.0,526.87,1,0.30633,0.30633,0,0,871.5979305782291,402139.99633996334
27,1.0658,2166800.0,526.8,1,0.31811,0.31811,0,0,871.5562205197783,402117.9634102455
28,1.069,2164200.0,526.73,1,0.3299,0.3299,0,0,871.5187141095709,402097.70795881347
29,1.0722,2161600.0,526.66,1,0.34168,0.34168,0,0,871.4854876203806,402079.732677185
30,1.0754,2159000.0,526.6,1,0.35346,0.35346,0,0,871.6280048408817,402155.3711628107
31,1.0786,2156400.0,526.53,1,0.36524,0.36524,0,0,871.604320725536,402142.4974752823
