,Mach,Pressure,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,entropy,total enthalpt
32,1.0821,2153600.0,526.45,1,0.37702,0.37702,0,0,871.5040797782232,402089.06243114086
33,1.0856,2150800.0,526.38,1,0.38881,0.38881,0,0,871.5820410779427,402130.5937726653
34,1.0891,2148000.0,526.3,1,0.40059,0.40059,0,0,871.491875999547,402082.5241645648
35,1.0926,2145200.0,526.23,1,0.41237,0.41237,0,0,871.581622437727,402130.3722945277
36,1.0962,2142300.0,526.15,1,0.42415,0.42415,0,0,871.5494288130283,402113.1001480441
37,1.0997,2139500.0,526.07,1,0.43593,0.43593,0,0,871.4750939193066,402073.46754439396
38,1.1032,2136700.0,526.0,1,0.44772,0.44772,0,0,871.5832402601319,402131.18668919447
39,1.1068,2133900.0,525.92,1,0.4595,0.4595,0,0,871.5199684891106,402097.92936645524
40,1.1101,2131100.0,525.85,1,0.47128,0.47128,0,0,871.6406931168586,402161.4743722764
41,1.1132,2128600.0,525.78,1,0.48306,0.48306,0,0,871.6197602256346,402150.2365586503
42,1.1163,2126100.0,525.71,1,0.49484,0.49484,0,0,871.6033513731534,402141.4173606561
43,1.1194,2123600.0,525.64,1,0.50663,0.50663,0,0,871.5915346018055,402135.05452822027
44,1.1225,2121100.0,525.57,1,0.51841,0.51841,0,0,871.5843767508599,402131.1852843029
45,1.1256,2118600.0,525.5,1,0.53019,0.53019,0,0,871.5819432222697,402129.84620694164
46,1.1287,2116100.0,525.43,1,0.54197,0.54197,0,0,871.5842977311673,402131.0731033417
47,1.1318,2113600.0,525.36,1,0.55375,0.55375,0,0,871.5915020404715,402134.90087576536
48,1.1349,2111100.0,525.29,1,0.56554,0.56554,0,0,871.6036156797726,402141.36337922467
49,1.1382,2108500.0,525.21,1,0.57732,0.57732,0,0,871.4886925850474,402080.2633790843
50,1.1414,2105800.0,525.14,1,0.5891,0.5891,0,0,871.6162173280783,402147.76383729756
51,1.1447,2103200.0,525.06,1,0.60088,0.60088,0,0,871.511497825807,402092.11579670693
52,1.148,2100500.0,524.98,1,0.61266,0.61266,0,0,871.4649860594682,402067.01465840195
53,1.1512,2097900.0,524.91,1,0.62445,0.62445,0,0,871.5571115608249,402116.2309994337
54,1.1545,2095200.0,524.83,1,0.63623,0.63623,0,0,871.5220448972017,402097.2736358727
55,1.1578,2092600.0,524.75,1,0.64801,0.64801,0,0,871.4378057066322,402052.57949396875
56,1.1611,2089900.0,524.68,1,0.65979,0.65979,0,0,871.6026424474363,402140.70383851364
57,1.1642,2087400.0,524.6,1,0.67157,0.67157,0,0,871.4740056499835,402071.8681212647
58,1.1671,2085000.0,524.53,1,0.68336,0.68336,0,0,871.4837680804363,402076.8165802342
59,1.1701,2082600.0,524.46,1,0.69514,0.69514,0,0,871.4983626099901,402084.85071146843
60,1.1731,2080100.0,524.39,1,0.70692,0.70692,0,0,871.5743857455183,402125.2506705174
61,1.176,2077700.0,524.32,1,0.7187,0.7187,0,0,871.5990689557311,402138.26167621184
62,1.179,2075300.0,524.25,1,0.73048,0.73048,0,0,871.6286788434307,402154.42089121003
63,1.1819,2072900.0,524.17,1,0.74227,0.74227,0,0,871.4711895064021,402069.7190647359
64,1.1849,2070500.0,524.1,1,0.75405,0.75405,0,0,871.5104688332548,402091.09149810165
65,1.1879,2068100.0,524.03,1,0.76583,0.76583,0,0,871.5547763749854,402115.19567258074
66,1.1905,2066000.0,523.97,1,0.77761,0.77761,0,0,871.621810314975,402151.37548612396
67,1.1932,2063800.0,523.9,1,0.78939,0.78939,0,0,871.5581002525021,402117.24546831194
68,1.1958,2061600.0,523.83,1,0.80118,0.80118,0,0,871.4982023328711,402084.6809508923
69,1.1985,2059500.0,523.77,1,0.81296,0.81296,0,0,871.5772817684186,402127.89201264957
70,1.2011,2057300.0,523.7,1,0.82474,0.82474,0,0,871.525379285826,402099.64869643253
71,1.2038,2055100.0,523.63,1,0.83652,0.83652,0,0,871.4774173231722,402074.01778955775
72,1.2065,2053000.0,523.57,1,0.8483,0.8483,0,0,871.5686607430947,402123.8667207831
73,1.2091,2050800.0,523.5,1,0.86009,0.86009,0,0,871.5288618450007,402102.17626387614
74,1.2119,2048500.0,523.43,1,0.87187,0.87187,0,0,871.5539329153225,402115.80306546076
75,1.2148,2046100.0,523.36,1,0.88365,0.88365,0,0,871.6446066995153,402164.6956035737
76,1.2176,2043700.0,523.28,1,0.89543,0.89543,0,0,871.5444122961293,402110.3479707049
77,1.2205,2041300.0,523.21,1,0.90721,0.90721,0,0,871.6452951399702,402164.8387905561
78,1.2234,2038900.0,523.13,1,0.919,0.919,0,0,871.5548771195078,402116.2823879655
79,1.2262,2036600.0,523.06,1,0.93078,0.93078,0,0,871.6038901458392,402143.00916297926
80,1.2291,2034200.0,522.98,1,0.94256,0.94256,0,0,871.522969801423,402099.6101447455
81,1.2319,2031800.0,522.91,1,0.95434,0.95434,0,0,871.6440326854821,402164.7239598742
82,1.2348,2029400.0,522.83,1,0.96612,0.96612,0,0,871.5731154836517,402126.78170633037
83,1.2379,2026800.0,522.75,1,0.97791,0.97791,0,0,871.6332509347776,402159.4627248274
84,1.2409,2024300.0,522.66,1,0.98969,0.98969,0,0,871.4383185194707,402054.4979653965
85,1.2439,2021700.0,522.58,1,1.0015,1.0015,0,0,871.5101868804616,402093.1256058275
86,1.247,2019200.0,522.5,1,1.0133,1.0133,0,0,871.5238649880126,402101.45708977146
87,1.25,2016600.0,522.42,1,1.025,1.025,0,0,871.6069576762591,402146.3392465373
88,1.253,2014100.0,522.34,1,1.0368,1.0368,0,0,871.6314870635866,402160.20342230756
89,1.2561,2011600.0,522.25,1,1.0486,1.0486,0,0,871.4639226127871,402070.61509908544
90,1.2591,2009000.0,522.17,1,1.0604,1.0604,0,0,871.5639734392076,402124.9327819389
91,1.2618,2006600.0,522.09,1,1.0722,1.0722,0,0,871.5398276042812,402111.69007375074
92,1.2645,2004300.0,522.02,1,1.0839,1.0839,0,0,871.6524492793847,402173.24490508286
93,1.2671,2002000.0,521.94,1,1.0957,1.0957,0,0,871.5727918525753,402130.08273210365
94,1.2697,1999700.0,521.86,1,1.1075,1.1075,0,0,871.4974875376284,402089.31272288534
95,1.2724,1997400.0,521.78,1,1.1193,1.1193,0,0,871.4265614489286,402051.45615021663
96,1.275,1995000.0,521.71,1,1.1311,1.1311,0,0,871.6221391001305,402157.3745270002
97,1.2776,1992700.0,521.63,1,1.1429,1.1429,0,0,871.5604117276254,402124.14891051996
98,1.2803,1990400.0,521.55,1,1.1546,1.1546,0,0,871.5030381924921,402093.8419916923
99,1.2828,1988100.0,521.48,1,1.1664,1.1664,0,0,871.6451701844411,402171.1468888607
100,1.285,1986000.0,521.41,1,1.1782,1.1782,0,0,871.6596416854836,402178.6687188979
101,1.2872,1983900.0,521.33,1,1.19,1.19,0,0,871.4833213488895,402082.3282085454
102,1.2895,1981800.0,521.26,1,1.2018,1.2018,0,0,871.5050836703127,402094.43242872175
103,1.2917,1979700.0,521.19,1,1.2135,1.2135,0,0,871.5301732868357,402107.92635104223
104,1.294,1977500.0,521.12,1,1.2253,1.2253,0,0,871.6242228968376,402159.1063872147
105,1.2962,1975400.0,521.05,1,1.2371,1.2371,0,0,871.6556778907192,402176.27872153727
106,1.2984,1973300.0,520.97,1,1.2489,1.2489,0,0,871.4984116729224,402090.4734903408
107,1.3007,1971200.0,520.9,1,1.2607,1.2607,0,0,871.5367835377439,402112.0762239677
108,1.303,1968900.0,520.82,1,1.2725,1.2725,0,0,871.5185516346748,402101.7895269526
109,1.3053,1966700.0,520.74,1,1.2842,1.2842,0,0,871.4383814750187,402058.23475017946
110,1.3076,1964400.0,520.67,1,1.296,1.296,0,0,871.6180198324212,402156.41279864707
111,1.3099,1962100.0,520.59,1,1.3078,1.3078,0,0,871.6109043290114,402152.53110922565
112,1.3122,1959900.0,520.51,1,1.3196,1.3196,0,0,871.5421118325419,402115.46194910613
113,1.3145,1957600.0,520.43,1,1.3314,1.3314,0,0,871.5424537285537,402115.8594982794
114,1.3168,1955300.0,520.35,1,1.3431,1.3431,0,0,871.5463684024968,402118.3340513362
115,1.3191,1953100.0,520.27,1,1.3549,1.3549,0,0,871.4885462164382,402087.53269369144
116,1.3214,1950600.0,520.19,1,1.3667,1.3667,0,0,871.6293963962596,402164.4804259603
117,1.3237,1948000.0,520.1,1,1.3785,1.3785,0,0,871.6532855562193,402176.8868160532
118,1.326,1945500.0,520.01,1,1.3903,1.3903,0,0,871.6167330797165,402156.69238535373
119,1.3283,1942900.0,519.91,1,1.4021,1.4021,0,0,871.466287676433,402073.43794651574
120,1.3306,1940300.0,519.82,1,1.4138,1.4138,0,0,871.5030307907175,402093.3734858331
121,1.3329,1937700.0,519.73,1,1.4256,1.4256,0,0,871.5432389409312,402115.4242737072
122,1.3352,1935100.0,519.64,1,1.4374,1.4374,0,0,871.5867262432282,402139.49764545995
123,1.3375,1932500.0,519.55,1,1.4492,1.4492,0,0,871.633303859766,402165.4990818593
124,1.3398,1930000.0,519.46,1,1.461,1.461,0,0,871.6198724699407,402159.00279396056
125,1.3417,1927500.0,519.37,1,1.4727,1.4727,0,0,871.609840367606,402152.4323895272
126,1.3437,1925000.0,519.28,1,1.4845,1.4845,0,0,871.6030785483822,402148.37046362343
127,1.3456,1922500.0,519.19,1,1.4963,1.4963,0,0,871.5994542745682,402145.6887658911
128,1.3476,1920000.0,519.1,1,1.5081,1.5081,0,0,871.5988316008811,402145.38422904233
129,1.3496,1917500.0,519.01,1,1.5199,1.5199,0,0,871.6010719100403,402146.85584507644
130,1.3515,1915000.0,518.92,1,1.5317,1.5317,0,0,871.6060344530098,402149.4964870929
131,1.3535,1912400.0,518.83,1,1.5434,1.5434,0,0,871.6743033728892,402187.65118469484
132,1.3554,1909900.0,518.74,1,1.5552,1.5552,0,0,871.6838953612892,402193.3012016196
133,1.3572,1907400.0,518.64,1,1.567,1.567,0,0,871.5303933630913,402107.8535563402
134,1.359,1904900.0,518.55,1,1.5788,1.5788,0,0,871.5457940869321,402116.54709491367
135,1.3607,1902400.0,518.46,1,1.5906,1.5906,0,0,871.5632090982896,402126.03937190515
136,1.3624,1899900.0,518.37,1,1.6024,1.6024,0,0,871.5824940850956,402136.7959067123
137,1.3641,1897300.0,518.28,1,1.6141,1.6141,0,0,871.6619553885195,402181.0144572889
138,1.3659,1894800.0,518.18,1,1.6259,1.6259,0,0,871.5252957626444,402105.6897032648
139,1.3676,1892300.0,518.09,1,1.6377,1.6377,0,0,871.5503611816174,402120.3337179665
140,1.3693,1889800.0,518.0,1,1.6495,1.6495,0,0,871.5767383892758,402135.9530105
141,1.3709,1887400.0,517.91,1,1.6613,1.6613,0,0,871.547377240179,402120.38537649706
142,1.3721,1885300.0,517.84,1,1.673,1.673,0,0,871.65777652158,402182.0548261438
143,1.3733,1883300.0,517.76,1,1.6848,1.6848,0,0,871.5589633396474,402126.98285500536
144,1.3744,1881300.0,517.69,1,1.6966,1.6966,0,0,871.6139526423071,402157.70540612924
145,1.3756,1879200.0,517.61,1,1.7084,1.7084,0,0,871.5739871624787,402135.56908001384
146,1.3767,1877200.0,517.54,1,1.7202,1.7202,0,0,871.6297183895668,402167.0443822864
147,1.3779,1875200.0,517.46,1,1.732,1.732,0,0,871.5371587509883,402115.9327467593
148,1.3791,1873100.0,517.39,1,1.7437,1.7437,0,0,871.6481329441566,402179.06506007846
149,1.3802,1871100.0,517.31,1,1.7555,1.7555,0,0,871.5582890411771,402129.1674114679
150,1.3813,1868700.0,517.23,1,1.7673,1.7673,0,0,871.6843427059166,402199.83484226844
151,1.3823,1866300.0,517.14,1,1.7791,1.7791,0,0,871.6657557880136,402188.7551252635
152,1.3833,1863900.0,517.05,1,1.7909,1.7909,0,0,871.6482012428029,402178.4509586467
153,1.3843,1861500.0,516.96,1,1.8026,1.8026,0,0,871.6315910020435,402168.875190623
154,1.3853,1859100.0,516.87,1,1.8144,1.8144,0,0,871.6158389761733,402159.9815883877
155,1.3863,1856700.0,516.78,1,1.8262,1.8262,0,0,871.6008611678561,402151.7249041317
156,1.3873,1854300.0,516.69,1,1.838,1.838,0,0,871.5865757703422,402144.06093316997
157,1.3884,1851900.0,516.6,1,1.8498,1.8498,0,0,871.5729032512186,402137.5202292922
158,1.3893,1849400.0,516.51,1,1.8616,1.8616,0,0,871.6096428895085,402158.36095228494
159,1.3901,1846800.0,516.41,1,1.8733,1.8733,0,0,871.5621892816131,402131.0170636031
160,1.3909,1844200.0,516.32,1,1.8851,1.8851,0,0,871.6475405033362,402179.1230261849
161,1.3917,1841600.0,516.22,1,1.8969,1.8969,0,0,871.6009772486285,402152.74810624233
162,1.3925,1838900.0,516.12,1,1.9087,1.9087,0,0,871.6031864681937,402154.0860446522
163,1.3932,1836300.0,516.02,1,1.9205,1.9205,0,0,871.5578794898579,402128.28895538225
164,1.394,1833700.0,515.93,1,1.9322,1.9322,0,0,871.6397684601759,402175.5246402557
165,1.3948,1831100.0,515.83,1,1.944,1.944,0,0,871.5946974222064,402150.91364021634
166,1.3956,1828400.0,515.73,1,1.9558,1.9558,0,0,871.596135982686,402152.83178060845
167,1.396,1825500.0,515.62,1,1.9676,1.9676,0,0,871.5654554797261,402134.1264472713
168,1.3963,1822600.0,515.52,1,1.9794,1.9794,0,0,871.6559676528484,402184.06953407364
169,1.3967,1819700.0,515.41,1,1.9912,1.9912,0,0,871.6242071199762,402165.30464659986
170,1.397,1816800.0,515.3,1,2.0029,2.0029,0,0,871.592405298491,402146.17513304536
171,1.3974,1813900.0,515.19,1,2.0147,2.0147,0,0,871.5604829281915,402127.8328025894
172,1.3977,1811000.0,515.09,1,2.0265,2.0265,0,0,871.6441886071367,402175.0894304666
173,1.3981,1808100.0,514.98,1,2.0383,2.0383,0,0,871.6106487990451,402156.36444264423
174,1.3984,1805200.0,514.87,1,2.0501,2.0501,0,0,871.5767908405957,402137.10119954497
175,1.3986,1802300.0,514.77,1,2.0618,2.0618,0,0,871.6545775104928,402181.2331777557
176,1.3986,1799400.0,514.66,1,2.0736,2.0736,0,0,871.6188038783206,402159.54618429655
177,1.3986,1796500.0,514.55,1,2.0854,2.0854,0,0,871.5825508580572,402137.8136380592
178,1.3987,1793700.0,514.45,1,2.0972,2.0972,0,0,871.6144209378921,402155.89585183095
179,1.3987,1790800.0,514.34,1,2.109,2.109,0,0,871.5764340342689,402133.6280035443
180,1.3987,1787900.0,514.24,1,2.1208,2.1208,0,0,871.6440723494911,402172.00638398604
181,1.3987,1785000.0,514.13,1,2.1325,2.1325,0,0,871.6038205390444,402148.8978906708
182,1.3988,1782200.0,514.03,1,2.1443,2.1443,0,0,871.6289021880388,402164.02214769414
183,1.3988,1779300.0,513.92,1,2.1561,2.1561,0,0,871.5866873516499,402140.2196286983
184,1.3986,1776200.0,513.81,1,2.1679,2.1679,0,0,871.6180583673207,402157.5451734256
185,1.3985,1773200.0,513.7,1,2.1797,2.1797,0,0,871.6102792712073,402153.29414407513
186,1.3983,1770100.0,513.59,1,2.1915,2.1915,0,0,871.6371233071371,402168.4974847056
187,1.3982,1767100.0,513.48,1,2.2032,2.2032,0,0,871.6257509864352,402162.62946510775
188,1.398,1764000.0,513.37,1,2.215,2.215,0,0,871.6481158034815,402175.71405324136
189,1.3979,1761000.0,513.26,1,2.2268,2.2268,0,0,871.6331639737092,402168.2159058126
190,1.3977,1757900.0,513.15,1,2.2386,2.2386,0,0,871.6511091993037,402179.19257720996
191,1.3976,1754800.0,513.04,1,2.2504,2.2504,0,0,871.6666538695893,402189.6575608453
192,1.3973,1751700.0,512.92,1,2.2621,2.2621,0,0,871.5861190186619,402143.9123157539
193,1.3969,1748600.0,512.81,1,2.2739,2.2739,0,0,871.5978989048338,402150.62706457643
194,1.3965,1745500.0,512.7,1,2.2857,2.2857,0,0,871.6073394560556,402156.1773366206
195,1.3961,1742300.0,512.59,1,2.2975,2.2975,0,0,871.6469399763456,402179.2951331017
196,1.3958,1739200.0,512.48,1,2.3093,2.3093,0,0,871.6514098770465,402183.0102991135
197,1.3954,1736000.0,512.37,1,2.3211,2.3211,0,0,871.6853103886126,402203.2041665092
198,1.395,1732900.0,512.25,1,2.3328,2.3328,0,0,871.5966000629829,402153.1271590416
199,1.3946,1729800.0,512.14,1,2.3446,2.3446,0,0,871.5949003434013,402153.1009178902
200,1.3942,1726700.0,512.03,1,2.3564,2.3564,0,0,871.5910419806514,402151.9795831091
201,1.3936,1724000.0,511.94,1,2.3682,2.3682,0,0,871.6359625620598,402177.0639006139
202,1.393,1721300.0,511.84,1,2.38,2.38,0,0,871.5930502193803,402151.8710545929
203,1.3924,1718500.0,511.75,1,2.3917,2.3917,0,0,871.6636528181853,402191.9754852023
204,1.3917,1715800.0,511.65,1,2.4035,2.4035,0,0,871.6178191657175,402164.57576646475
205,1.3911,1713000.0,511.56,1,2.4153,2.4153,0,0,871.6836085548225,402202.06628429587
206,1.3905,1710300.0,511.46,1,2.4271,2.4271,0,0,871.6349374225107,402173.88894525246
207,1.3899,1707500.0,511.36,1,2.4389,2.4389,0,0,871.613878582352,402161.7557999846
208,1.3893,1704800.0,511.27,1,2.4507,2.4507,0,0,871.644660716328,402179.23566311685
209,1.3887,1701600.0,511.16,1,2.4624,2.4624,0,0,871.6514278165564,402183.7967208053
210,1.3882,1698400.0,511.05,1,2.4742,2.4742,0,0,871.6557486187853,402187.7583201121
211,1.3876,1695200.0,510.94,1,2.486,2.486,0,0,871.6576718557204,402189.70922775054
212,1.387,1692000.0,510.83,1,2.4978,2.4978,0,0,871.6572450453683,402190.3868231838
213,1.3865,1688800.0,510.72,1,2.5096,2.5096,0,0,871.6545145246519,402190.5432271392
214,1.3859,1685600.0,510.61,1,2.5213,2.5213,0,0,871.6495254824179,402188.7426591894
215,1.3853,1682300.0,510.5,1,2.5331,2.5331,0,0,871.6685753113576,402200.9191022525
216,1.3847,1679100.0,510.39,1,2.5449,2.5449,0,0,871.6589366363818,402196.5664987947
217,1.384,1675700.0,510.27,1,2.5567,2.5567,0,0,871.6226306826104,402176.6309054842
218,1.383,1672100.0,510.15,1,2.5685,2.5685,0,0,871.63521496783,402182.78667131846
219,1.382,1668500.0,510.03,1,2.5803,2.5803,0,0,871.6447638527995,402187.2153868957
220,1.3811,1664900.0,509.91,1,2.592,2.592,0,0,871.6513521235818,402190.7133535714
221,1.3801,1661200.0,509.79,1,2.6038,2.6038,0,0,871.679618710044,402206.001842258
222,1.3791,1657600.0,509.67,1,2.6156,2.6156,0,0,871.6802346425994,402205.313605617
223,1.3782,1654000.0,509.55,1,2.6274,2.6274,0,0,871.6781067207646,402203.8156616311
224,1.3772,1650400.0,509.43,1,2.6392,2.6392,0,0,871.6732999106265,402199.99848262867
225,1.3762,1646800.0,509.3,1,2.6509,2.6509,0,0,871.5945060339645,402154.01594682
226,1.3752,1643100.0,509.19,1,2.6627,2.6627,0,0,871.6791914879453,402201.27974672883
227,1.3742,1639500.0,509.07,1,2.6745,2.6745,0,0,871.666485961004,402192.8548138692
228,1.3732,1635900.0,508.95,1,2.6863,2.6863,0,0,871.6513471963682,402183.0008667021
229,1.3722,1632200.0,508.83,1,2.6981,2.6981,0,0,871.6564309457427,402184.77548214636
230,1.3712,1628600.0,508.71,1,2.7099,2.7099,0,0,871.6363757530714,402172.01583138056
231,1.3702,1625000.0,508.6,1,2.7216,2.7216,0,0,871.6824975928935,402196.7688188778
232,1.3692,1621400.0,508.48,1,2.7334,2.7334,0,0,871.6575321310264,402181.07819064875
233,1.3682,1617700.0,508.36,1,2.7452,2.7452,0,0,871.6521464595565,402176.60571019957
234,1.3673,1614000.0,508.24,1,2.757,2.757,0,0,871.6442514394895,402171.4461111305
235,1.3664,1610300.0,508.12,1,2.7688,2.7688,0,0,871.6339073633325,402164.816122334
236,1.3654,1606600.0,508.01,1,2.7806,2.7806,0,0,871.6874634259441,402193.4456262687
237,1.3645,1602800.0,507.89,1,2.7923,2.7923,0,0,871.6929118205567,402195.722985741
238,1.3636,1599100.0,507.77,1,2.8041,2.8041,0,0,871.6749950232087,402184.50015787367
239,1.3626,1595300.0,507.65,1,2.8159,2.8159,0,0,871.6754004828308,402182.858524641
240,1.3617,1591600.0,507.53,1,2.8277,2.8277,0,0,871.6529340335189,402168.84983607376
241,1.3608,1587900.0,507.41,1,2.8395,2.8395,0,0,871.6283591251924,402153.5443799679
242,1.3599,1584100.0,507.3,1,2.8512,2.8512,0,0,871.6857191260185,402184.5238535013
243,1.3591,1580300.0,507.18,1,2.863,2.863,0,0,871.6763890719519,402178.5923892504
244,1.3583,1576400.0,507.06,1,2.8748,2.8748,0,0,871.6844144453811,402182.47790096566
245,1.3576,1572600.0,506.94,1,2.8866,2.8866,0,0,871.6704057829749,402174.5279399004
246,1.3568,1568800.0,506.82,1,2.8984,2.8984,0,0,871.6542241413858,402164.3498910904
247,1.356,1564900.0,506.7,1,2.9102,2.9102,0,0,871.6550719398664,402163.7703419868
248,1.3553,1561100.0,506.59,1,2.9219,2.9219,0,0,871.6964769703701,402186.57923527155
249,1.3545,1557200.0,506.47,1,2.9337,2.9337,0,0,871.6924525900191,402182.9388854115
250,1.3537,1553400.0,506.35,1,2.9455,2.9455,0,0,871.6674907154835,402167.2356632126
251,1.353,1549100.0,506.22,1,2.9573,2.9573,0,0,871.6722343344153,402169.67106061254
252,1.3523,1544600.0,506.09,1,2.9691,2.9691,0,0,871.7108886358959,402191.2017019138
253,1.3516,1540200.0,505.95,1,2.9808,2.9808,0,0,871.667735766316,402166.51779960503
254,1.3509,1535700.0,505.82,1,2.9926,2.9926,0,0,871.7002841829834,402184.1767261278
255,1.3503,1531300.0,505.69,1,3.0044,3.0044,0,0,871.7118099593426,402190.6347266025
256,1.3496,1526800.0,505.55,1,3.0162,3.0162,0,0,871.6789269545047,402171.2206326892
257,1.3489,1522300.0,505.42,1,3.028,3.028,0,0,871.7026991897108,402183.2555942866
258,1.3482,1517900.0,505.28,1,3.0398,3.0398,0,0,871.6473941868957,402150.7613424919
259,1.3476,1513600.0,505.16,1,3.0515,3.0515,0,0,871.6897912206394,402173.445520029
260,1.3473,1509900.0,505.05,1,3.0633,3.0633,0,0,871.6847802428097,402171.7143170829
261,1.347,1506200.0,504.94,1,3.0751,3.0751,0,0,871.6780867595398,402168.9051987084
262,1.3466,1502400.0,504.83,1,3.0869,3.0869,0,0,871.6866827740236,402173.5918760446
263,1.3463,1498700.0,504.72,1,3.0987,3.0987,0,0,871.6766290954771,402168.611765438
264,1.346,1495000.0,504.61,1,3.1104,3.1104,0,0,871.6650049915652,402162.61245285405
265,1.3457,1491200.0,504.5,1,3.1222,3.1222,0,0,871.66845928397,402164.93983042217
266,1.3454,1487500.0,504.4,1,3.134,3.134,0,0,871.7106365600009,402188.5428383916
267,1.345,1483800.0,504.29,1,3.1458,3.1458,0,0,871.6942086105389,402178.395053641
268,1.3449,1480500.0,504.19,1,3.1576,3.1576,0,0,871.6676465272685,402165.19019157096
269,1.3448,1477200.0,504.1,1,3.1694,3.1694,0,0,871.6964217638637,402182.6005635415
270,1.3447,1474000.0,504.01,1,3.1811,3.1811,0,0,871.7076802698973,402190.0937431799
271,1.3446,1470800.0,503.92,1,3.1929,3.1929,0,0,871.7177627299102,402196.81906138855
272,1.3446,1467500.0,503.82,1,3.2047,3.2047,0,0,871.6867839574851,402181.7617310774
273,1.3445,1464300.0,503.73,1,3.2165,3.2165,0,0,871.694662304773,402187.0431636483
274,1.3444,1461100.0,503.64,1,3.2283,3.2283,0,0,871.701430444129,402191.59143778856
275,1.3443,1457900.0,503.55,1,3.24,3.24,0,0,871.7071097544613,402195.41783933947
276,1.3441,1454300.0,503.45,1,3.2518,3.2518,0,0,871.7191297088744,402201.7738240106
277,1.3439,1450500.0,503.34,1,3.2636,3.2636,0,0,871.7058603143656,402194.06641952996
278,1.3437,1446600.0,503.23,1,3.2754,3.2754,0,0,871.7067482291309,402194.0513269485
279,1.3434,1442800.0,503.12,1,3.2872,3.2872,0,0,871.6907597754566,402183.4199437349
280,1.3432,1438900.0,503.01,1,3.299,3.299,0,0,871.6888215493249,402181.46471689147
281,1.343,1435000.0,502.9,1,3.3107,3.3107,0,0,871.6854759627694,402178.5394250357
282,1.3428,1431200.0,502.8,1,3.3225,3.3225,0,0,871.7198306279929,402196.18734423374
283,1.3425,1427300.0,502.69,1,3.3343,3.3343,0,0,871.7136847051888,402190.2267735338
284,1.3423,1423400.0,502.58,1,3.3461,3.3461,0,0,871.7062265351242,402184.4330659188
