"Density","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
362.57,0.087234,3560.9,-0.21469,0,2.9325e+06,538.02,1,0,-13.88,0,0
362.57,0.087241,3561.1,-0.18015,0,2.9325e+06,538.02,1,0.025662,-13.855,0,0
362.57,0.087247,3561.4,-0.14562,0,2.9325e+06,538.02,1,0.051325,-13.829,0,0
362.57,0.087254,3561.7,-0.11108,0,2.9325e+06,538.02,1,0.076987,-13.804,0,0
362.57,0.08726,3561.9,-0.081589,0,2.9325e+06,538.02,1,0.10265,-13.778,0,0
362.57,0.087267,3562.2,-0.09592,0,2.9325e+06,538.02,1,0.12831,-13.752,0,0
362.57,0.087274,3562.5,-0.11025,0,2.9325e+06,538.02,1,0.15397,-13.727,0,0
362.57,0.087281,3562.8,-0.12458,0,2.9325e+06,538.02,1,0.17964,-13.701,0,0
362.57,0.087288,3563.1,-0.13766,0,2.9325e+06,538.02,1,0.2053,-13.675,0,0
362.57,0.087296,3563.4,-0.14589,0,2.9325e+06,538.02,1,0.23096,-13.65,0,0
362.57,0.087303,3563.7,-0.15413,0,2.9325e+06,538.02,1,0.25663,-13.624,0,0
362.57,0.087311,3564,-0.16236,0,2.9325e+06,538.02,1,0.28229,-13.598,0,0
362.57,0.087319,3564.3,-0.16541,0,2.9325e+06,538.02,1,0.30795,-13.573,0,0
362.57,0.087328,3564.7,-0.15688,0,2.9325e+06,538.02,1,0.33361,-13.547,0,0
362.57,0.087337,3565,-0.14836,0,2.9325e+06,538.02,1,0.35927,-13.521,0,0
362.57,0.087346,3565.4,-0.13984,0,2.9325e+06,538.02,1,0.38494,-13.496,0,0
362.57,0.087356,3565.8,-0.13958,0,2.9325e+06,538.02,1,0.4106,-13.47,0,0
362.57,0.087365,3566.1,-0.15107,0,2.9325e+06,538.02,1,0.43626,-13.444,0,0
362.57,0.087375,3566.5,-0.16256,0,2.9325e+06,538.02,1,0.46192,-13.419,0,0
362.57,0.087385,3566.9,-0.17405,0,2.9325e+06,538.02,1,0.48759,-13.393,0,0
362.57,0.087397,3567.4,-0.21347,0,2.9325e+06,538.02,1,0.51325,-13.367,0,0
362.57,0.08741,3567.9,-0.27904,0,2.9325e+06,538.02,1,0.53891,-13.342,0,0
362.57,0.087423,3568.4,-0.34462,0,2.9325e+06,538.02,1,0.56458,-13.316,0,0
362.57,0.087436,3568.9,-0.41019,0,2.9325e+06,538.02,1,0.59024,-13.29,0,0
362.57,0.087452,3569.6,-0.41693,0,2.9325e+06,538.02,1,0.6159,-13.265,0,0
362.57,0.08747,3570.3,-0.38754,0,2.9325e+06,538.02,1,0.64156,-13.239,0,0
362.57,0.087488,3571,-0.35814,0,2.9324e+06,538.02,1,0.66722,-13.213,0,0
362.56,0.087506,3571.7,-0.32875,0,2.9324e+06,538.02,1,0.69289,-13.188,0,0
362.56,0.087524,3572.4,-0.31979,0,2.9324e+06,538.02,1,0.71855,-13.162,0,0
362.56,0.087542,3573.1,-0.31866,0,2.9324e+06,538.02,1,0.74421,-13.136,0,0
362.56,0.08756,3573.8,-0.31753,0,2.9324e+06,538.02,1,0.76987,-13.111,0,0
362.56,0.087577,3574.5,-0.3164,0,2.9324e+06,538.02,1,0.79554,-13.085,0,0
362.56,0.087599,3575.4,-0.39953,0,2.9324e+06,538.02,1,0.8212,-13.059,0,0
362.56,0.087621,3576.3,-0.50039,0,2.9324e+06,538.02,1,0.84686,-13.034,0,0
362.56,0.087643,3577.1,-0.60126,0,2.9324e+06,538.02,1,0.87252,-13.008,0,0
362.56,0.087665,3578,-0.70212,0,2.9324e+06,538.02,1,0.89819,-12.982,0,0
362.56,0.087694,3579.2,-0.64658,0,2.9324e+06,538.02,1,0.92385,-12.957,0,0
362.56,0.087723,3580.4,-0.57914,0,2.9324e+06,538.02,1,0.94951,-12.931,0,0
362.56,0.087753,3581.6,-0.5117,0,2.9324e+06,538.02,1,0.97517,-12.905,0,0
362.56,0.087782,3582.8,-0.44508,0,2.9324e+06,538.02,1,1.0008,-12.88,0,0
362.56,0.087812,3584,-0.40263,0,2.9324e+06,538.02,1,1.0265,-12.854,0,0
362.56,0.087842,3585.2,-0.36018,0,2.9324e+06,538.02,1,1.0522,-12.828,0,0
362.56,0.087872,3586.4,-0.31773,0,2.9324e+06,538.02,1,1.0778,-12.803,0,0
362.56,0.087902,3587.6,-0.27798,0,2.9323e+06,538.02,1,1.1035,-12.777,0,0
362.56,0.087932,3588.8,-0.25534,0,2.9323e+06,538.02,1,1.1291,-12.751,0,0
362.56,0.087962,3590,-0.2327,0,2.9323e+06,538.02,1,1.1548,-12.726,0,0
362.55,0.087992,3591.1,-0.21007,0,2.9323e+06,538.02,1,1.1805,-12.7,0,0
362.55,0.088023,3592.4,-0.24078,0,2.9323e+06,538.02,1,1.2061,-12.674,0,0
362.55,0.088058,3593.8,-0.44129,0,2.9323e+06,538.02,1,1.2318,-12.649,0,0
362.55,0.088093,3595.2,-0.64179,0,2.9323e+06,538.02,1,1.2575,-12.623,0,0
362.55,0.088128,3596.6,-0.8423,0,2.9323e+06,538.02,1,1.2831,-12.597,0,0
362.55,0.088164,3598,-0.94325,0,2.9323e+06,538.02,1,1.3088,-12.572,0,0
362.55,0.088201,3599.5,-0.85302,0,2.9323e+06,538.02,1,1.3344,-12.546,0,0
362.55,0.088239,3601,-0.76279,0,2.9322e+06,538.02,1,1.3601,-12.52,0,0
362.55,0.088276,3602.5,-0.67256,0,2.9322e+06,538.02,1,1.3858,-12.495,0,0
362.55,0.088314,3604,-0.58074,0,2.9322e+06,538.02,1,1.4114,-12.469,0,0
362.55,0.088351,3605.5,-0.48694,0,2.9322e+06,538.02,1,1.4371,-12.443,0,0
362.55,0.088389,3607,-0.39314,0,2.9322e+06,538.02,1,1.4628,-12.418,0,0
362.54,0.088426,3608.5,-0.29933,0,2.9322e+06,538.02,1,1.4884,-12.392,0,0
362.54,0.088467,3610.1,-0.32811,0,2.9322e+06,538.02,1,1.5141,-12.366,0,0
362.54,0.08851,3611.8,-0.45762,0,2.9322e+06,538.02,1,1.5397,-12.341,0,0
362.54,0.088554,3613.5,-0.58713,0,2.9321e+06,538.02,1,1.5654,-12.315,0,0
362.54,0.088597,3615.3,-0.71664,0,2.9321e+06,538.02,1,1.5911,-12.289,0,0
362.54,0.08864,3617,-0.69529,0,2.9321e+06,538.02,1,1.6167,-12.264,0,0
362.54,0.088681,3618.6,-0.59347,0,2.9321e+06,538.02,1,1.6424,-12.238,0,0
362.54,0.088723,3620.3,-0.49165,0,2.9321e+06,538.02,1,1.6681,-12.212,0,0
362.54,0.088764,3621.9,-0.38983,0,2.9321e+06,538.02,1,1.6937,-12.187,0,0
362.53,0.088806,3623.6,-0.38967,0,2.9321e+06,538.02,1,1.7194,-12.161,0,0
362.53,0.088848,3625.2,-0.42241,0,2.932e+06,538.02,1,1.745,-12.135,0,0
362.53,0.08889,3626.9,-0.45516,0,2.932e+06,538.02,1,1.7707,-12.11,0,0
362.53,0.088933,3628.5,-0.4879,0,2.932e+06,538.02,1,1.7964,-12.084,0,0
362.53,0.088984,3630.6,-0.79066,0,2.932e+06,538.02,1,1.822,-12.058,0,0
362.53,0.089037,3632.6,-1.1378,0,2.9319e+06,538.02,1,1.8477,-12.033,0,0
362.52,0.08909,3634.7,-1.485,0,2.9319e+06,538.02,1,1.8734,-12.007,0,0
362.52,0.089143,3636.8,-1.8322,0,2.9319e+06,538.02,1,1.899,-11.981,0,0
362.52,0.0892,3639.1,-1.6184,0,2.9319e+06,538.02,1,1.9247,-11.956,0,0
362.52,0.089257,3641.3,-1.3824,0,2.9318e+06,538.01,1,1.9503,-11.93,0,0
362.52,0.089314,3643.5,-1.1464,0,2.9318e+06,538.01,1,1.976,-11.904,0,0
362.51,0.08937,3645.8,-0.92893,0,2.9318e+06,538.01,1,2.0017,-11.879,0,0
362.51,0.089425,3648,-0.97618,0,2.9318e+06,538.01,1,2.0273,-11.853,0,0
362.51,0.089479,3650.2,-1.0234,0,2.9318e+06,538.01,1,2.053,-11.827,0,0
362.51,0.089533,3652.4,-1.0707,0,2.9318e+06,538.01,1,2.0787,-11.802,0,0
362.51,0.089588,3654.6,-1.1001,0,2.9318e+06,538.01,1,2.1043,-11.776,0,0
362.51,0.089647,3656.9,-1.0504,0,2.9318e+06,538.01,1,2.13,-11.751,0,0
362.51,0.089707,3659.3,-1.0008,0,2.9317e+06,538.01,1,2.1556,-11.725,0,0
362.51,0.089767,3661.6,-0.95112,0,2.9317e+06,538.01,1,2.1813,-11.699,0,0
362.5,0.089827,3664,-0.90065,0,2.9317e+06,538.01,1,2.207,-11.674,0,0
362.5,0.089888,3666.4,-0.84829,0,2.9317e+06,538.01,1,2.2326,-11.648,0,0
362.5,0.089949,3668.8,-0.79593,0,2.9316e+06,538.01,1,2.2583,-11.622,0,0
362.5,0.09001,3671.2,-0.74357,0,2.9316e+06,538.01,1,2.284,-11.597,0,0
362.5,0.090076,3673.8,-0.82824,0,2.9316e+06,538.01,1,2.3096,-11.571,0,0
362.49,0.090147,3676.6,-1.0998,0,2.9315e+06,538.01,1,2.3353,-11.545,0,0
362.49,0.090219,3679.5,-1.3714,0,2.9315e+06,538.01,1,2.3609,-11.52,0,0
362.49,0.090291,3682.3,-1.643,0,2.9315e+06,538.01,1,2.3866,-11.494,0,0
362.49,0.090366,3685.2,-1.7343,0,2.9314e+06,538.01,1,2.4123,-11.468,0,0
362.48,0.090442,3688.2,-1.6734,0,2.9314e+06,538.01,1,2.4379,-11.443,0,0
362.48,0.090518,3691.2,-1.6125,0,2.9314e+06,538.01,1,2.4636,-11.417,0,0
362.48,0.090594,3694.3,-1.5516,0,2.9314e+06,538.01,1,2.4893,-11.391,0,0
362.48,0.090666,3697.1,-1.5298,0,2.9313e+06,538.01,1,2.5149,-11.366,0,0
362.47,0.090736,3699.9,-1.5279,0,2.9313e+06,538.01,1,2.5406,-11.34,0,0
362.47,0.090807,3702.7,-1.526,0,2.9313e+06,538.01,1,2.5662,-11.314,0,0
362.47,0.090877,3705.4,-1.5241,0,2.9312e+06,538.01,1,2.5919,-11.289,0,0
362.47,0.090952,3708.5,-1.4796,0,2.9312e+06,538.01,1,2.6176,-11.263,0,0
362.47,0.091028,3711.6,-1.4232,0,2.9312e+06,538.01,1,2.6432,-11.237,0,0
362.47,0.091104,3714.6,-1.3667,0,2.9312e+06,538.01,1,2.6689,-11.212,0,0
362.47,0.091181,3717.7,-1.3102,0,2.9312e+06,538.01,1,2.6946,-11.186,0,0
362.47,0.091255,3720.7,-1.1544,0,2.9312e+06,538.01,1,2.7202,-11.16,0,0
362.47,0.09133,3723.7,-0.9876,0,2.9312e+06,538.01,1,2.7459,-11.135,0,0
362.46,0.091404,3726.7,-0.82078,0,2.9312e+06,538.01,1,2.7715,-11.109,0,0
362.46,0.091478,3729.7,-0.65694,0,2.9312e+06,538.01,1,2.7972,-11.083,0,0
362.46,0.091567,3733.1,-0.64419,0,2.9311e+06,538.01,1,2.8229,-11.058,0,0
362.45,0.091656,3736.6,-0.63145,0,2.9311e+06,538.01,1,2.8485,-11.032,0,0
362.45,0.091745,3740,-0.61871,0,2.931e+06,538.01,1,2.8742,-11.006,0,0
362.45,0.091834,3743.5,-0.62648,0,2.931e+06,538.01,1,2.8999,-10.981,0,0
