,Density,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,entropy,total enthalpt
0,362.63,0.085891,3508.2,-1.0555,0,2933200.0,538.03,1,0.0,-13.88,0,0,871.4523438439359,834271921.7837003
1,362.63,0.085901,3508.6,-0.97963,0,2933200.0,538.03,1,0.025662,-13.855,0,0,871.4523438439359,834271921.7837003
2,362.63,0.085911,3509.0,-0.9038,0,2933200.0,538.03,1,0.051325,-13.829,0,0,871.4523438439359,834271921.7837003
3,362.63,0.085922,3509.5,-0.82797,0,2933200.0,538.03,1,0.076987,-13.804,0,0,871.4523438439359,834271921.7837003
4,362.63,0.085932,3509.9,-0.75215,0,2933200.0,538.03,1,0.10265,-13.778,0,0,871.4523438439359,834271921.7837003
5,362.63,0.085942,3510.3,-0.67632,0,2933200.0,538.03,1,0.12831,-13.752,0,0,871.4523438439359,834271921.7837003
6,362.63,0.085952,3510.8,-0.6005,0,2933200.0,538.03,1,0.15397,-13.727,0,0,871.4523438439359,834271921.7837003
7,362.63,0.085963,3511.2,-0.52467,0,2933300.0,538.03,1,0.17964,-13.701,0,0,871.4474766422582,834421525.718356
8,362.63,0.085973,3511.6,-0.44884,0,2933300.0,538.03,1,0.2053,-13.675,0,0,871.4474766422582,834421525.718356
9,362.63,0.085983,3512.1,-0.37302,0,2933300.0,538.03,1,0.23096,-13.65,0,0,871.4474766422582,834421525.718356
10,362.63,0.085993,3512.5,-0.29719,0,2933300.0,538.03,1,0.25663,-13.624,0,0,871.4474766422582,834421525.718356
11,362.63,0.086003,3512.9,-0.22136,0,2933300.0,538.03,1,0.28229,-13.598,0,0,871.4474766422582,834421525.718356
12,362.63,0.086017,3513.5,-0.31293,0,2933300.0,538.03,1,0.30795,-13.573,0,0,871.4474766422582,834421525.718356
13,362.63,0.086031,3514.0,-0.43028,0,2933300.0,538.03,1,0.33361,-13.547,0,0,871.4474766422582,834421525.718356
14,362.63,0.086045,3514.6,-0.54763,0,2933300.0,538.03,1,0.35927,-13.521,0,0,871.4474766422582,834421525.718356
15,362.63,0.086059,3515.1,-0.66499,0,2933200.0,538.03,1,0.38494,-13.496,0,0,871.4523438439359,834271921.7837003
16,362.63,0.086073,3515.7,-0.78234,0,2933200.0,538.03,1,0.4106,-13.47,0,0,871.4523438439359,834271921.7837003
17,362.63,0.086088,3516.2,-0.8997,0,2933200.0,538.03,1,0.43626,-13.444,0,0,871.4523438439359,834271921.7837003
18,362.63,0.086102,3516.8,-1.0171,0,2933200.0,538.03,1,0.46192,-13.419,0,0,871.4523438439359,834271921.7837003
19,362.63,0.086116,3517.4,-1.1344,0,2933200.0,538.03,1,0.48759,-13.393,0,0,871.4523438439359,834271921.7837003
20,362.63,0.08613,3517.9,-1.2518,0,2933200.0,538.03,1,0.51325,-13.367,0,0,871.4523438439359,834271921.7837003
21,362.62,0.086144,3518.5,-1.3691,0,2933200.0,538.03,1,0.53891,-13.342,0,0,871.4523438439359,834225932.2973096
22,362.62,0.086158,3519.0,-1.4865,0,2933200.0,538.02,1,0.56458,-13.316,0,0,871.3876011315876,834764779.2212216
23,362.62,0.086177,3519.8,-1.4999,0,2933200.0,538.02,1,0.59024,-13.29,0,0,871.3876011315876,834764779.2212216
24,362.62,0.086197,3520.6,-1.4755,0,2933200.0,538.02,1,0.6159,-13.265,0,0,871.3876011315876,834764779.2212216
25,362.62,0.086218,3521.4,-1.451,0,2933200.0,538.02,1,0.64156,-13.239,0,0,871.3876011315876,834764779.2212216
26,362.62,0.086238,3522.2,-1.4266,0,2933200.0,538.02,1,0.66722,-13.213,0,0,871.3876011315876,834764779.2212216
27,362.62,0.086259,3523.0,-1.4021,0,2933200.0,538.02,1,0.69289,-13.188,0,0,871.3876011315876,834764779.2212216
28,362.62,0.086279,3523.8,-1.3777,0,2933200.0,538.02,1,0.71855,-13.162,0,0,871.3876011315876,834764779.2212216
29,362.62,0.0863,3524.7,-1.3532,0,2933100.0,538.02,1,0.74421,-13.136,0,0,871.3924654882458,834615138.0509585
30,362.62,0.08632,3525.5,-1.3288,0,2933100.0,538.02,1,0.76987,-13.111,0,0,871.3924654882458,834615138.0509585
31,362.62,0.086341,3526.3,-1.3043,0,2933100.0,538.02,1,0.79554,-13.085,0,0,871.3924654882458,834615138.0509585
32,362.62,0.086361,3527.1,-1.2799,0,2933100.0,538.02,1,0.8212,-13.059,0,0,871.3924654882458,834615138.0509585
33,362.62,0.086382,3527.9,-1.2554,0,2933100.0,538.02,1,0.84686,-13.034,0,0,871.3924654882458,834615138.0509585
34,362.62,0.086403,3528.8,-1.2297,0,2933100.0,538.02,1,0.87252,-13.008,0,0,871.3924654882458,834615138.0509585
35,362.62,0.086424,3529.6,-1.203,0,2933100.0,538.02,1,0.89819,-12.982,0,0,871.3924654882458,834615138.0509585
36,362.62,0.086446,3530.5,-1.1763,0,2933100.0,538.02,1,0.92385,-12.957,0,0,871.3924654882458,834615138.0509585
37,362.62,0.086467,3531.3,-1.1496,0,2933100.0,538.02,1,0.94951,-12.931,0,0,871.3924654882458,834615138.0509585
38,362.62,0.086488,3532.2,-1.123,0,2933100.0,538.02,1,0.97517,-12.905,0,0,871.3924654882458,834615138.0509585
39,362.61,0.08651,3533.0,-1.0963,0,2933100.0,538.02,1,1.0008,-12.88,0,0,871.3924654882458,834569128.3649951
40,362.61,0.086531,3533.9,-1.0696,0,2933100.0,538.02,1,1.0265,-12.854,0,0,871.3924654882458,834569128.3649951
41,362.61,0.086553,3534.7,-1.0429,0,2933100.0,538.02,1,1.0522,-12.828,0,0,871.3924654882458,834569128.3649951
42,362.61,0.086574,3535.6,-1.0163,0,2933100.0,538.02,1,1.0778,-12.803,0,0,871.3924654882458,834569128.3649951
43,362.61,0.086595,3536.4,-0.9896,0,2933000.0,538.02,1,1.1035,-12.777,0,0,871.3973309776391,834419499.297935
44,362.61,0.086617,3537.3,-0.96293,0,2933000.0,538.02,1,1.1291,-12.751,0,0,871.3973309776391,834419499.297935
45,362.61,0.086639,3538.2,-0.95858,0,2933000.0,538.02,1,1.1548,-12.726,0,0,871.3973309776391,834419499.297935
46,362.61,0.086663,3539.1,-0.97982,0,2933000.0,538.02,1,1.1805,-12.7,0,0,871.3973309776391,834419499.297935
47,362.61,0.086687,3540.1,-1.0011,0,2933000.0,538.02,1,1.2061,-12.674,0,0,871.3973309776391,834419499.297935
48,362.61,0.086711,3541.1,-1.0223,0,2933000.0,538.02,1,1.2318,-12.649,0,0,871.3973309776391,834419499.297935
49,362.61,0.086735,3542.0,-1.0435,0,2933000.0,538.02,1,1.2575,-12.623,0,0,871.3973309776391,834419499.297935
50,362.61,0.086759,3543.0,-1.0648,0,2933000.0,538.02,1,1.2831,-12.597,0,0,871.3973309776391,834419499.297935
51,362.61,0.086782,3543.9,-1.086,0,2933000.0,538.02,1,1.3088,-12.572,0,0,871.3973309776391,834419499.297935
52,362.61,0.086806,3544.9,-1.1073,0,2933000.0,538.02,1,1.3344,-12.546,0,0,871.3973309776391,834419499.297935
53,362.61,0.08683,3545.9,-1.1285,0,2933000.0,538.02,1,1.3601,-12.52,0,0,871.3973309776391,834419499.297935
54,362.61,0.086854,3546.8,-1.1497,0,2933000.0,538.02,1,1.3858,-12.495,0,0,871.3973309776391,834419499.297935
55,362.61,0.086878,3547.8,-1.171,0,2933000.0,538.02,1,1.4114,-12.469,0,0,871.3973309776391,834419499.297935
