Density,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,entropy,total enthalpt,fundamental_derivative_of_gas_dynamics
0,362.57,0.087234,3560.9,-0.21469,0,2932500.0,538.02,1,0.0,-13.88,0,0,871.42167543384,833487583.8592869,4.008066362978194
1,362.57,0.087241,3561.1,-0.18015,0,2932500.0,538.02,1,0.025662,-13.855,0,0,871.42167543384,833487583.8592869,4.008066362978194
2,362.57,0.087247,3561.4,-0.14562,0,2932500.0,538.02,1,0.051325,-13.829,0,0,871.42167543384,833487583.8592869,4.008066362978194
3,362.57,0.087254,3561.7,-0.11108,0,2932500.0,538.02,1,0.076987,-13.804,0,0,871.42167543384,833487583.8592869,4.008066362978194
4,362.57,0.08726,3561.9,-0.081589,0,2932500.0,538.02,1,0.10265,-13.778,0,0,871.42167543384,833487583.8592869,4.008066362978194
5,362.57,0.087267,3562.2,-0.09592,0,2932500.0,538.02,1,0.12831,-13.752,0,0,871.42167543384,833487583.8592869,4.008066362978194
6,362.57,0.087274,3562.5,-0.11025,0,2932500.0,538.02,1,0.15397,-13.727,0,0,871.42167543384,833487583.8592869,4.008066362978194
7,362.57,0.087281,3562.8,-0.12458,0,2932500.0,538.02,1,0.17964,-13.701,0,0,871.42167543384,833487583.8592869,4.008066362978194
8,362.57,0.087288,3563.1,-0.13766,0,2932500.0,538.02,1,0.2053,-13.675,0,0,871.42167543384,833487583.8592869,4.008066362978194
9,362.57,0.087296,3563.4,-0.14589,0,2932500.0,538.02,1,0.23096,-13.65,0,0,871.42167543384,833487583.8592869,4.008066362978194
10,362.57,0.087303,3563.7,-0.15413,0,2932500.0,538.02,1,0.25663,-13.624,0,0,871.42167543384,833487583.8592869,4.008066362978194
11,362.57,0.087311,3564.0,-0.16236,0,2932500.0,538.02,1,0.28229,-13.598,0,0,871.42167543384,833487583.8592869,4.008066362978194
12,362.57,0.087319,3564.3,-0.16541,0,2932500.0,538.02,1,0.30795,-13.573,0,0,871.42167543384,833487583.8592869,4.008066362978194
13,362.57,0.087328,3564.7,-0.15688,0,2932500.0,538.02,1,0.33361,-13.547,0,0,871.42167543384,833487583.8592869,4.008066362978194
14,362.57,0.087337,3565.0,-0.14836,0,2932500.0,538.02,1,0.35927,-13.521,0,0,871.42167543384,833487583.8592869,4.008066362978194
15,362.57,0.087346,3565.4,-0.13984,0,2932500.0,538.02,1,0.38494,-13.496,0,0,871.42167543384,833487583.8592869,4.008066362978194
16,362.57,0.087356,3565.8,-0.13958,0,2932500.0,538.02,1,0.4106,-13.47,0,0,871.42167543384,833487583.8592869,4.008066362978194
17,362.57,0.087365,3566.1,-0.15107,0,2932500.0,538.02,1,0.43626,-13.444,0,0,871.42167543384,833487583.8592869,4.008066362978194
18,362.57,0.087375,3566.5,-0.16256,0,2932500.0,538.02,1,0.46192,-13.419,0,0,871.42167543384,833487583.8592869,4.008066362978194
19,362.57,0.087385,3566.9,-0.17405,0,2932500.0,538.02,1,0.48759,-13.393,0,0,871.42167543384,833487583.8592869,4.008066362978194
20,362.57,0.087397,3567.4,-0.21347,0,2932500.0,538.02,1,0.51325,-13.367,0,0,871.42167543384,833487583.8592869,4.008066362978194
21,362.57,0.08741,3567.9,-0.27904,0,2932500.0,538.02,1,0.53891,-13.342,0,0,871.42167543384,833487583.8592869,4.008066362978194
22,362.57,0.087423,3568.4,-0.34462,0,2932500.0,538.02,1,0.56458,-13.316,0,0,871.42167543384,833487583.8592869,4.008066362978194
23,362.57,0.087436,3568.9,-0.41019,0,2932500.0,538.02,1,0.59024,-13.29,0,0,871.42167543384,833487583.8592869,4.008066362978194
24,362.57,0.087452,3569.6,-0.41693,0,2932500.0,538.02,1,0.6159,-13.265,0,0,871.42167543384,833487583.8592869,4.008066362978194
25,362.57,0.08747,3570.3,-0.38754,0,2932500.0,538.02,1,0.64156,-13.239,0,0,871.42167543384,833487583.8592869,4.008066362978194
26,362.57,0.087488,3571.0,-0.35814,0,2932400.0,538.02,1,0.66722,-13.213,0,0,871.4265477305703,833338010.989726,4.007764833694683
27,362.56,0.087506,3571.7,-0.32875,0,2932400.0,538.02,1,0.69289,-13.188,0,0,871.4265477305703,833292065.4074242,4.007764833694683
28,362.56,0.087524,3572.4,-0.31979,0,2932400.0,538.02,1,0.71855,-13.162,0,0,871.4265477305703,833292065.4074242,4.007764833694683
29,362.56,0.087542,3573.1,-0.31866,0,2932400.0,538.02,1,0.74421,-13.136,0,0,871.4265477305703,833292065.4074242,4.007764833694683
30,362.56,0.08756,3573.8,-0.31753,0,2932400.0,538.02,1,0.76987,-13.111,0,0,871.4265477305703,833292065.4074242,4.007764833694683
31,362.56,0.087577,3574.5,-0.3164,0,2932400.0,538.02,1,0.79554,-13.085,0,0,871.4265477305703,833292065.4074242,4.007764833694683
32,362.56,0.087599,3575.4,-0.39953,0,2932400.0,538.02,1,0.8212,-13.059,0,0,871.4265477305703,833292065.4074242,4.007764833694683
33,362.56,0.087621,3576.3,-0.50039,0,2932400.0,538.02,1,0.84686,-13.034,0,0,871.4265477305703,833292065.4074242,4.007764833694683
34,362.56,0.087643,3577.1,-0.60126,0,2932400.0,538.02,1,0.87252,-13.008,0,0,871.4265477305703,833292065.4074242,4.007764833694683
35,362.56,0.087665,3578.0,-0.70212,0,2932400.0,538.02,1,0.89819,-12.982,0,0,871.4265477305703,833292065.4074242,4.007764833694683
36,362.56,0.087694,3579.2,-0.64658,0,2932400.0,538.02,1,0.92385,-12.957,0,0,871.4265477305703,833292065.4074242,4.007764833694683
37,362.56,0.087723,3580.4,-0.57914,0,2932400.0,538.02,1,0.94951,-12.931,0,0,871.4265477305703,833292065.4074242,4.007764833694683
38,362.56,0.087753,3581.6,-0.5117,0,2932400.0,538.02,1,0.97517,-12.905,0,0,871.4265477305703,833292065.4074242,4.007764833694683
39,362.56,0.087782,3582.8,-0.44508,0,2932400.0,538.02,1,1.0008,-12.88,0,0,871.4265477305703,833292065.4074242,4.007764833694683
40,362.56,0.087812,3584.0,-0.40263,0,2932400.0,538.02,1,1.0265,-12.854,0,0,871.4265477305703,833292065.4074242,4.007764833694683
41,362.56,0.087842,3585.2,-0.36018,0,2932400.0,538.02,1,1.0522,-12.828,0,0,871.4265477305703,833292065.4074242,4.007764833694683
42,362.56,0.087872,3586.4,-0.31773,0,2932400.0,538.02,1,1.0778,-12.803,0,0,871.4265477305703,833292065.4074242,4.007764833694683
43,362.56,0.087902,3587.6,-0.27798,0,2932300.0,538.02,1,1.1035,-12.777,0,0,871.4314211636807,833142504.668451,4.007463182845625
44,362.56,0.087932,3588.8,-0.25534,0,2932300.0,538.02,1,1.1291,-12.751,0,0,871.4314211636807,833142504.668451,4.007463182845625
45,362.56,0.087962,3590.0,-0.2327,0,2932300.0,538.02,1,1.1548,-12.726,0,0,871.4314211636807,833142504.668451,4.007463182845625
46,362.55,0.087992,3591.1,-0.21007,0,2932300.0,538.02,1,1.1805,-12.7,0,0,871.4314211636807,833096568.6036633,4.007463182845625
47,362.55,0.088023,3592.4,-0.24078,0,2932300.0,538.02,1,1.2061,-12.674,0,0,871.4314211636807,833096568.6036633,4.007463182845625
48,362.55,0.088058,3593.8,-0.44129,0,2932300.0,538.02,1,1.2318,-12.649,0,0,871.4314211636807,833096568.6036633,4.007463182845625
49,362.55,0.088093,3595.2,-0.64179,0,2932300.0,538.02,1,1.2575,-12.623,0,0,871.4314211636807,833096568.6036633,4.007463182845625
