,Density,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,entropy,total enthalpt
0,362.59,0.086843,3545.6,-0.67998,0,2932800.0,538.02,1,0.0,-13.88,0,0,871.407065356712,834028286.6812961
1,362.59,0.086851,3546.0,-0.6329,0,2932800.0,538.02,1,0.025662,-13.855,0,0,871.407065356712,834028286.6812961
2,362.59,0.08686,3546.3,-0.58582,0,2932800.0,538.02,1,0.051325,-13.829,0,0,871.407065356712,834028286.6812961
3,362.59,0.086869,3546.7,-0.53874,0,2932800.0,538.02,1,0.076987,-13.804,0,0,871.407065356712,834028286.6812961
4,362.59,0.086877,3547.0,-0.49166,0,2932800.0,538.02,1,0.10265,-13.778,0,0,871.407065356712,834028286.6812961
5,362.59,0.086886,3547.4,-0.44458,0,2932800.0,538.02,1,0.12831,-13.752,0,0,871.407065356712,834028286.6812961
6,362.59,0.086894,3547.7,-0.3975,0,2932800.0,538.02,1,0.15397,-13.727,0,0,871.407065356712,834028286.6812961
7,362.59,0.086903,3548.1,-0.35042,0,2932800.0,538.02,1,0.17964,-13.701,0,0,871.407065356712,834028286.6812961
8,362.59,0.086912,3548.4,-0.31769,0,2932800.0,538.02,1,0.2053,-13.675,0,0,871.407065356712,834028286.6812961
9,362.59,0.086922,3548.8,-0.3401,0,2932700.0,538.02,1,0.23096,-13.65,0,0,871.411934247432,833878685.6947504
10,362.59,0.086932,3549.2,-0.36251,0,2932700.0,538.02,1,0.25663,-13.624,0,0,871.411934247432,833878685.6947504
11,362.59,0.086942,3549.6,-0.38492,0,2932700.0,538.02,1,0.28229,-13.598,0,0,871.411934247432,833878685.6947504
12,362.59,0.086952,3550.0,-0.40733,0,2932700.0,538.02,1,0.30795,-13.573,0,0,871.411934247432,833878685.6947504
13,362.59,0.086962,3550.4,-0.42974,0,2932700.0,538.02,1,0.33361,-13.547,0,0,871.411934247432,833878685.6947504
14,362.59,0.086972,3550.8,-0.45215,0,2932700.0,538.02,1,0.35927,-13.521,0,0,871.411934247432,833878685.6947504
15,362.59,0.086982,3551.2,-0.47456,0,2932700.0,538.02,1,0.38494,-13.496,0,0,871.411934247432,833878685.6947504
16,362.59,0.086993,3551.7,-0.49442,0,2932700.0,538.02,1,0.4106,-13.47,0,0,871.411934247432,833878685.6947504
17,362.59,0.087005,3552.2,-0.51067,0,2932700.0,538.02,1,0.43626,-13.444,0,0,871.411934247432,833878685.6947504
18,362.59,0.087017,3552.6,-0.52691,0,2932700.0,538.02,1,0.46192,-13.419,0,0,871.411934247432,833878685.6947504
19,362.59,0.08703,3553.1,-0.54316,0,2932700.0,538.02,1,0.48759,-13.393,0,0,871.411934247432,833878685.6947504
20,362.59,0.087042,3553.6,-0.5594,0,2932700.0,538.02,1,0.51325,-13.367,0,0,871.411934247432,833878685.6947504
21,362.58,0.087054,3554.1,-0.57564,0,2932700.0,538.02,1,0.53891,-13.342,0,0,871.411934247432,833832712.8238117
22,362.58,0.087066,3554.6,-0.59189,0,2932700.0,538.02,1,0.56458,-13.316,0,0,871.411934247432,833832712.8238117
23,362.58,0.087079,3555.0,-0.60813,0,2932700.0,538.02,1,0.59024,-13.29,0,0,871.411934247432,833832712.8238117
24,362.58,0.087092,3555.6,-0.61797,0,2932700.0,538.02,1,0.6159,-13.265,0,0,871.411934247432,833832712.8238117
25,362.58,0.087107,3556.2,-0.62389,0,2932700.0,538.02,1,0.64156,-13.239,0,0,871.411934247432,833832712.8238117
26,362.58,0.087122,3556.7,-0.6298,0,2932700.0,538.02,1,0.66722,-13.213,0,0,871.411934247432,833832712.8238117
27,362.58,0.087137,3557.3,-0.63571,0,2932700.0,538.02,1,0.69289,-13.188,0,0,871.411934247432,833832712.8238117
28,362.58,0.087151,3557.9,-0.64162,0,2932600.0,538.02,1,0.71855,-13.162,0,0,871.4168042729669,833683123.9560689
29,362.58,0.087166,3558.5,-0.64753,0,2932600.0,538.02,1,0.74421,-13.136,0,0,871.4168042729669,833683123.9560689
30,362.58,0.087181,3559.0,-0.65344,0,2932600.0,538.02,1,0.76987,-13.111,0,0,871.4168042729669,833683123.9560689
31,362.58,0.087195,3559.6,-0.65935,0,2932600.0,538.02,1,0.79554,-13.085,0,0,871.4168042729669,833683123.9560689
