"Mach","Pressure","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.15917,98751,1,0,0,0,0
0.15934,98751,1,0.0012294,0.0012294,0,0
0.15955,98748,1,0.0024587,0.0024587,0,0
0.15987,98742,1,0.0036881,0.0036881,0,0
0.16033,98734,1,0.0049175,0.0049175,0,0
0.16094,98725,1,0.0061468,0.0061468,0,0
0.16167,98713,1,0.0073762,0.0073762,0,0
0.16255,98699,1,0.0086056,0.0086056,0,0
0.16357,98683,1,0.0098349,0.0098349,0,0
0.16474,98664,1,0.011064,0.011064,0,0
0.16608,98643,1,0.012294,0.012294,0,0
0.16758,98619,1,0.013523,0.013523,0,0
0.16924,98592,1,0.014752,0.014752,0,0
0.17107,98562,1,0.015982,0.015982,0,0
0.17307,98528,1,0.017211,0.017211,0,0
0.17524,98491,1,0.018441,0.018441,0,0
0.17759,98451,1,0.01967,0.01967,0,0
0.18014,98406,1,0.020899,0.020899,0,0
0.18292,98357,1,0.022129,0.022129,0,0
0.18591,98303,1,0.023358,0.023358,0,0
0.18913,98244,1,0.024587,0.024587,0,0
0.19261,98180,1,0.025817,0.025817,0,0
0.19636,98109,1,0.027046,0.027046,0,0
0.20042,98031,1,0.028275,0.028275,0,0
0.20482,97947,1,0.029505,0.029505,0,0
0.20935,97856,1,0.030734,0.030734,0,0
0.21429,97754,1,0.031964,0.031964,0,0
0.21953,97643,1,0.033193,0.033193,0,0
0.22511,97523,1,0.034422,0.034422,0,0
0.23107,97392,1,0.035652,0.035652,0,0
0.23745,97247,1,0.036881,0.036881,0,0
0.24427,97089,1,0.03811,0.03811,0,0
0.25168,96918,1,0.03934,0.03934,0,0
0.25951,96730,1,0.040569,0.040569,0,0
0.26748,96525,1,0.041799,0.041799,0,0
0.27618,96295,1,0.043028,0.043028,0,0
0.28569,96057,1,0.044257,0.044257,0,0
0.29515,95788,1,0.045487,0.045487,0,0
0.30528,95486,1,0.046716,0.046716,0,0
0.31604,95178,1,0.047945,0.047945,0,0
0.32758,94835,1,0.049175,0.049175,0,0
0.33978,94462,1,0.050404,0.050404,0,0
0.35196,94058,1,0.051633,0.051633,0,0
0.36497,93620,1,0.052863,0.052863,0,0
0.37852,93146,1,0.054092,0.054092,0,0
0.3928,92638,1,0.055322,0.055322,0,0
0.40769,92090,1,0.056551,0.056551,0,0
0.42324,91498,1,0.05778,0.05778,0,0
0.43943,90864,1,0.05901,0.05901,0,0
0.45631,90181,1,0.060239,0.060239,0,0
0.47386,89451,1,0.061468,0.061468,0,0
0.49214,88665,1,0.062698,0.062698,0,0
0.51112,87827,1,0.063927,0.063927,0,0
0.53086,86929,1,0.065157,0.065157,0,0
0.55134,85973,1,0.066386,0.066386,0,0
0.57259,84952,1,0.067615,0.067615,0,0
0.59458,83868,1,0.068845,0.068845,0,0
0.61735,82718,1,0.070074,0.070074,0,0
0.64088,81501,1,0.071303,0.071303,0,0
0.66517,80215,1,0.072533,0.072533,0,0
0.69021,78862,1,0.073762,0.073762,0,0
0.71599,77441,1,0.074991,0.074991,0,0
0.74247,75954,1,0.076221,0.076221,0,0
0.76963,74403,1,0.07745,0.07745,0,0
0.79743,72790,1,0.07868,0.07868,0,0
0.82588,71118,1,0.079909,0.079909,0,0
0.85428,69393,1,0.081138,0.081138,0,0
0.88375,67633,1,0.082368,0.082368,0,0
0.91345,65847,1,0.083597,0.083597,0,0
0.94335,64031,1,0.084826,0.084826,0,0
0.97333,62204,1,0.086056,0.086056,0,0
1.0034,60365,1,0.087285,0.087285,0,0
1.0348,58447,1,0.088514,0.088514,0,0
1.0681,56443,1,0.089744,0.089744,0,0
1.1015,54435,1,0.090973,0.090973,0,0
1.1343,52422,1,0.092203,0.092203,0,0
1.1661,50534,1,0.093432,0.093432,0,0
1.1975,48661,1,0.094661,0.094661,0,0
1.2281,46869,1,0.095891,0.095891,0,0
1.2609,44970,1,0.09712,0.09712,0,0
1.2923,43184,1,0.098349,0.098349,0,0
1.3225,41499,1,0.099579,0.099579,0,0
1.3527,39819,1,0.10081,0.10081,0,0
1.3843,38113,1,0.10204,0.10204,0,0
1.235,45469,1,0.10327,0.10327,0,0
0.69083,74492,1,0.1045,0.1045,0,0
0.67568,75188,1,0.10573,0.10573,0,0
0.66034,75915,1,0.10696,0.10696,0,0
0.64696,76557,1,0.10818,0.10818,0,0
0.63538,77120,1,0.10941,0.10941,0,0
0.62511,77615,1,0.11064,0.11064,0,0
0.61617,78044,1,0.11187,0.11187,0,0
0.60821,78416,1,0.1131,0.1131,0,0
0.60132,78732,1,0.11433,0.11433,0,0
0.59539,79004,1,0.11556,0.11556,0,0
0.59075,79234,1,0.11679,0.11679,0,0
0.58721,79427,1,0.11802,0.11802,0,0
0.58392,79602,1,0.11925,0.11925,0,0
0.58109,79739,1,0.12048,0.12048,0,0
0.57813,79868,1,0.12171,0.12171,0,0
0.57511,79992,1,0.12294,0.12294,0,0
