"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,      -2.180322357,      0.2062993123,      -13.82108663,       3.233127422,      -17.95162416,       1.219593962
          0,           0,           1,      -2.359997982,   -0.007939711069,     -0.4896607286,       3.038828988,      -12.72845392,       8.662021777
          0,           0,           2,      -2.599875579,     -0.2159970241,     -0.2762651497,       2.842791457,      -10.36539636,       9.908552454
          0,           0,           3,      -2.570360928,     -0.4074317928,    -0.08553559528,        2.90303856,      -7.898217065,        9.34009275
          0,           0,           4,      -2.925706462,      -0.612519291,     -0.5037910444,       2.529921815,      -6.899620424,       8.688990102
          0,           0,           5,      -2.912107782,     -0.6927813759,      -0.493231369,       2.544728519,      -5.372031172,       8.040425618
          0,           0,           6,      -3.094526453,     -0.7844201671,     -0.8133397905,       2.344925607,      -5.028976925,       7.554372985
          0,           0,           7,      -3.087208226,     -0.8274960741,     -0.7484082216,       2.355841787,      -4.297126659,       6.897808664
          0,           0,           8,      -2.648560379,     -0.4662413472,     -0.1503737968,       2.817422112,      -3.299640971,       7.358088134
          0,           0,           9,      -3.098023147,     -0.8192766185,     -0.6757482351,        2.33902461,      -3.011939882,       7.367764016
          0,           0,          10,      -3.025239467,     -0.7106975425,     -0.5968466097,       2.427232879,      -2.600160722,       6.855204477
          0,           0,          11,      -3.246201819,     -0.8154382561,     -0.9560098989,       2.189454522,      -2.510886356,       7.197403922
          0,           0,          12,      -3.238975203,      -0.822914876,     -0.8819024817,        2.20243076,      -2.377819701,       6.621493176
          0,           0,          13,      -3.347425999,     -0.8602593896,      -1.149891409,       2.077115413,      -2.343212885,       6.925622265
          0,           0,          14,      -3.357082866,     -0.8928246187,      -1.055598377,       2.065065936,      -2.294666589,       6.702817565
          0,           0,          15,      -2.954371991,     -0.5620694703,      -0.479763724,       2.508071132,      -2.164404754,       6.957442187
          0,           0,          16,      -3.298486969,     -0.8517717302,     -0.9243986803,       2.130361689,      -2.170020549,       7.084630091
          0,           0,          17,      -3.337130365,     -0.7933426099,     -0.9607641661,       2.091114276,      -2.137547922,       6.533425844
          0,           0,          18,      -3.476779131,     -0.8260438723,       -1.23278337,       1.925920384,      -2.156926188,       6.904585596
          0,           0,          19,      -3.472326643,     -0.8053927938,       -1.13948734,       1.935208659,      -2.197690087,       5.961027075
          0,           0,          20,      -3.434360535,     -0.8659118442,      -1.119976216,       1.993436988,      -2.201934086,       6.489194247
          0,           0,          21,      -3.178074117,     -0.6450499526,     -0.6879183883,       2.299506438,       -2.13849618,       6.848237639
          0,           0,          22,      -3.550974661,     -0.9016571027,      -1.123725855,       1.916323563,      -2.133032953,       6.885801732
          0,           0,          23,      -3.579550674,     -0.9091571083,      -1.133925385,       1.903009383,      -2.139852204,        6.38563342
          0,           0,          24,      -3.725050169,      -0.977287778,      -1.417497584,       1.765675611,      -2.177347889,       6.805352546
          0,           0,          25,      -3.763348659,      -1.033568038,      -1.401854745,        1.72160469,      -2.193881018,       6.516924881
          0,           0,          26,       -3.33557935,     -0.6962530218,     -0.8458799613,       2.160963667,      -2.386503421,       6.740954043
          0,           0,          27,      -3.696050421,     -0.9133231899,      -1.314154272,       1.842017325,      -2.501531746,       6.845059376
          0,           0,          28,      -3.670472236,     -0.9181488539,      -1.231943701,       1.862615869,      -2.478747055,       6.361884575
          0,           0,          29,      -3.858563135,      -1.036292305,      -1.569552911,       1.699232165,      -2.506026277,       6.771801685
