nodeID,x[-],y[-],u[m/s],v[m/s],c[m/s],M[-],d[kg/m3],T[K],P[Pa],s[J/kgK],h[J/kg],G[-],theta[deg]
2500,6.1578e-05,0.00840013,111.67,0.214308,108.401,1.03017,38.7656,533.421,573483,706.119,344230,0.761832,0.109957
2599,0.000123129,0.00840024,111.502,0.203775,108.359,1.029,38.8277,533.441,574212,706.119,344249,0.761401,0.104711
2698,0.000183214,0.00840035,111.419,0.213407,108.339,1.02843,38.8582,533.451,574570,706.119,344258,0.76119,0.109741
2797,0.000242132,0.00840047,111.419,0.241939,108.339,1.02843,38.8581,533.451,574570,706.119,344258,0.76119,0.124414
2896,0.000300167,0.00840061,111.498,0.288583,108.358,1.02898,38.8289,533.442,574226,706.119,344249,0.761393,0.148294
2995,0.000357577,0.00840077,111.653,0.352957,108.396,1.03005,38.772,533.423,573558,706.119,344232,0.761788,0.181123
3094,0.000414952,0.00840099,112.125,0.499792,108.512,1.0333,38.5979,533.368,571511,706.119,344179,0.762996,0.255391
3193,0.000472605,0.00840128,112.558,0.641465,108.618,1.03629,38.4386,533.316,569633,706.119,344130,0.764101,0.326523
3292,0.000530243,0.00840164,112.881,0.755814,108.697,1.03851,38.32,533.278,568233,706.119,344094,0.764923,0.383627
3391,0.000587551,0.00840205,113.102,0.841962,108.751,1.04003,38.239,533.252,567275,706.119,344069,0.765484,0.426517
3490,0.000644273,0.00840248,113.227,0.899844,108.782,1.04089,38.1931,533.237,566733,706.119,344055,0.765802,0.455335
3589,0.000700195,0.00840294,113.262,0.930034,108.791,1.04113,38.1804,533.233,566582,706.119,344051,0.76589,0.470467
3688,0.00075527,0.00840339,113.345,0.973996,108.811,1.04171,38.1497,533.223,566219,706.119,344041,0.766102,0.492341
3787,0.000809788,0.00840389,113.66,1.08821,108.888,1.04388,38.0344,533.185,564852,706.119,344005,0.766901,0.548546
3886,0.0008639,0.00840443,113.925,1.18827,108.953,1.0457,37.9375,533.154,563702,706.119,343975,0.767571,0.59759
3985,0.000917482,0.00840501,114.143,1.27412,109.006,1.0472,37.8578,533.128,562756,706.119,343950,0.768122,0.639536
4084,0.00097043,0.00840562,114.317,1.34586,109.048,1.04839,37.7943,533.107,562001,706.119,343930,0.768561,0.674515
