,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,G
36,202.89,75001000.0,1.7,17306,-1.6394e-11,0,1499900.0,-9.8762e-15,569.84,1,0.036,0.036,0.25,0,0.7577617356292932
37,202.89,75001000.0,1.7,17306,-1.4524e-11,0,1499900.0,-1.0261e-14,569.84,1,0.037,0.037,0.25,0,0.7577617356292932
38,202.89,75001000.0,1.7,17306,-1.2294e-11,0,1499900.0,-1.1045e-14,569.84,1,0.038,0.038,0.25,0,0.7577617356292932
39,202.89,75001000.0,1.7,17306,-1.0065e-11,0,1499900.0,-1.183e-14,569.84,1,0.039,0.039,0.25,0,0.7577617356292932
40,202.89,75001000.0,1.7,17306,-7.8352e-12,0,1499900.0,-1.2614e-14,569.84,1,0.04,0.04,0.25,0,0.7577617356292932
41,202.89,75001000.0,1.7,17306,-5.6057e-12,0,1499900.0,-1.3399e-14,569.84,1,0.041,0.041,0.25,0,0.7577617356292932
42,202.89,75001000.0,1.7,17306,-3.3761e-12,0,1499900.0,-1.4183e-14,569.84,1,0.042,0.042,0.25,0,0.7577617356292932
43,202.89,75001000.0,1.7,17306,-1.1466e-12,0,1499900.0,-1.4968e-14,569.84,1,0.043,0.043,0.25,0,0.7577617356292932
44,202.89,75001000.0,1.7,17306,1.0829e-12,0,1499900.0,-1.5752e-14,569.84,1,0.044,0.044,0.25,0,0.7577617356292932
45,202.89,75001000.0,1.7,17306,3.3124e-12,0,1499900.0,-1.6537e-14,569.84,1,0.045,0.045,0.25,0,0.7577617356292932
46,202.89,75001000.0,1.7,17306,5.5419e-12,0,1499900.0,-1.7322e-14,569.84,1,0.046,0.046,0.25,0,0.7577617356292932
47,202.89,75001000.0,1.7,17306,7.7714e-12,0,1499900.0,-1.8106e-14,569.84,1,0.047,0.047,0.25,0,0.7577617356292932
