,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,G,s
33,202.89,75001000.0,1.7,17306,-1.2371e-11,0,1499900.0,-9.7463e-15,569.84,1,0.033,0.033,0.25,0,0.7577617356292932,738.0612411760285
34,202.89,75001000.0,1.7,17306,-1.2312e-11,0,1499900.0,-9.9023e-15,569.84,1,0.034,0.034,0.25,0,0.7577617356292932,738.0612411760285
35,202.89,75001000.0,1.7,17306,-1.2252e-11,0,1499900.0,-1.0058e-14,569.84,1,0.035,0.035,0.25,0,0.7577617356292932,738.0612411760285
36,202.89,75001000.0,1.7,17306,-1.2192e-11,0,1499900.0,-1.0214e-14,569.84,1,0.036,0.036,0.25,0,0.7577617356292932,738.0612411760285
37,202.89,75001000.0,1.7,17306,-1.1929e-11,0,1499900.0,-1.0239e-14,569.84,1,0.037,0.037,0.25,0,0.7577617356292932,738.0612411760285
38,202.89,75001000.0,1.7,17306,-1.1208e-11,0,1499900.0,-9.9682e-15,569.84,1,0.038,0.038,0.25,0,0.7577617356292932,738.0612411760285
39,202.89,75001000.0,1.7,17306,-1.0487e-11,0,1499900.0,-9.6976e-15,569.84,1,0.039,0.039,0.25,0,0.7577617356292932,738.0612411760285
40,202.89,75001000.0,1.7,17306,-9.7665e-12,0,1499900.0,-9.4269e-15,569.84,1,0.04,0.04,0.25,0,0.7577617356292932,738.0612411760285
41,202.89,75001000.0,1.7,17306,-9.0457e-12,0,1499900.0,-9.1563e-15,569.84,1,0.041,0.041,0.25,0,0.7577617356292932,738.0612411760285
42,202.89,75001000.0,1.7,17306,-8.3249e-12,0,1499900.0,-8.8857e-15,569.84,1,0.042,0.042,0.25,0,0.7577617356292932,738.0612411760285
43,202.89,75001000.0,1.7,17306,-7.6041e-12,0,1499900.0,-8.6151e-15,569.84,1,0.043,0.043,0.25,0,0.7577617356292932,738.0612411760285
44,202.89,75001000.0,1.7,17306,-6.8833e-12,0,1499900.0,-8.3444e-15,569.84,1,0.044,0.044,0.25,0,0.7577617356292932,738.0612411760285
45,202.89,75001000.0,1.7,17306,-6.1625e-12,0,1499900.0,-8.0738e-15,569.84,1,0.045,0.045,0.25,0,0.7577617356292932,738.0612411760285
46,202.89,75001000.0,1.7,17306,-5.4417e-12,0,1499900.0,-7.8032e-15,569.84,1,0.046,0.046,0.25,0,0.7577617356292932,738.0612411760285
47,202.89,75001000.0,1.7,17306,-4.7209e-12,0,1499900.0,-7.5326e-15,569.84,1,0.047,0.047,0.25,0,0.7577617356292932,738.0612411760285
48,202.89,75001000.0,1.7,17306,-4.0001e-12,0,1499900.0,-7.2619e-15,569.84,1,0.048,0.048,0.25,0,0.7577617356292932,738.0612411760285
49,202.89,75001000.0,1.7,17306,-3.2793e-12,0,1499900.0,-6.9913e-15,569.84,1,0.049,0.049,0.25,0,0.7577617356292932,738.0612411760285
