Mach,Pressure,Temperature,p,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,entropy,total enthalpt
0,0.17801,895280.0,541.88,0.99036,1,0.0,0.0,0,0,705.1114026236298,350018.19946607377
1,0.17801,895280.0,541.88,0.99036,1,0.00012294,0.00012294,0,0,705.1114026236298,350018.19946607377
2,0.17802,895280.0,541.88,0.99035,1,0.00024587,0.00024587,0,0,705.1114026236298,350018.2130632649
3,0.17802,895280.0,541.88,0.99035,1,0.00036881,0.00036881,0,0,705.1114026236298,350018.2130632649
4,0.17802,895280.0,541.88,0.99035,1,0.00049175,0.00049175,0,0,705.1114026236298,350018.2130632649
5,0.17803,895280.0,541.88,0.99035,1,0.00061469,0.00061469,0,0,705.1114026236298,350018.22666121984
6,0.17803,895270.0,541.88,0.99035,1,0.00073762,0.00073762,0,0,705.1126459770248,350018.7636780842
7,0.17804,895270.0,541.88,0.99035,1,0.00086056,0.00086056,0,0,705.1126459770248,350018.77727714233
8,0.17805,895270.0,541.88,0.99035,1,0.0009835,0.0009835,0,0,705.1126459770248,350018.7908769643
9,0.17806,895270.0,541.88,0.99034,1,0.0011064,0.0011064,0,0,705.1126459770248,350018.8044775501
10,0.17808,895270.0,541.88,0.99034,1,0.0012294,0.0012294,0,0,705.1126459770248,350018.83168101317
11,0.17809,895270.0,541.88,0.99034,1,0.0013523,0.0013523,0,0,705.1126459770248,350018.8452838905
12,0.1781,895270.0,541.88,0.99034,1,0.0014752,0.0014752,0,0,705.1126459770248,350018.8588875317
13,0.17813,895270.0,541.88,0.99034,1,0.0015982,0.0015982,0,0,705.1126459770248,350018.8997030382
14,0.17815,895260.0,541.88,0.99034,1,0.0017211,0.0017211,0,0,705.1138893081484,350019.4639230989
15,0.17817,895260.0,541.88,0.99033,1,0.0018441,0.0018441,0,0,705.1138893081484,350019.4911409903
16,0.17819,895260.0,541.88,0.99033,1,0.001967,0.001967,0,0,705.1138893081484,350019.5183619371
17,0.17821,895260.0,541.88,0.99033,1,0.0020899,0.0020899,0,0,705.1138893081484,350019.5455859393
18,0.17824,895250.0,541.88,0.99032,1,0.0022129,0.0022129,0,0,705.1151326170025,350020.1234215997
19,0.17827,895250.0,541.88,0.99032,1,0.0023358,0.0023358,0,0,705.1151326170025,350020.1642712259
20,0.1783,895250.0,541.88,0.99032,1,0.0024587,0.0024587,0,0,705.1151326170025,350020.20512772707
21,0.17833,895250.0,541.88,0.99032,1,0.0025817,0.0025817,0,0,705.1151326170025,350020.2459911031
22,0.17836,895240.0,541.88,0.99031,1,0.0027046,0.0027046,0,0,705.1163759035893,350020.82384432835
23,0.17839,895240.0,541.88,0.99031,1,0.0028276,0.0028276,0,0,705.1163759035893,350020.8647224741
24,0.17843,895240.0,541.88,0.9903,1,0.0029505,0.0029505,0,0,705.1163759035893,350020.91923736304
25,0.17847,895230.0,541.88,0.9903,1,0.0030734,0.0030734,0,0,705.1176191679103,350021.51073615864
26,0.1785,895230.0,541.88,0.9903,1,0.0031964,0.0031964,0,0,705.1176191679103,350021.5516405335
27,0.17854,895220.0,541.88,0.99029,1,0.0033193,0.0033193,0,0,705.118862409969,350022.14314943115
28,0.17858,895220.0,541.88,0.99029,1,0.0034422,0.0034422,0,0,705.118862409969,350022.1977128763
29,0.17862,895220.0,541.88,0.99028,1,0.0035652,0.0035652,0,0,705.118862409969,350022.2522885445
30,0.17867,895210.0,541.88,0.99028,1,0.0036881,0.0036881,0,0,705.1201056297664,350022.85747375136
31,0.17871,895210.0,541.88,0.99027,1,0.003811,0.003811,0,0,705.1201056297664,350022.9120782834
32,0.17876,895200.0,541.88,0.99027,1,0.003934,0.003934,0,0,705.1213488273048,350023.5172876085
33,0.17881,895200.0,541.88,0.99026,1,0.0040569,0.0040569,0,0,705.1213488273048,350023.585581265
34,0.17885,895190.0,541.88,0.99026,1,0.0041799,0.0041799,0,0,705.1225920025868,350024.17715445365
35,0.1789,895190.0,541.88,0.99025,1,0.0043028,0.0043028,0,0,705.1225920025868,350024.2454841933
36,0.17896,895180.0,541.88,0.99025,1,0.0044257,0.0044257,0,0,705.1238351556149,350024.86441832996
37,0.17901,895180.0,541.88,0.99024,1,0.0045487,0.0045487,0,0,705.1238351556149,350024.93279179465
38,0.17907,895170.0,541.87,0.99024,1,0.0046716,0.0046716,0,0,705.0819254150379,350002.1424477449
39,0.17912,895170.0,541.87,0.99023,1,0.0047945,0.0047945,0,0,705.0819254150379,350002.210850495
40,0.17918,895160.0,541.87,0.99022,1,0.0049175,0.0049175,0,0,705.0831687974223,350002.829998811
41,0.17924,895160.0,541.87,0.99022,1,0.0050404,0.0050404,0,0,705.0831687974223,350002.91213686764
42,0.1793,895150.0,541.87,0.99021,1,0.0051634,0.0051634,0,0,705.0844121575365,350003.53133129864
43,0.17937,895140.0,541.87,0.9902,1,0.0052863,0.0052863,0,0,705.0856554953833,350004.16424449906
44,0.17943,895140.0,541.87,0.99019,1,0.0054092,0.0054092,0,0,705.0856554953833,350004.2464737423
45,0.17949,895130.0,541.87,0.99019,1,0.0055322,0.0055322,0,0,705.086898810965,350004.86573579384
46,0.17956,895120.0,541.87,0.99018,1,0.0056551,0.0056551,0,0,705.0881421042834,350005.49873182183
47,0.17963,895120.0,541.87,0.99017,1,0.005778,0.005778,0,0,705.0881421042834,350005.5947750071
48,0.17971,895110.0,541.87,0.99016,1,0.005901,0.005901,0,0,705.0893853753403,350006.2415672635
49,0.17978,895100.0,541.87,0.99016,1,0.0060239,0.0060239,0,0,705.0906286241385,350006.8746632111
50,0.17985,895090.0,541.87,0.99015,1,0.0061469,0.0061469,0,0,705.0918718506796,350007.50778636476
51,0.17992,895090.0,541.87,0.99014,1,0.0062698,0.0062698,0,0,705.0918718506796,350007.6039918345
52,0.18,895080.0,541.87,0.99013,1,0.0063927,0.0063927,0,0,705.0931150549662,350008.2509344215
53,0.18008,895070.0,541.87,0.99012,1,0.0065157,0.0065157,0,0,705.094358237,350008.8979163709
54,0.18016,895060.0,541.87,0.99012,1,0.0066386,0.0066386,0,0,705.0956013967841,350009.5449376875
55,0.18024,895060.0,541.87,0.99011,1,0.0067615,0.0067615,0,0,705.0956013967841,350009.65508757153
56,0.18032,895050.0,541.87,0.9901,1,0.0068845,0.0068845,0,0,705.0968445343193,350010.3021999093
57,0.18041,895040.0,541.87,0.99009,1,0.0070074,0.0070074,0,0,705.0980876496088,350010.96313671255
58,0.1805,895030.0,541.87,0.99008,1,0.0071303,0.0071303,0,0,705.0993307426542,350011.62412657717
59,0.18059,895020.0,541.87,0.99007,1,0.0072533,0.0072533,0,0,705.1005738134579,350012.2851695086
60,0.18068,895010.0,541.87,0.99006,1,0.0073762,0.0073762,0,0,705.1018168620218,350012.9462655128
61,0.18077,895000.0,541.87,0.99005,1,0.0074992,0.0074992,0,0,705.1030598883483,350013.60741459497
62,0.18086,894990.0,541.87,0.99004,1,0.0076221,0.0076221,0,0,705.1043028924395,350014.26861676096
63,0.18095,894980.0,541.87,0.99003,1,0.007745,0.007745,0,0,705.1055458742973,350014.92987201625
64,0.18105,894970.0,541.87,0.99002,1,0.007868,0.007868,0,0,705.106788833924,350015.6050167719
65,0.18115,894960.0,541.87,0.99001,1,0.0079909,0.0079909,0,0,705.108031771322,350016.28022983903
66,0.18125,894960.0,541.87,0.98999,1,0.0081138,0.0081138,0,0,705.108031771322,350016.4187158023
67,0.18135,894950.0,541.87,0.98998,1,0.0082368,0.0082368,0,0,705.1092746864934,350017.0940770693
68,0.18144,894940.0,541.87,0.98997,1,0.0083597,0.0083597,0,0,705.1105175794399,350017.75563865266
69,0.18155,894920.0,541.87,0.98996,1,0.0084827,0.0084827,0,0,705.1130032986676,350018.98176535807
70,0.18166,894910.0,541.87,0.98995,1,0.0086056,0.0086056,0,0,705.1142461249533,350019.6712051849
71,0.18177,894900.0,541.87,0.98994,1,0.0087285,0.0087285,0,0,705.1154889290227,350020.36073010764
72,0.18187,894890.0,541.87,0.98992,1,0.0088515,0.0088515,0,0,705.116731710878,350021.03643752413
73,0.18198,894880.0,541.87,0.98991,1,0.0089744,0.0089744,0,0,705.1179744705215,350021.7261239074
74,0.18209,894870.0,541.87,0.9899,1,0.0090973,0.0090973,0,0,705.1192172079557,350022.4158954098
75,0.18221,894860.0,541.87,0.98989,1,0.0092203,0.0092203,0,0,705.1204599231824,350023.11968091625
76,0.18232,894850.0,541.87,0.98988,1,0.0093432,0.0093432,0,0,705.1217026162037,350023.8096314369
77,0.18244,894840.0,541.87,0.98986,1,0.0094661,0.0094661,0,0,705.1229452870216,350024.51361425535
78,0.18256,894820.0,541.86,0.98985,1,0.0095891,0.0095891,0,0,705.0822848430635,350002.34833621985
