"<greek>m</greek>","<greek>m</greek><sub>t</sub>","C<sub>f</sub>_x","C<sub>f</sub>_y","C<sub>p</sub>","Conservative_1","Conservative_2","Conservative_3","Conservative_4","Conservative_5","Conservative_6","Mach","Pressure","Temperature","h","p","y<sup>+</sup>","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.716e-05,1.1333e-10,0,0,-3.1802e+16,71.562,1108.9,0.026303,2.4152e+07,1e-10,0.16476,0.17731,8.9532e+05,541.88,0,0.99039,0,1,0.0033193,0.0033193,0,0
1.716e-05,1.2416e-10,0,0,-3.1824e+16,71.561,1109.1,0.025655,2.4152e+07,1e-10,0.17684,0.17735,8.9531e+05,541.88,0,0.99039,0,1,0.0034422,0.0034422,0,0
1.716e-05,1.4025e-10,0,0,-3.1848e+16,71.56,1109.4,0.025595,2.4152e+07,1e-10,0.19071,0.1774,8.953e+05,541.88,0,0.99038,0,1,0.0035652,0.0035652,0,0
1.716e-05,1.5905e-10,0,0,-3.1873e+16,71.56,1109.8,0.025836,2.4151e+07,1e-10,0.20549,0.17745,8.953e+05,541.88,0,0.99037,0,1,0.0036881,0.0036881,0,0
1.716e-05,1.7784e-10,0,0,-3.1898e+16,71.559,1110.1,0.026076,2.4151e+07,1e-10,0.22028,0.1775,8.9529e+05,541.88,0,0.99036,0,1,0.003811,0.003811,0,0
1.716e-05,1.9664e-10,0,0,-3.1924e+16,71.558,1110.4,0.026317,2.4151e+07,1e-10,0.23506,0.17755,8.9528e+05,541.88,0,0.99036,0,1,0.003934,0.003934,0,0
1.716e-05,2.1544e-10,0,0,-3.1949e+16,71.557,1110.7,0.026557,2.4151e+07,1e-10,0.24984,0.1776,8.9528e+05,541.88,0,0.99035,0,1,0.0040569,0.0040569,0,0
1.716e-05,2.3423e-10,0,0,-3.1974e+16,71.556,1111,0.026798,2.415e+07,1.0001e-10,0.26462,0.17765,8.9527e+05,541.88,0,0.99034,0,1,0.0041799,0.0041799,0,0
1.716e-05,2.6431e-10,0,0,-3.2002e+16,71.555,1111.4,0.030119,2.415e+07,1.0001e-10,0.28455,0.17771,8.9526e+05,541.88,0,0.99033,0,1,0.0043028,0.0043028,0,0
1.716e-05,2.9446e-10,0,0,-3.2031e+16,71.554,1111.7,0.033461,2.415e+07,1.0001e-10,0.30451,0.17777,8.9525e+05,541.88,0,0.99032,0,1,0.0044257,0.0044257,0,0
