,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,G
463,203.22,316790000.0,1.6989,16326,11.692,0,1500600.0,0.0011399,569.39,1,0.463,0.463,0.4,0,1.3816656195731614
464,203.24,316820000.0,1.6988,16327,12.375,0,1500700.0,0.0012056,569.39,1,0.464,0.464,0.4,0,1.3850482689276222
465,203.26,316850000.0,1.6988,16328,13.059,0,1500700.0,0.0012714,569.39,1,0.465,0.465,0.4,0,1.3850482689276222
466,203.28,316880000.0,1.6987,16328,13.743,0,1500800.0,0.0013372,569.4,1,0.466,0.466,0.4,0,1.382555883644689
467,203.3,316910000.0,1.6986,16329,14.406,0,1500800.0,0.0014006,569.4,1,0.467,0.467,0.4,0,1.382555883644689
468,203.32,316940000.0,1.6986,16330,15.029,0,1500900.0,0.0014596,569.4,1,0.468,0.468,0.4,0,1.3859345061054036
469,203.33,316970000.0,1.6985,16331,15.652,0,1500900.0,0.0015186,569.4,1,0.469,0.469,0.4,0,1.3859345061054036
470,203.35,316990000.0,1.6985,16332,16.275,0,1500900.0,0.0015775,569.4,1,0.47,0.47,0.4,0,1.3859345061054036
471,203.37,317020000.0,1.6984,16333,16.898,0,1501000.0,0.0016365,569.4,1,0.471,0.471,0.4,0,1.389322655600373
472,203.38,317050000.0,1.6984,16334,17.521,0,1501000.0,0.0016955,569.4,1,0.472,0.472,0.4,0,1.389322655600373
473,203.4,317070000.0,1.6983,16335,18.144,0,1501100.0,0.0017544,569.41,1,0.473,0.473,0.4,0,1.3868179088425403
474,203.42,317100000.0,1.6983,16335,18.767,0,1501100.0,0.0018134,569.41,1,0.474,0.474,0.4,0,1.3868179088425403
475,203.44,317130000.0,1.6982,16336,19.39,0,1501100.0,0.0018724,569.41,1,0.475,0.475,0.4,0,1.3868179088425403
476,203.45,317150000.0,1.6981,16337,20.013,0,1501200.0,0.0019313,569.41,1,0.476,0.476,0.4,0,1.3902019757869486
477,203.47,317180000.0,1.6981,16338,20.636,0,1501200.0,0.0019903,569.41,1,0.477,0.477,0.4,0,1.3902019757869486
478,203.48,317200000.0,1.6981,16338,21.009,0,1501200.0,0.0020252,569.41,1,0.478,0.478,0.4,0,1.3902019757869486
479,203.49,317210000.0,1.698,16339,21.231,0,1501200.0,0.0020455,569.41,1,0.479,0.479,0.4,0,1.3902019757869486
480,203.49,317220000.0,1.698,16339,21.452,0,1501300.0,0.0020658,569.41,1,0.48,0.48,0.4,0,1.3935954985279255
481,203.5,317230000.0,1.698,16339,21.673,0,1501300.0,0.002086,569.41,1,0.481,0.481,0.4,0,1.3935954985279255
482,203.51,317230000.0,1.698,16340,21.894,0,1501300.0,0.0021063,569.41,1,0.482,0.482,0.4,0,1.3935954985279255
483,203.51,317240000.0,1.698,16340,22.115,0,1501300.0,0.0021265,569.41,1,0.483,0.483,0.4,0,1.3935954985279255
484,203.52,317250000.0,1.6979,16340,22.337,0,1501300.0,0.0021468,569.41,1,0.484,0.484,0.4,0,1.3935954985279255
485,203.52,317260000.0,1.6979,16341,22.558,0,1501300.0,0.002167,569.42,1,0.485,0.485,0.4,0,1.387698484027466
486,203.53,317270000.0,1.6979,16341,22.779,0,1501300.0,0.0021873,569.42,1,0.486,0.486,0.4,0,1.387698484027466
487,203.53,317280000.0,1.6979,16341,23.0,0,1501300.0,0.0022076,569.42,1,0.487,0.487,0.4,0,1.387698484027466
488,203.54,317300000.0,1.6979,16342,23.369,0,1501400.0,0.0022414,569.42,1,0.488,0.488,0.4,0,1.3910784640501488
489,203.56,317320000.0,1.6978,16342,23.812,0,1501400.0,0.002282,569.42,1,0.489,0.489,0.4,0,1.3910784640501488
