"Mach","Pressure","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.17669,8.9527e+05,0.99035,1,0,0,0,0
0.17669,8.9527e+05,0.99034,1,0.00012294,0.00012294,0,0
0.1767,8.9527e+05,0.99034,1,0.00024587,0.00024587,0,0
0.1767,8.9527e+05,0.99034,1,0.00036881,0.00036881,0,0
0.1767,8.9527e+05,0.99034,1,0.00049175,0.00049175,0,0
0.17671,8.9527e+05,0.99034,1,0.00061469,0.00061469,0,0
0.17672,8.9527e+05,0.99034,1,0.00073762,0.00073762,0,0
0.17673,8.9527e+05,0.99034,1,0.00086056,0.00086056,0,0
0.17673,8.9527e+05,0.99034,1,0.0009835,0.0009835,0,0
0.17675,8.9526e+05,0.99034,1,0.0011064,0.0011064,0,0
0.17676,8.9526e+05,0.99033,1,0.0012294,0.0012294,0,0
0.17678,8.9526e+05,0.99033,1,0.0013523,0.0013523,0,0
0.1768,8.9526e+05,0.99033,1,0.0014752,0.0014752,0,0
0.17682,8.9526e+05,0.99033,1,0.0015982,0.0015982,0,0
0.17684,8.9526e+05,0.99033,1,0.0017211,0.0017211,0,0
0.17686,8.9525e+05,0.99032,1,0.0018441,0.0018441,0,0
0.17688,8.9525e+05,0.99032,1,0.001967,0.001967,0,0
0.1769,8.9525e+05,0.99032,1,0.0020899,0.0020899,0,0
0.17693,8.9525e+05,0.99032,1,0.0022129,0.0022129,0,0
0.17696,8.9524e+05,0.99031,1,0.0023358,0.0023358,0,0
0.17699,8.9524e+05,0.99031,1,0.0024587,0.0024587,0,0
0.17702,8.9524e+05,0.99031,1,0.0025817,0.0025817,0,0
0.17705,8.9523e+05,0.9903,1,0.0027046,0.0027046,0,0
0.17708,8.9523e+05,0.9903,1,0.0028276,0.0028276,0,0
0.17712,8.9523e+05,0.9903,1,0.0029505,0.0029505,0,0
0.17715,8.9522e+05,0.99029,1,0.0030734,0.0030734,0,0
0.17719,8.9522e+05,0.99029,1,0.0031964,0.0031964,0,0
0.17723,8.9522e+05,0.99028,1,0.0033193,0.0033193,0,0
0.17727,8.9521e+05,0.99028,1,0.0034422,0.0034422,0,0
0.17731,8.9521e+05,0.99027,1,0.0035652,0.0035652,0,0
0.17735,8.952e+05,0.99027,1,0.0036881,0.0036881,0,0
0.1774,8.952e+05,0.99026,1,0.003811,0.003811,0,0
0.17744,8.952e+05,0.99026,1,0.003934,0.003934,0,0
0.17749,8.9519e+05,0.99025,1,0.0040569,0.0040569,0,0
0.17754,8.9519e+05,0.99025,1,0.0041799,0.0041799,0,0
0.17759,8.9518e+05,0.99024,1,0.0043028,0.0043028,0,0
0.17764,8.9518e+05,0.99024,1,0.0044257,0.0044257,0,0
0.1777,8.9517e+05,0.99023,1,0.0045487,0.0045487,0,0
0.17775,8.9516e+05,0.99023,1,0.0046716,0.0046716,0,0
0.17781,8.9516e+05,0.99022,1,0.0047945,0.0047945,0,0
0.17787,8.9515e+05,0.99021,1,0.0049175,0.0049175,0,0
0.17792,8.9515e+05,0.99021,1,0.0050404,0.0050404,0,0
0.17799,8.9514e+05,0.9902,1,0.0051634,0.0051634,0,0
0.17805,8.9513e+05,0.99019,1,0.0052863,0.0052863,0,0
0.17811,8.9513e+05,0.99019,1,0.0054092,0.0054092,0,0
0.17818,8.9512e+05,0.99018,1,0.0055322,0.0055322,0,0
0.17825,8.9511e+05,0.99017,1,0.0056551,0.0056551,0,0
0.17832,8.9511e+05,0.99016,1,0.005778,0.005778,0,0
0.17838,8.951e+05,0.99016,1,0.005901,0.005901,0,0
0.17846,8.9509e+05,0.99015,1,0.0060239,0.0060239,0,0
0.17853,8.9509e+05,0.99014,1,0.0061469,0.0061469,0,0
0.17861,8.9508e+05,0.99013,1,0.0062698,0.0062698,0,0
0.17868,8.9507e+05,0.99012,1,0.0063927,0.0063927,0,0
0.17876,8.9506e+05,0.99011,1,0.0065157,0.0065157,0,0
0.17884,8.9506e+05,0.99011,1,0.0066386,0.0066386,0,0
0.17892,8.9505e+05,0.9901,1,0.0067615,0.0067615,0,0
0.179,8.9504e+05,0.99009,1,0.0068845,0.0068845,0,0
0.17909,8.9503e+05,0.99008,1,0.0070074,0.0070074,0,0
0.17917,8.9502e+05,0.99007,1,0.0071303,0.0071303,0,0
0.17926,8.9501e+05,0.99006,1,0.0072533,0.0072533,0,0
0.17935,8.95e+05,0.99005,1,0.0073762,0.0073762,0,0
0.17944,8.9499e+05,0.99004,1,0.0074992,0.0074992,0,0
0.17953,8.9499e+05,0.99003,1,0.0076221,0.0076221,0,0
0.17962,8.9498e+05,0.99002,1,0.007745,0.007745,0,0
0.17972,8.9497e+05,0.99001,1,0.007868,0.007868,0,0
0.17981,8.9496e+05,0.99,1,0.0079909,0.0079909,0,0
0.17991,8.9495e+05,0.98999,1,0.0081138,0.0081138,0,0
0.18001,8.9494e+05,0.98997,1,0.0082368,0.0082368,0,0
0.18011,8.9493e+05,0.98996,1,0.0083597,0.0083597,0,0
0.18022,8.9492e+05,0.98995,1,0.0084827,0.0084827,0,0
0.18032,8.9491e+05,0.98994,1,0.0086056,0.0086056,0,0
0.18043,8.949e+05,0.98993,1,0.0087285,0.0087285,0,0
0.18054,8.9488e+05,0.98992,1,0.0088515,0.0088515,0,0
0.18064,8.9487e+05,0.9899,1,0.0089744,0.0089744,0,0
0.18075,8.9486e+05,0.98989,1,0.0090973,0.0090973,0,0
0.18087,8.9485e+05,0.98988,1,0.0092203,0.0092203,0,0
0.18098,8.9484e+05,0.98987,1,0.0093432,0.0093432,0,0
0.18109,8.9483e+05,0.98985,1,0.0094661,0.0094661,0,0
0.18121,8.9482e+05,0.98984,1,0.0095891,0.0095891,0,0
0.18133,8.948e+05,0.98983,1,0.009712,0.009712,0,0
0.18145,8.9479e+05,0.98981,1,0.009835,0.009835,0,0
0.18157,8.9478e+05,0.9898,1,0.0099579,0.0099579,0,0
0.1817,8.9477e+05,0.98979,1,0.010081,0.010081,0,0
0.18182,8.9475e+05,0.98977,1,0.010204,0.010204,0,0
0.18195,8.9474e+05,0.98976,1,0.010327,0.010327,0,0
0.18207,8.9473e+05,0.98974,1,0.01045,0.01045,0,0
0.18221,8.9471e+05,0.98973,1,0.010573,0.010573,0,0
0.18234,8.947e+05,0.98971,1,0.010696,0.010696,0,0
0.18247,8.9469e+05,0.9897,1,0.010818,0.010818,0,0
0.1826,8.9467e+05,0.98968,1,0.010941,0.010941,0,0
0.18274,8.9466e+05,0.98967,1,0.011064,0.011064,0,0
0.18288,8.9464e+05,0.98965,1,0.011187,0.011187,0,0
0.18302,8.9463e+05,0.98963,1,0.01131,0.01131,0,0
0.18316,8.9462e+05,0.98962,1,0.011433,0.011433,0,0
0.18331,8.946e+05,0.9896,1,0.011556,0.011556,0,0
0.18346,8.9459e+05,0.98959,1,0.011679,0.011679,0,0
0.1836,8.9457e+05,0.98957,1,0.011802,0.011802,0,0
0.18375,8.9455e+05,0.98955,1,0.011925,0.011925,0,0
0.1839,8.9454e+05,0.98953,1,0.012048,0.012048,0,0
0.18405,8.9452e+05,0.98952,1,0.012171,0.012171,0,0
0.18421,8.9451e+05,0.9895,1,0.012294,0.012294,0,0
0.18436,8.9449e+05,0.98948,1,0.012417,0.012417,0,0
0.18452,8.9447e+05,0.98946,1,0.01254,0.01254,0,0
0.18468,8.9446e+05,0.98944,1,0.012663,0.012663,0,0
0.18484,8.9444e+05,0.98943,1,0.012785,0.012785,0,0
0.185,8.9442e+05,0.98941,1,0.012908,0.012908,0,0
0.18516,8.9441e+05,0.98939,1,0.013031,0.013031,0,0
0.18533,8.9439e+05,0.98937,1,0.013154,0.013154,0,0
0.1855,8.9437e+05,0.98935,1,0.013277,0.013277,0,0
0.18567,8.9435e+05,0.98933,1,0.0134,0.0134,0,0
0.18584,8.9434e+05,0.98931,1,0.013523,0.013523,0,0
0.18601,8.9432e+05,0.98929,1,0.013646,0.013646,0,0
0.18619,8.943e+05,0.98927,1,0.013769,0.013769,0,0
0.18636,8.9428e+05,0.98925,1,0.013892,0.013892,0,0
0.18654,8.9426e+05,0.98923,1,0.014015,0.014015,0,0
0.18672,8.9424e+05,0.98921,1,0.014138,0.014138,0,0
0.1869,8.9423e+05,0.98919,1,0.014261,0.014261,0,0
0.18709,8.9421e+05,0.98917,1,0.014384,0.014384,0,0
0.18727,8.9419e+05,0.98914,1,0.014507,0.014507,0,0
0.18746,8.9417e+05,0.98912,1,0.01463,0.01463,0,0
0.18765,8.9415e+05,0.9891,1,0.014752,0.014752,0,0
0.18784,8.9413e+05,0.98908,1,0.014875,0.014875,0,0
0.18803,8.9411e+05,0.98905,1,0.014998,0.014998,0,0
0.18823,8.9408e+05,0.98903,1,0.015121,0.015121,0,0
0.18843,8.9406e+05,0.98901,1,0.015244,0.015244,0,0
0.18863,8.9404e+05,0.98899,1,0.015367,0.015367,0,0
0.18882,8.9402e+05,0.98896,1,0.01549,0.01549,0,0
0.18903,8.94e+05,0.98894,1,0.015613,0.015613,0,0
0.18924,8.9398e+05,0.98891,1,0.015736,0.015736,0,0
0.18944,8.9396e+05,0.98889,1,0.015859,0.015859,0,0
0.18965,8.9393e+05,0.98887,1,0.015982,0.015982,0,0
