"Mach","Pressure","Temperature","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.17795,8.9528e+05,541.88,0.99036,1,0,0,0,0
0.17795,8.9528e+05,541.88,0.99036,1,0.00012294,0.00012294,0,0
0.17795,8.9528e+05,541.88,0.99035,1,0.00024587,0.00024587,0,0
0.17795,8.9528e+05,541.88,0.99035,1,0.00036881,0.00036881,0,0
0.17796,8.9528e+05,541.88,0.99035,1,0.00049175,0.00049175,0,0
0.17796,8.9528e+05,541.88,0.99035,1,0.00061469,0.00061469,0,0
0.17797,8.9528e+05,541.88,0.99035,1,0.00073762,0.00073762,0,0
0.17798,8.9528e+05,541.88,0.99035,1,0.00086056,0.00086056,0,0
0.17799,8.9528e+05,541.88,0.99035,1,0.0009835,0.0009835,0,0
0.17801,8.9527e+05,541.88,0.99035,1,0.0011064,0.0011064,0,0
0.17802,8.9527e+05,541.88,0.99035,1,0.0012294,0.0012294,0,0
0.17804,8.9527e+05,541.88,0.99034,1,0.0013523,0.0013523,0,0
0.17805,8.9527e+05,541.88,0.99034,1,0.0014752,0.0014752,0,0
0.17807,8.9527e+05,541.88,0.99034,1,0.0015982,0.0015982,0,0
0.17809,8.9526e+05,541.88,0.99034,1,0.0017211,0.0017211,0,0
0.17812,8.9526e+05,541.88,0.99033,1,0.0018441,0.0018441,0,0
0.17814,8.9526e+05,541.88,0.99033,1,0.001967,0.001967,0,0
0.17816,8.9526e+05,541.88,0.99033,1,0.0020899,0.0020899,0,0
0.17819,8.9526e+05,541.88,0.99033,1,0.0022129,0.0022129,0,0
0.17822,8.9525e+05,541.88,0.99032,1,0.0023358,0.0023358,0,0
0.17824,8.9525e+05,541.88,0.99032,1,0.0024587,0.0024587,0,0
0.17828,8.9525e+05,541.88,0.99032,1,0.0025817,0.0025817,0,0
0.17831,8.9524e+05,541.88,0.99031,1,0.0027046,0.0027046,0,0
0.17834,8.9524e+05,541.88,0.99031,1,0.0028276,0.0028276,0,0
0.17837,8.9524e+05,541.88,0.99031,1,0.0029505,0.0029505,0,0
0.17841,8.9523e+05,541.88,0.9903,1,0.0030734,0.0030734,0,0
0.17845,8.9523e+05,541.88,0.9903,1,0.0031964,0.0031964,0,0
0.17849,8.9523e+05,541.88,0.99029,1,0.0033193,0.0033193,0,0
0.17853,8.9522e+05,541.88,0.99029,1,0.0034422,0.0034422,0,0
0.17857,8.9522e+05,541.88,0.99029,1,0.0035652,0.0035652,0,0
0.17861,8.9521e+05,541.88,0.99028,1,0.0036881,0.0036881,0,0
0.17866,8.9521e+05,541.88,0.99028,1,0.003811,0.003811,0,0
0.1787,8.952e+05,541.88,0.99027,1,0.003934,0.003934,0,0
0.17875,8.952e+05,541.88,0.99027,1,0.0040569,0.0040569,0,0
0.1788,8.952e+05,541.88,0.99026,1,0.0041799,0.0041799,0,0
0.17885,8.9519e+05,541.88,0.99025,1,0.0043028,0.0043028,0,0
0.17891,8.9518e+05,541.88,0.99025,1,0.0044257,0.0044257,0,0
0.17896,8.9518e+05,541.88,0.99024,1,0.0045487,0.0045487,0,0
0.17902,8.9517e+05,541.87,0.99024,1,0.0046716,0.0046716,0,0
0.17907,8.9517e+05,541.87,0.99023,1,0.0047945,0.0047945,0,0
0.17913,8.9516e+05,541.87,0.99022,1,0.0049175,0.0049175,0,0
0.17919,8.9516e+05,541.87,0.99022,1,0.0050404,0.0050404,0,0
0.17925,8.9515e+05,541.87,0.99021,1,0.0051634,0.0051634,0,0
0.17931,8.9514e+05,541.87,0.9902,1,0.0052863,0.0052863,0,0
0.17938,8.9514e+05,541.87,0.9902,1,0.0054092,0.0054092,0,0
0.17944,8.9513e+05,541.87,0.99019,1,0.0055322,0.0055322,0,0
0.17951,8.9512e+05,541.87,0.99018,1,0.0056551,0.0056551,0,0
0.17958,8.9512e+05,541.87,0.99017,1,0.005778,0.005778,0,0
0.17965,8.9511e+05,541.87,0.99017,1,0.005901,0.005901,0,0
0.17972,8.951e+05,541.87,0.99016,1,0.0060239,0.0060239,0,0
0.1798,8.951e+05,541.87,0.99015,1,0.0061469,0.0061469,0,0
0.17988,8.9509e+05,541.87,0.99014,1,0.0062698,0.0062698,0,0
0.17995,8.9508e+05,541.87,0.99013,1,0.0063927,0.0063927,0,0
0.18003,8.9507e+05,541.87,0.99013,1,0.0065157,0.0065157,0,0
0.18011,8.9507e+05,541.87,0.99012,1,0.0066386,0.0066386,0,0
0.18019,8.9506e+05,541.87,0.99011,1,0.0067615,0.0067615,0,0
0.18027,8.9505e+05,541.87,0.9901,1,0.0068845,0.0068845,0,0
0.18036,8.9504e+05,541.87,0.99009,1,0.0070074,0.0070074,0,0
0.18045,8.9503e+05,541.87,0.99008,1,0.0071303,0.0071303,0,0
0.18053,8.9502e+05,541.87,0.99007,1,0.0072533,0.0072533,0,0
0.18062,8.9501e+05,541.87,0.99006,1,0.0073762,0.0073762,0,0
0.18071,8.95e+05,541.87,0.99005,1,0.0074992,0.0074992,0,0
0.18081,8.95e+05,541.87,0.99004,1,0.0076221,0.0076221,0,0
0.1809,8.9499e+05,541.87,0.99003,1,0.007745,0.007745,0,0
0.18099,8.9498e+05,541.87,0.99002,1,0.007868,0.007868,0,0
0.18109,8.9497e+05,541.87,0.99001,1,0.0079909,0.0079909,0,0
0.18119,8.9496e+05,541.87,0.99,1,0.0081138,0.0081138,0,0
0.18129,8.9495e+05,541.87,0.98999,1,0.0082368,0.0082368,0,0
0.18139,8.9494e+05,541.87,0.98997,1,0.0083597,0.0083597,0,0
0.18149,8.9493e+05,541.87,0.98996,1,0.0084827,0.0084827,0,0
0.1816,8.9492e+05,541.87,0.98995,1,0.0086056,0.0086056,0,0
