"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Pressure_Coefficient","Mach"
0, 8.752535211749343e-03, 2.087378954630404e-01, 2.094993589136857e+02, 1.033381320332926e+04, 5.195707790879227e-04, 1.207068359734016e+08, 8.202724602822424e+05, 6.514395541743845e+02, -2.117670636892977e-06, 1.700027102492339e+00
1, 9.878920421579699e-01, 6.490762988935643e-02, 1.297206367956474e+02, 6.908786829438827e+03, -1.481387470035846e+03, 7.447769606881611e+07, 7.654996899559640e+05, 6.426266060564081e+02, -2.149120141601426e-01, 1.355584785457427e+00
2, 8.735877593795363e-03, 9.912413198062923e-01, 2.094999982691847e+02, 1.033382627466464e+04, -2.675305538495932e-06, 1.207072059420953e+08, 8.202729985428401e+05, 6.514396176792810e+02, -5.717404389639520e-09, 1.700000073060582e+00
3, 4.201342122620277e-01, 5.840250989759460e-01, 2.090487731539255e+02, 1.032186739811153e+04, -8.210997937710021e+00, 1.204459670310289e+08, 8.198968919409290e+05, 6.513947838392118e+02, -1.475721303894662e-03, 1.718741526238787e+00
4, 4.366405372502142e-01, 5.722713747350280e-01, 2.088703543651164e+02, 1.031696069684252e+04, -1.162235241296127e+01, 1.203426625257906e+08, 8.197502395321620e+05, 6.513770473678793e+02, -2.051135945153683e-03, 1.726185850048430e+00
5, 4.429473089205138e-01, 5.873817088043708e-01, 2.089259886743428e+02, 1.031838152467692e+04, -1.065173550106234e+01, 1.203748693530874e+08, 8.197958434361126e+05, 6.513825783701265e+02, -1.872201591109314e-03, 1.723842525561403e+00
6, 4.555283178780878e-01, 5.726874718962656e-01, 2.086993603235925e+02, 1.031209762521460e+04, -1.501778461887255e+01, 1.202436493551460e+08, 8.196107743545691e+05, 6.513600441535154e+02, -2.598350312837105e-03, 1.733326877310584e+00
7, 4.633365386905710e-01, 5.892550865490442e-01, 2.087782874708023e+02, 1.031409543558417e+04, -1.366072581393830e+01, 1.202893394293279e+08, 8.196750158330877e+05, 6.513678928517863e+02, -2.346288395637755e-03, 1.729985346888506e+00
8, 4.798881326288815e-01, 5.924128831146420e-01, 2.086693777284946e+02, 1.031084807358546e+04, -1.589629158120667e+01, 1.202262684203834e+08, 8.195864250559863e+05, 6.513570616320849e+02, -2.693888756608823e-03, 1.734515696462310e+00
9, 4.794609296087470e-01, 5.746988090736580e-01, 2.084735459348187e+02, 1.030546519153416e+04, -1.963972697301980e+01, 1.201128828575579e+08, 8.194282097358396e+05, 6.513375824077341e+02, -3.314672366297007e-03, 1.742771472157549e+00
10, 4.964285292168913e-01, 5.886211009992659e-01, 2.084523999520668e+02, 1.030455198146659e+04, -2.023056144920682e+01, 1.201006229064870e+08, 8.194112021708777e+05, 6.513354777459668e+02, -3.381404320947639e-03, 1.743609427910312e+00
11, 5.038898736143020e-01, 5.705422285474813e-01, 2.081526347532256e+02, 1.029595053578027e+04, -2.614946020094797e+01, 1.199270433888605e+08, 8.191718868862921e+05, 6.513056467804208e+02, -4.320396866555076e-03, 1.756274447359194e+00
12, 5.171050024063343e-01, 5.862740087739353e-01, 2.081911501754171e+02, 1.029679355786422e+04, -2.552404903334653e+01, 1.199493326295335e+08, 8.192024519106396e+05, 6.513094795261499e+02, -4.200470009111256e-03, 1.754597085277838e+00
13, 5.262288095874577e-01, 5.682707500666125e-01, 2.078027022284048e+02, 1.028532731934437e+04, -3.331409626150923e+01, 1.197243865854464e+08, 8.188965111289793e+05, 6.512708033821074e+02, -5.400878557499131e-03, 1.771083592282570e+00
14, 5.381370151317606e-01, 5.848553275297264e-01, 2.078901171452733e+02, 1.028765195478075e+04, -3.171077472583586e+01, 1.197749946664945e+08, 8.189648935580100e+05, 6.512795080795828e+02, -5.132568945676500e-03, 1.767315462113612e+00
15, 5.480485573721716e-01, 5.669527081185723e-01, 2.074086031002628e+02, 1.027308500641514e+04, -4.147081221741430e+01, 1.194961392103623e+08, 8.185914554754910e+05, 6.512315374446830e+02, -6.597814161160712e-03, 1.787870857393284e+00
16, 5.587952813092070e-01, 5.841227756882763e-01, 2.075589836154339e+02, 1.027734095291795e+04, -3.862823337924579e+01, 1.195832129170604e+08, 8.187072194332625e+05, 6.512465219503056e+02, -6.143595394542173e-03, 1.781373964027703e+00
17, 5.695170469496513e-01, 5.667387468567689e-01, 2.069811311991015e+02, 1.025945822308894e+04, -5.041652402922901e+01, 1.192485480279513e+08, 8.182665425488357e+05, 6.511889162260451e+02, -7.872663014334090e-03, 1.806203966934576e+00
18, 5.781292363163349e-01, 5.840986450170707e-01, 2.072318462103724e+02, 1.026693286195377e+04, -4.551543127822760e+01, 1.193937355511565e+08, 8.184563419467486e+05, 6.512139148997849e+02, -7.127954124931024e-03, 1.795338298410195e+00
19, 5.891311728748084e-01, 5.693131434838925e-01, 2.066313698331948e+02, 1.024808145243697e+04, -5.775968461864507e+01, 1.190459563458738e+08, 8.180052302339664e+05, 6.511540177515265e+02, -8.897964495443696e-03, 1.821304783528862e+00
20, 5.934493653706294e-01, 5.844550888139793e-01, 2.069361885229425e+02, 1.025746029017307e+04, -5.169495122985774e+01, 1.192224885104562e+08, 8.182327093313471e+05, 6.511844283522242e+02, -8.005413160530253e-03, 1.808043412022934e+00
21, 4.108548629789620e-01, 6.028967609691873e-01, 2.091735890514235e+02, 1.032521998258002e+04, -5.860344090375332e+00, 1.205182317174973e+08, 8.200001767077674e+05, 6.514071886460305e+02, -1.070466677956230e-03, 1.713541680538385e+00
22, 3.976067420348687e-01, 6.032943364059690e-01, 2.092368626020888e+02, 1.032695641518441e+04, -4.650522226117737e+00, 1.205548671165897e+08, 8.200527543051555e+05, 6.514134761811217e+02, -8.641699004694231e-04, 1.710918520452638e+00
23, 3.989421428869198e-01, 5.909057088847028e-01, 2.091813959783549e+02, 1.032550970877272e+04, -5.663211296582347e+00, 1.205227556633177e+08, 8.200066563267033e+05, 6.514079645208938e+02, -1.045042836392278e-03, 1.713230298119998e+00
24, 4.207921204186286e-01, 5.606427412924692e-01, 2.089041977732215e+02, 1.031803444634448e+04, -1.083774566575942e+01, 1.203622649301827e+08, 8.197779694229155e+05, 6.513804123014932e+02, -1.942333196707635e-03, 1.724794904234914e+00
25, 4.309154840515382e-01, 6.028491078644547e-01, 2.090808477335505e+02, 1.032263175100532e+04, -7.671065220156948e+00, 1.204645324262186e+08, 8.199233784432122e+05, 6.513979717055822e+02, -1.371797192878281e-03, 1.717387462583012e+00
26, 4.005492767173519e-01, 5.721103870363778e-01, 2.090934602461490e+02, 1.032321497619661e+04, -7.239096841212108e+00, 1.204718467907013e+08, 8.199338053163737e+05, 6.513992254414983e+02, -1.330885655658427e-03, 1.716902310163732e+00
27, 4.442575680521473e-01, 5.573177466966768e-01, 2.086748876812536e+02, 1.031157539648169e+04, -1.532337260310947e+01, 1.202294872632297e+08, 8.195909023620239e+05, 6.513576105800166e+02, -2.676321316229656e-03, 1.734380722021102e+00
