"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
0, 6.140018714288662e+00, 1.806533201820160e+00, 1.118341089130455e+01, 2.826094455928742e+03, 2.824336303103988e+01, 5.424155802743946e+06, 2.158120628732303e+05, 3.239052378050141e+02, 1.787540464754698e+00, -1.841478043017159e+18
1, -3.974393215201991e+00, 4.979326446762077e+00, 6.206786151532573e+01, 2.228958632097586e+02, -1.662561820004631e+00, 3.015607262442070e+07, 1.146233952277483e+06, 3.783333099963799e+02, 2.814301297295110e-02, -9.219333646778396e+14
2, -2.714744334172068e+00, 1.452213324235172e+00, 6.049727532338907e+01, 1.617578810523556e+03, -7.116393585646822e+02, 2.938974346866090e+07, 1.120563202944020e+06, 3.774063376966711e+02, 2.280548430828628e-01, -5.170368631259612e+16
3, -2.702827701673673e+00, 1.418556972063019e+00, 6.045017246861922e+01, 1.645212310128443e+03, -7.103148744549286e+02, 2.936675924796262e+07, 1.119790338575088e+06, 3.773782364949794e+02, 2.314097401608179e-01, -5.323256289253287e+16
4, -2.683298354968702e+00, 1.381946861571967e+00, 6.039141271669005e+01, 1.677398648090848e+03, -7.127959651938440e+02, 2.933809229334104e+07, 1.118825961515366e+06, 3.773431555084913e+02, 2.355523982177183e-01, -5.514028895690642e+16
5, -2.704566335931773e+00, 1.342808722000284e+00, 6.037640398462723e+01, 1.697349498129850e+03, -6.845549517999833e+02, 2.933076739678653e+07, 1.118579575978122e+06, 3.773341874925402e+02, 2.365886734210019e-01, -5.562768764245873e+16
6, -2.661060431927914e+00, 1.345909101327060e+00, 6.032846164825687e+01, 1.710403073777059e+03, -7.163754271355066e+02, 2.930737172172055e+07, 1.117792487848978e+06, 3.773055400222711e+02, 2.398762882262643e-01, -5.718470159648120e+16
7, -2.635878673889121e+00, 1.313194157582838e+00, 6.026425170148791e+01, 1.742600611961982e+03, -7.223435326049952e+02, 2.927604448898501e+07, 1.116738053660573e+06, 3.772671445800034e+02, 2.442402746156588e-01, -5.927057823996650e+16
8, -2.648607239339447e+00, 1.276170400628421e+00, 6.024376145041980e+01, 1.763135813190047e+03, -6.990528936680063e+02, 2.926605336028000e+07, 1.116401460820492e+06, 3.772548773161576e+02, 2.456426284621320e-01, -5.993642457842015e+16
9, -2.692201146100990e+00, 1.294111735835849e+00, 6.031417173042127e+01, 1.734561941272657e+03, -6.758537838344181e+02, 2.930040068708108e+07, 1.117557834343653e+06, 3.772969947029572e+02, 2.408584355152040e-01, -5.764889203287989e+16
10, -2.608823272884731e+00, 1.283651334611455e+00, 6.019904132487891e+01, 1.773889679862683e+03, -7.300137856988601e+02, 2.924422821885288e+07, 1.115666812999608e+06, 3.772281079887915e+02, 2.485939873348011e-01, -6.138970136669100e+16
11, -2.761992085342801e+00, 1.638326084954424e+00, 6.073249581414923e+01, 1.469196974741387e+03, -7.200864766474309e+02, 2.950450489623481e+07, 1.124420012245422e+06, 3.775463861578666e+02, 2.104469260858614e-01, -4.407416468987765e+16
12, -2.746105927861020e+00, 1.596051449302482e+00, 6.067538378241961e+01, 1.504114531416119e+03, -7.238800243983474e+02, 2.947664475948209e+07, 1.123483949569082e+06, 3.775124188920240e+02, 2.148726918426772e-01, -4.592587937713622e+16
13, -2.724544729280222e+00, 1.558616274293255e+00, 6.061684746595994e+01, 1.536930990736664e+03, -7.320244054076879e+02, 2.944808973626721e+07, 1.122524300345989e+06, 3.774775818592734e+02, 2.193164134143296e-01, -4.782425285781290e+16
