"Mach","Pressure","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.94679,7.4408e+05,1,0,0,0,0
0.94921,7.4233e+05,1,0.0061618,0.0061618,0,0
0.95163,7.4058e+05,1,0.012324,0.012324,0,0
0.95405,7.3883e+05,1,0.018485,0.018485,0,0
0.95647,7.3708e+05,1,0.024647,0.024647,0,0
0.95888,7.3533e+05,1,0.030809,0.030809,0,0
0.96129,7.3359e+05,1,0.036971,0.036971,0,0
0.96366,7.3187e+05,1,0.043133,0.043133,0,0
0.96603,7.3014e+05,1,0.049294,0.049294,0,0
0.96841,7.2842e+05,1,0.055456,0.055456,0,0
0.97078,7.2669e+05,1,0.061618,0.061618,0,0
0.97315,7.2497e+05,1,0.06778,0.06778,0,0
0.97552,7.2325e+05,1,0.073942,0.073942,0,0
0.9779,7.2152e+05,1,0.080103,0.080103,0,0
0.98026,7.1981e+05,1,0.086265,0.086265,0,0
0.98258,7.1812e+05,1,0.092427,0.092427,0,0
0.98489,7.1643e+05,1,0.098589,0.098589,0,0
0.98721,7.1474e+05,1,0.10475,0.10475,0,0
0.98953,7.1305e+05,1,0.11091,0.11091,0,0
0.99185,7.1136e+05,1,0.11707,0.11707,0,0
0.99417,7.0967e+05,1,0.12324,0.12324,0,0
0.99649,7.0798e+05,1,0.1294,0.1294,0,0
0.99879,7.063e+05,1,0.13556,0.13556,0,0
1.001,7.0465e+05,1,0.14172,0.14172,0,0
1.0033,7.03e+05,1,0.14788,0.14788,0,0
1.0056,7.0135e+05,1,0.15405,0.15405,0,0
1.0078,6.9971e+05,1,0.16021,0.16021,0,0
1.0101,6.9806e+05,1,0.16637,0.16637,0,0
1.0123,6.9641e+05,1,0.17253,0.17253,0,0
1.0146,6.9476e+05,1,0.17869,0.17869,0,0
1.0168,6.9312e+05,1,0.18485,0.18485,0,0
1.019,6.9152e+05,1,0.19102,0.19102,0,0
1.0212,6.8992e+05,1,0.19718,0.19718,0,0
1.0234,6.8832e+05,1,0.20334,0.20334,0,0
1.0255,6.8672e+05,1,0.2095,0.2095,0,0
1.0277,6.8512e+05,1,0.21566,0.21566,0,0
1.0299,6.8352e+05,1,0.22182,0.22182,0,0
1.0321,6.8192e+05,1,0.22799,0.22799,0,0
1.0343,6.8032e+05,1,0.23415,0.23415,0,0
1.0364,6.7876e+05,1,0.24031,0.24031,0,0
1.0385,6.7721e+05,1,0.24647,0.24647,0,0
1.0406,6.7566e+05,1,0.25263,0.25263,0,0
1.0427,6.741e+05,1,0.2588,0.2588,0,0
1.0448,6.7255e+05,1,0.26496,0.26496,0,0
1.047,6.71e+05,1,0.27112,0.27112,0,0
1.0491,6.6944e+05,1,0.27728,0.27728,0,0
1.0512,6.6789e+05,1,0.28344,0.28344,0,0
1.0533,6.6637e+05,1,0.2896,0.2896,0,0
1.0553,6.6486e+05,1,0.29577,0.29577,0,0
1.0574,6.6334e+05,1,0.30193,0.30193,0,0
1.0594,6.6183e+05,1,0.30809,0.30809,0,0
1.0615,6.6031e+05,1,0.31425,0.31425,0,0
1.0636,6.5879e+05,1,0.32041,0.32041,0,0
1.0656,6.5728e+05,1,0.32658,0.32658,0,0
1.0677,6.5576e+05,1,0.33274,0.33274,0,0
1.0697,6.5427e+05,1,0.3389,0.3389,0,0
1.0718,6.5278e+05,1,0.34506,0.34506,0,0
1.0738,6.5129e+05,1,0.35122,0.35122,0,0
1.0758,6.498e+05,1,0.35738,0.35738,0,0
1.0778,6.4831e+05,1,0.36355,0.36355,0,0
1.0799,6.4682e+05,1,0.36971,0.36971,0,0
1.0819,6.4533e+05,1,0.37587,0.37587,0,0
1.0839,6.4384e+05,1,0.38203,0.38203,0,0
1.0859,6.4236e+05,1,0.38819,0.38819,0,0
1.088,6.4089e+05,1,0.39436,0.39436,0,0
1.09,6.3941e+05,1,0.40052,0.40052,0,0
1.092,6.3793e+05,1,0.40668,0.40668,0,0
1.094,6.3646e+05,1,0.41284,0.41284,0,0
1.096,6.3498e+05,1,0.419,0.419,0,0
1.098,6.3351e+05,1,0.42516,0.42516,0,0
