nodeID,x[-],y[-],u[m/s],v[m/s],c[m/s],M[-],d[kg/m3],T[K],P[Pa],s[J/kgK],h[J/kg],G[-],theta[deg]
51,0.000542898,0,107.327,0,107.326,1.00001,40.3831,533.931,592302,706.119,344706,0.750559,0
55,0.000544256,0,107.331,0,107.327,1.00004,40.3814,533.931,592282,706.119,344705,0.750571,0
61,0.000546517,0,107.339,0,107.329,1.00009,40.3786,533.93,592250,706.119,344704,0.75059,0
69,0.00054968,0,107.349,0,107.331,1.00017,40.3747,533.929,592205,706.119,344703,0.750618,0
79,0.000553748,0,107.363,0,107.335,1.00026,40.3696,533.927,592147,706.119,344702,0.750653,0
91,0.00055872,0,107.379,0,107.339,1.00038,40.3635,533.925,592076,706.119,344700,0.750696,0
105,0.000564597,0,107.398,0,107.344,1.00051,40.3562,533.923,591992,706.119,344698,0.750747,0
121,0.00057138,0,107.421,0,107.349,1.00067,40.3478,533.92,591895,706.119,344696,0.750806,0
139,0.000579068,0,107.446,0,107.355,1.00084,40.3382,533.917,591785,706.119,344693,0.750872,0
159,0.000587663,0,107.474,0,107.363,1.00104,40.3276,533.914,591662,706.119,344690,0.750947,0
181,0.000597166,0,107.506,0,107.37,1.00126,40.3158,533.91,591527,706.119,344686,0.751029,0
205,0.000607576,0,107.54,0,107.379,1.0015,40.303,533.906,591378,706.119,344683,0.751119,0
231,0.000618895,0,107.577,0,107.388,1.00176,40.2889,533.902,591217,706.119,344679,0.751217,0
259,0.000631124,0,107.617,0,107.398,1.00204,40.2738,533.897,591042,706.119,344674,0.751323,0
289,0.000644264,0,107.661,0,107.409,1.00234,40.2576,533.892,590855,706.119,344670,0.751436,0
321,0.000658315,0,107.707,0,107.42,1.00267,40.2402,533.887,590655,706.119,344665,0.751558,0
355,0.000673279,0,107.756,0,107.433,1.00301,40.2218,533.881,590442,706.119,344659,0.751687,0
391,0.000689157,0,107.808,0,107.446,1.00337,40.2022,533.875,590216,706.119,344654,0.751824,0
429,0.000705951,0,107.863,0,107.459,1.00376,40.1815,533.869,589977,706.119,344648,0.751968,0
469,0.000723661,0,107.921,0,107.474,1.00416,40.1597,533.862,589725,706.119,344642,0.752121,0
511,0.00074229,0,107.982,0,107.489,1.00459,40.1368,533.855,589460,706.119,344635,0.752281,0
555,0.000761838,0,108.047,0,107.505,1.00504,40.1127,533.847,589182,706.119,344628,0.752449,0
601,0.000782307,0,108.114,0,107.522,1.0055,40.0876,533.839,588892,706.119,344621,0.752625,0
649,0.000803699,0,108.184,0,107.539,1.00599,40.0614,533.831,588588,706.119,344613,0.752808,0
699,0.000826015,0,108.257,0,107.557,1.0065,40.034,533.822,588272,706.119,344605,0.752999,0
751,0.000849258,0,108.333,0,107.576,1.00703,40.0055,533.814,587943,706.119,344597,0.753198,0
805,0.000873429,0,108.412,0,107.596,1.00758,39.976,533.804,587600,706.119,344589,0.753404,0
861,0.00089853,0,108.494,0,107.616,1.00815,39.9453,533.795,587245,706.119,344580,0.753619,0
919,0.000924563,0,108.578,0,107.637,1.00874,39.9135,533.785,586877,706.119,344571,0.75384,0
979,0.00095153,0,108.666,0,107.659,1.00936,39.8806,533.775,586496,706.119,344561,0.75407,0
1041,0.000979434,0,108.757,0,107.682,1.00999,39.8467,533.764,586102,706.119,344551,0.754307,0
1105,0.00100828,0,108.851,0,107.705,1.01064,39.8116,533.753,585695,706.119,344541,0.754552,0
1171,0.00103806,0,108.948,0,107.729,1.01132,39.7754,533.741,585276,706.119,344530,0.754804,0
1239,0.00106879,0,109.048,0,107.754,1.01201,39.7382,533.73,584843,706.119,344519,0.755064,0
1309,0.00110046,0,109.151,0,107.779,1.01272,39.6998,533.718,584398,706.119,344508,0.755332,0
1381,0.00113308,0,109.256,0,107.805,1.01346,39.6603,533.705,583939,706.119,344497,0.755607,0
1455,0.00116665,0,109.365,0,107.832,1.01422,39.6198,533.693,583468,706.119,344485,0.755889,0
1531,0.00120118,0,109.477,0,107.86,1.01499,39.5782,533.679,582984,706.119,344473,0.75618,0
1609,0.00123666,0,109.592,0,107.888,1.01579,39.5354,533.666,582487,706.119,344460,0.756477,0
1689,0.0012731,0,109.709,0,107.917,1.0166,39.4916,533.652,581977,706.119,344447,0.756783,0
1771,0.0013105,0,109.83,0,107.947,1.01744,39.4468,533.638,581454,706.119,344434,0.757095,0
1855,0.00134887,0,109.954,0,107.978,1.0183,39.4008,533.623,580918,706.119,344420,0.757415,0
1941,0.00138821,0,110.08,0,108.009,1.01918,39.3537,533.609,580369,706.119,344406,0.757743,0
2029,0.00142852,0,110.21,0,108.041,1.02007,39.3056,533.593,579808,706.119,344392,0.758078,0
2119,0.0014698,0,110.343,0,108.074,1.02099,39.2564,533.578,579233,706.119,344377,0.758421,0
2211,0.00151207,0,110.478,0,108.107,1.02193,39.2061,533.562,578646,706.119,344362,0.75877,0
2305,0.00155531,0,110.617,0,108.141,1.02289,39.1548,533.545,578046,706.119,344347,0.759127,0
2401,0.00159954,0,110.758,0,108.176,1.02387,39.1024,533.529,577433,706.119,344331,0.759492,0
2499,0.00164476,0,110.903,0,108.212,1.02487,39.0489,533.512,576807,706.119,344315,0.759864,0
