"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Pressure_Coefficient","Mach"
0, 9.963582397901379e-01, 5.473610580189410e-02, 1.377011555665507e+02, 7.431449745601101e+03, -1.592871786214802e+03, 4.125925328656778e+07, 7.371309625011360e+05, 6.474583144197779e+02, -3.680418474152123e-01, 1.287515919649435e+00
1, 9.956316199431459e-01, 9.956211010324939e-01, 2.063855235851543e+02, 9.639295213184027e+03, -5.933292144258763e+00, 6.213160869890566e+07, 8.179245588083437e+05, 6.524457032805784e+02, -1.039575960277580e-02, 1.691630484007666e+00
2, 4.376141119747864e-03, 9.956288622244573e-01, 2.094999999999978e+02, 9.729012067839685e+03, 1.972838910470836e-11, 6.307897105695645e+07, 8.202729999999983e+05, 6.526404358937511e+02, -7.729972358424642e-15, 1.700000000000026e+00
3, 4.328097586179885e-01, 5.388591974079321e-01, 2.093821391273376e+02, 9.726149675992890e+03, -1.857573733456896e+00, 6.304314383763729e+07, 8.201850161641687e+05, 6.526331103423887e+02, -3.894748608063058e-04, 1.699812674894769e+00
4, 4.336936482599497e-01, 5.339289427303334e-01, 2.093579068472403e+02, 9.725548492798864e+03, -2.262419415487443e+00, 6.303577716461714e+07, 8.201669184592234e+05, 6.526316037891183e+02, -4.695873160989555e-04, 1.699771599825199e+00
5, 4.281051954387706e-01, 5.351000908954686e-01, 2.093902252182240e+02, 9.726336542459485e+03, -1.743711809134779e+00, 6.304560139172091e+07, 8.201910545691606e+05, 6.526336130325777e+02, -3.627448720365192e-04, 1.699823953961902e+00
6, 4.226983273627077e-01, 5.291480352019332e-01, 2.093926051591424e+02, 9.726395840320874e+03, -1.717261079064130e+00, 6.304632491329950e+07, 8.201928317942340e+05, 6.526337609871131e+02, -3.548776941446419e-04, 1.699828022394752e+00
7, 4.305102455978874e-01, 5.287513307929539e-01, 2.093565152632354e+02, 9.725511116208836e+03, -2.295835991884115e+00, 6.303535398898156e+07, 8.201658791110023e+05, 6.526315172715156e+02, -4.741881612416135e-04, 1.699768739101653e+00
8, 4.376095346103873e-01, 5.293800250398488e-01, 2.093168615337619e+02, 9.724542932094526e+03, -2.935998123504822e+00, 6.302329989648570e+07, 8.201362577511047e+05, 6.526290516311105e+02, -6.053119627221222e-04, 1.699703982122903e+00
9, 4.397825868921697e-01, 5.372442794677613e-01, 2.093373166552213e+02, 9.725043946361775e+03, -2.606614497336200e+00, 6.302951799540771e+07, 8.201515386990672e+05, 6.526303235658610e+02, -5.376683435906221e-04, 1.699737702595753e+00
10, 4.454388823650897e-01, 5.303355325920931e-01, 2.092714779566247e+02, 9.723412133510064e+03, -3.712618710326735e+00, 6.300950299189123e+07, 8.201023470717649e+05, 6.526262292561468e+02, -7.554231392913541e-04, 1.699625511877683e+00
11, 4.491138031969826e-01, 5.378446745903294e-01, 2.092869862278849e+02, 9.723787264617413e+03, -3.473003432926114e+00, 6.301421708439881e+07, 8.201139360324627e+05, 6.526271937666817e+02, -7.041227065237994e-04, 1.699650402440538e+00
12, 4.579322203241893e-01, 5.380029954535214e-01, 2.092225174202862e+02, 9.722165902664943e+03, -4.594599401238860e+00, 6.299461747334568e+07, 8.200657527076814e+05, 6.526231838818254e+02, -9.174140859584479e-04, 1.699535797955166e+00
13, 4.539695337919193e-01, 5.306540879158319e-01, 2.092057805676125e+02, 9.721755650132680e+03, -4.858983316049534e+00, 6.298952968659651e+07, 8.200532404665644e+05, 6.526221427011379e+02, -9.728015707317508e-04, 1.699507772511446e+00
14, 4.666284544257175e-01, 5.378960875827385e-01, 2.091409877196967e+02, 9.720094390261513e+03, -6.040719999908844e+00, 6.296983014439756e+07, 8.200047897549229e+05, 6.526181113956462e+02, -1.187276581900336e-03, 1.699385989553265e+00
15, 4.753117481365866e-01, 5.376330881064229e-01, 2.090392808858835e+02, 9.717480512677175e+03, -7.888260435587926e+00, 6.293890711356746e+07, 8.199286947412816e+05, 6.526117813110019e+02, -1.524123623927753e-03, 1.699192052951683e+00
16, 4.938016244120181e-01, 5.370950630496624e-01, 2.087602374493430e+02, 9.710111256159516e+03, -1.316687657268020e+01, 6.285405784604941e+07, 8.197196620624802e+05, 6.525944011707487e+02, -2.449441015593126e-03, 1.698614807649840e+00
17, 4.841509381244807e-01, 5.373164717516234e-01, 2.089135452601992e+02, 9.714193770740010e+03, -1.024382183100840e+01, 6.290067592225527e+07, 8.198345526540872e+05, 6.526039522477320e+02, -1.940858993096609e-03, 1.698939778647609e+00
18, 5.005984079685958e-01, 5.404933614994524e-01, 2.087006766843028e+02, 9.708491056017314e+03, -1.429657788503040e+01, 6.283594492842595e+07, 8.196749942455648e+05, 6.525906888622252e+02, -2.647170423629163e-03, 1.698481329353140e+00
19, 5.068537579347121e-01, 5.395817164351752e-01, 2.085341152495922e+02, 9.704104945081755e+03, -1.734140627627076e+01, 6.278529925862199e+07, 8.195499904091777e+05, 6.525803030889684e+02, -3.200520380665215e-03, 1.698129591410809e+00
20, 5.138946474495987e-01, 5.386265465793708e-01, 2.083281946286055e+02, 9.698671849248400e+03, -2.112261775735254e+01, 6.272268566067696e+07, 8.193952567236265e+05, 6.525674537384094e+02, -3.885474384690079e-03, 1.697685281630947e+00
21, 4.271023742451347e-01, 5.429132283291384e-01, 2.094152505025960e+02, 9.726967896897964e+03, -1.315185464670416e+00, 6.305320963595388e+07, 8.202097406373193e+05, 6.526351686909560e+02, -2.800279306077824e-04, 1.699868042740431e+00
22, 4.224004024730362e-01, 5.366993118737529e-01, 2.094153038217978e+02, 9.726952843890525e+03, -1.338015981052396e+00, 6.305322508426105e+07, 8.202097804387520e+05, 6.526351720044253e+02, -2.798517430463495e-04, 1.699865271442526e+00
23, 4.357394571391378e-01, 5.447694747138263e-01, 2.093869367202222e+02, 9.726279828991315e+03, -1.774485658389379e+00, 6.304460283667640e+07, 8.201885989076289e+05, 6.526334086012138e+02, -3.736152600366789e-04, 1.699822737719914e+00
24, 4.420690461186972e-01, 5.231066474905406e-01, 2.092558083876837e+02, 9.723027901547939e+03, -3.959058293860595e+00, 6.300473963155300e+07, 8.200906364362345e+05, 6.526252546578650e+02, -8.072621856351289e-04, 1.699599404587247e+00
25, 4.443553023718078e-01, 5.451078991088458e-01, 2.093473590417377e+02, 9.725294671437310e+03, -2.450140410405436e+00, 6.303257097750392e+07, 8.201590401262309e+05, 6.526309479836300e+02, -5.044620475382359e-04, 1.699755057684284e+00
26, 4.344256867134499e-01, 5.225675541198026e-01, 2.093083997678089e+02, 9.724329145782927e+03, -3.082810405102990e+00, 6.302072732657004e+07, 8.201299358698211e+05, 6.526285254390287e+02, -6.332968057296755e-04, 1.699688867261749e+00
27, 4.204081650266351e-01, 5.216383276226169e-01, 2.093793766622160e+02, 9.726073932011635e+03, -1.939542329326804e+00, 6.304230370818806e+07, 8.201829532105095e+05, 6.526329386068862e+02, -3.986068630847023e-04, 1.699806739371166e+00
28, 4.149931099470218e-01, 5.256194523161277e-01, 2.094112437787872e+02, 9.726859502896255e+03, -1.413443802032810e+00, 6.305199116365237e+07, 8.202067490822675e+05, 6.526349196309712e+02, -2.932705390525144e-04, 1.699859715489292e+00
29, 4.269906121876175e-01, 5.221326297618760e-01, 2.093495169060510e+02, 9.725336238785136e+03, -2.424582908002199e+00, 6.303322641583065e+07, 8.201606519043891e+05, 6.526310821490705e+02, -4.973272475162117e-04, 1.699756633742061e+00
30, 4.532352614589624e-01, 5.453467564630678e-01, 2.092988282724680e+02, 9.724081362176088e+03, -3.286713317903534e+00, 6.301781710033103e+07, 8.201227845287662e+05, 6.526279302226194e+02, -6.649533882784436e-04, 1.699670713012461e+00
31, 4.620133864074075e-01, 5.453705420888726e-01, 2.092374664379953e+02, 9.722535804237232e+03, -4.361032678867272e+00, 6.299916194442821e+07, 8.200769272387238e+05, 6.526241137845876e+02, -8.679481939429727e-04, 1.699561389362500e+00
32, 4.064726232262693e-01, 5.141113674234880e-01, 2.094103477819933e+02, 9.726848214535319e+03, -1.411459304647174e+00, 6.305171928632957e+07, 8.202060800914401e+05, 6.526348639349338e+02, -2.962319365287658e-04, 1.699860115593638e+00
33, 4.501471674330416e-01, 5.234147773762632e-01, 2.091876148890411e+02, 9.721309107584419e+03, -5.145452027663485e+00, 6.298400749986869e+07, 8.200396585412206e+05, 6.526210125589618e+02, -1.032924187946540e-03, 1.699477069256301e+00
34, 4.625566995182793e-01, 5.306002398908963e-01, 2.091204598556718e+02, 9.719583271130301e+03, -6.370770997483105e+00, 6.296358958890193e+07, 8.199894352085241e+05, 6.526168339698652e+02, -1.255245996564871e-03, 1.699349884471264e+00
35, 4.711308639090759e-01, 5.302984493641558e-01, 2.090131946329892e+02, 9.716823856311608e+03, -8.307636241548567e+00, 6.293097648150386e+07, 8.199091694713501e+05, 6.526101573369127e+02, -1.610555429462190e-03, 1.699144376596266e+00
36, 4.707246283444705e-01, 5.452488711609191e-01, 2.091606935918437e+02, 9.720581741207214e+03, -5.734837116769796e+00, 6.297582066074478e+07, 8.200195275356990e+05, 6.526193375718452e+02, -1.122037381288814e-03, 1.699419993279630e+00
