"Mach","Pressure","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.9091,1.7614e+05,1,3.3397,3.3397,0,0
1.9092,1.761e+05,1,3.3459,3.3459,0,0
1.9093,1.7606e+05,1,3.352,3.352,0,0
1.9094,1.7602e+05,1,3.3582,3.3582,0,0
1.9095,1.7599e+05,1,3.3643,3.3643,0,0
1.9096,1.7595e+05,1,3.3705,3.3705,0,0
1.9097,1.7591e+05,1,3.3767,3.3767,0,0
1.9099,1.7587e+05,1,3.3828,3.3828,0,0
1.91,1.7582e+05,1,3.389,3.389,0,0
1.9101,1.7578e+05,1,3.3952,3.3952,0,0
1.9103,1.7574e+05,1,3.4013,3.4013,0,0
1.9104,1.7569e+05,1,3.4075,3.4075,0,0
1.9105,1.7565e+05,1,3.4136,3.4136,0,0
1.9106,1.7561e+05,1,3.4198,3.4198,0,0
1.9108,1.7556e+05,1,3.426,3.426,0,0
1.9109,1.7552e+05,1,3.4321,3.4321,0,0
1.9111,1.7547e+05,1,3.4383,3.4383,0,0
1.9112,1.7542e+05,1,3.4444,3.4444,0,0
1.9114,1.7537e+05,1,3.4506,3.4506,0,0
1.9115,1.7533e+05,1,3.4568,3.4568,0,0
1.9117,1.7528e+05,1,3.4629,3.4629,0,0
1.9118,1.7523e+05,1,3.4691,3.4691,0,0
1.912,1.7518e+05,1,3.4753,3.4753,0,0
1.9121,1.7512e+05,1,3.4814,3.4814,0,0
1.9123,1.7506e+05,1,3.4876,3.4876,0,0
1.9125,1.7501e+05,1,3.4937,3.4937,0,0
1.9127,1.7495e+05,1,3.4999,3.4999,0,0
1.9128,1.7489e+05,1,3.5061,3.5061,0,0
1.913,1.7483e+05,1,3.5122,3.5122,0,0
1.9132,1.7478e+05,1,3.5184,3.5184,0,0
1.9134,1.7472e+05,1,3.5245,3.5245,0,0
1.9136,1.7465e+05,1,3.5307,3.5307,0,0
1.9138,1.7459e+05,1,3.5369,3.5369,0,0
1.914,1.7453e+05,1,3.543,3.543,0,0
1.9142,1.7446e+05,1,3.5492,3.5492,0,0
1.9144,1.744e+05,1,3.5554,3.5554,0,0
1.9146,1.7434e+05,1,3.5615,3.5615,0,0
1.9148,1.7427e+05,1,3.5677,3.5677,0,0
