"Mach","Pressure","Temperature","x","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.8705,1.2452e+05,198.92,0.57572,1,11.842,3.7422,0,0
1.8711,1.2445e+05,198.89,0.58697,1,11.915,3.8153,0,0
1.8717,1.2439e+05,198.86,0.59822,1,11.988,3.8884,0,0
1.8722,1.2432e+05,198.83,0.60946,1,12.062,3.9615,0,0
1.8749,1.2387e+05,198.63,0.62071,1,12.135,4.0346,0,0
1.8782,1.2332e+05,198.38,0.63195,1,12.208,4.1077,0,0
1.8814,1.2277e+05,198.13,0.6432,1,12.281,4.1808,0,0
1.8847,1.2223e+05,197.88,0.65445,1,12.354,4.2539,0,0
1.8917,1.2088e+05,197.25,0.66569,1,12.427,4.327,0,0
1.8994,1.1935e+05,196.54,0.67694,1,12.5,4.4001,0,0
1.9072,1.1782e+05,195.82,0.68818,1,12.573,4.4732,0,0
1.915,1.1629e+05,195.11,0.69943,1,12.646,4.5463,0,0
1.9252,1.1456e+05,194.27,0.71068,1,12.719,4.6194,0,0
1.9358,1.1278e+05,193.4,0.72192,1,12.792,4.6925,0,0
1.9464,1.11e+05,192.54,0.73317,1,12.866,4.7656,0,0
1.957,1.0923e+05,191.68,0.74442,1,12.939,4.8387,0,0
1.9724,1.0674e+05,190.42,0.75566,1,13.012,4.9118,0,0
1.9887,1.0412e+05,189.09,0.76691,1,13.085,4.9849,0,0
2.005,1.0151e+05,187.75,0.77815,1,13.158,5.058,0,0
2.0213,98887,186.42,0.7894,1,13.231,5.1311,0,0
2.0414,95943,184.8,0.80065,1,13.304,5.2042,0,0
2.0622,92933,183.13,0.81189,1,13.377,5.2773,0,0
2.0831,89923,181.46,0.82314,1,13.45,5.3504,0,0
2.1039,86913,179.78,0.83438,1,13.524,5.4235,0,0
2.1265,83970,177.99,0.84563,1,13.597,5.4966,0,0
2.1496,81042,176.18,0.85688,1,13.67,5.5697,0,0
2.1727,78115,174.37,0.86812,1,13.743,5.6428,0,0
2.1958,75187,172.55,0.87937,1,13.816,5.7159,0,0
2.2199,72470,170.73,0.89062,1,13.889,5.789,0,0
2.2443,69813,168.89,0.90186,1,13.962,5.8621,0,0
2.2687,67156,167.06,0.91311,1,14.035,5.9352,0,0
2.2931,64499,165.23,0.92435,1,14.108,6.0083,0,0
2.3187,62032,163.38,0.9356,1,14.181,6.0814,0,0
2.3447,59631,161.52,0.94685,1,14.254,6.1545,0,0
2.3708,57230,159.67,0.95809,1,14.328,6.2276,0,0
2.3968,54829,157.81,0.96934,1,14.401,6.3007,0,0
2.4238,52645,155.98,0.98058,1,14.474,6.3738,0,0
2.4514,50566,154.17,0.99183,1,14.547,6.4469,0,0
2.4789,48488,152.35,1.0031,1,14.62,6.52,0,0
2.5064,46409,150.54,1.0143,1,14.693,6.5931,0,0
2.5314,44628,148.86,1.0256,1,14.766,6.6662,0,0
2.5547,43039,147.28,1.0368,1,14.839,6.7393,0,0
2.578,41450,145.7,1.0481,1,14.912,6.8124,0,0
2.6013,39861,144.12,1.0593,1,14.986,6.8855,0,0
2.6218,38562,142.77,1.0706,1,15.059,6.9586,0,0
2.6395,37542,141.63,1.0818,1,15.132,7.0317,0,0
2.6573,36521,140.48,1.093,1,15.205,7.1048,0,0
2.675,35501,139.34,1.1043,1,15.278,7.1779,0,0
2.6923,34552,138.26,1.1155,1,15.351,7.251,0,0
2.7088,33705,137.24,1.1268,1,15.424,7.3241,0,0
2.7253,32857,136.23,1.138,1,15.497,7.3972,0,0
2.7418,32010,135.22,1.1493,1,15.57,7.4703,0,0
2.7581,31205,134.25,1.1605,1,15.643,7.5434,0,0
2.7736,30503,133.35,1.1718,1,15.717,7.6165,0,0
2.7892,29802,132.46,1.183,1,15.79,7.6896,0,0
2.8047,29101,131.57,1.1943,1,15.863,7.7627,0,0
2.8203,28407,130.68,1.2055,1,15.936,7.8358,0,0
2.8361,27745,129.77,1.2168,1,16.009,7.9089,0,0
2.8518,27083,128.87,1.228,1,16.082,7.982,0,0
2.8676,26421,127.96,1.2392,1,16.155,8.0551,0,0
2.8834,25760,127.05,1.2505,1,16.228,8.1282,0,0
2.8983,25222,126.27,1.2617,1,16.301,8.2013,0,0
2.9132,24685,125.49,1.273,1,16.374,8.2744,0,0
2.9281,24148,124.71,1.2842,1,16.448,8.3475,0,0
2.9429,23611,123.93,1.2955,1,16.521,8.4206,0,0
2.9584,23074,123.1,1.3067,1,16.594,8.4937,0,0
2.974,22537,122.27,1.318,1,16.667,8.5668,0,0
2.9897,22000,121.43,1.3292,1,16.74,8.6399,0,0
3.0053,21463,120.6,1.3405,1,16.813,8.713,0,0
3.0204,20991,119.83,1.3517,1,16.886,8.7861,0,0
3.0353,20550,119.1,1.363,1,16.959,8.8592,0,0
3.0501,20109,118.37,1.3742,1,17.032,8.9323,0,0
3.065,19668,117.64,1.3854,1,17.105,9.0054,0,0
3.0804,19224,116.88,1.3967,1,17.179,9.0785,0,0
3.0963,18777,116.08,1.4079,1,17.252,9.1516,0,0
3.1122,18330,115.29,1.4192,1,17.325,9.2247,0,0
3.1281,17882,114.5,1.4304,1,17.398,9.2978,0,0
3.1439,17458,113.73,1.4417,1,17.471,9.3709,0,0
3.1593,17087,113.03,1.4529,1,17.544,9.444,0,0
3.1746,16716,112.32,1.4642,1,17.617,9.5171,0,0
3.19,16345,111.61,1.4754,1,17.69,9.5902,0,0
3.2054,15973,110.89,1.4867,1,17.763,9.6633,0,0
3.2219,15598,110.13,1.4979,1,17.836,9.7364,0,0
3.2384,15222,109.36,1.5092,1,17.91,9.8095,0,0
3.2549,14847,108.6,1.5204,1,17.983,9.8826,0,0
3.2714,14471,107.83,1.5316,1,18.056,9.9557,0,0
3.2871,14154,107.14,1.5429,1,18.129,10.029,0,0
3.3028,13848,106.46,1.5541,1,18.202,10.102,0,0
3.3185,13542,105.79,1.5654,1,18.275,10.175,0,0
3.3342,13235,105.11,1.5766,1,18.348,10.248,0,0
3.3504,12931,104.41,1.5879,1,18.421,10.321,0,0
3.367,12628,103.69,1.5991,1,18.494,10.394,0,0
3.3836,12325,102.98,1.6104,1,18.567,10.467,0,0
