,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,G,Z
0,202.89,75001000.0,1.7,17306,-1.4751e-11,0,1499900.0,-9.4637e-15,569.84,1,0.0,0.0,0.4,0,0.757761735629271,0.3690629883048283
1,202.89,75001000.0,1.7,17306,-1.4485e-11,0,1499900.0,-9.6915e-15,569.84,1,0.001,0.001,0.4,0,0.757761735629271,0.3690629883048283
2,202.89,75001000.0,1.7,17306,-1.422e-11,0,1499900.0,-9.9193e-15,569.84,1,0.002,0.002,0.4,0,0.757761735629271,0.3690629883048283
3,202.89,75001000.0,1.7,17306,-1.3955e-11,0,1499900.0,-1.0147e-14,569.84,1,0.003,0.003,0.4,0,0.757761735629271,0.3690629883048283
4,202.89,75001000.0,1.7,17306,-1.369e-11,0,1499900.0,-1.0375e-14,569.84,1,0.004,0.004,0.4,0,0.757761735629271,0.3690629883048283
5,202.89,75001000.0,1.7,17306,-1.3424e-11,0,1499900.0,-1.0603e-14,569.84,1,0.005,0.005,0.4,0,0.757761735629271,0.3690629883048283
6,202.89,75001000.0,1.7,17306,-1.3159e-11,0,1499900.0,-1.083e-14,569.84,1,0.006,0.006,0.4,0,0.757761735629271,0.3690629883048283
7,202.89,75001000.0,1.7,17306,-1.2894e-11,0,1499900.0,-1.1058e-14,569.84,1,0.007,0.007,0.4,0,0.757761735629271,0.3690629883048283
8,202.89,75001000.0,1.7,17306,-1.2629e-11,0,1499900.0,-1.1286e-14,569.84,1,0.008,0.008,0.4,0,0.757761735629271,0.3690629883048283
9,202.89,75001000.0,1.7,17306,-1.2363e-11,0,1499900.0,-1.1514e-14,569.84,1,0.009,0.009,0.4,0,0.757761735629271,0.3690629883048283
10,202.89,75001000.0,1.7,17306,-1.2098e-11,0,1499900.0,-1.1742e-14,569.84,1,0.01,0.01,0.4,0,0.757761735629271,0.3690629883048283
11,202.89,75001000.0,1.7,17306,-1.1833e-11,0,1499900.0,-1.1969e-14,569.84,1,0.011,0.011,0.4,0,0.757761735629271,0.3690629883048283
12,202.89,75001000.0,1.7,17306,-1.1568e-11,0,1499900.0,-1.2197e-14,569.84,1,0.012,0.012,0.4,0,0.757761735629271,0.3690629883048283
13,202.89,75001000.0,1.7,17306,-1.1302e-11,0,1499900.0,-1.2425e-14,569.84,1,0.013,0.013,0.4,0,0.757761735629271,0.3690629883048283
14,202.89,75001000.0,1.7,17306,-1.1037e-11,0,1499900.0,-1.2653e-14,569.84,1,0.014,0.014,0.4,0,0.757761735629271,0.3690629883048283
15,202.89,75001000.0,1.7,17306,-1.0772e-11,0,1499900.0,-1.2881e-14,569.84,1,0.015,0.015,0.4,0,0.757761735629271,0.3690629883048283
