"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"C<sub>p</sub>"	"Mach"
0	0.000000000000000e+00	3.600000000000000e-02	6.482755091156952e+02	2.307687811397357e-04	-1.260536043082933e-06	1.181126343239758e+07	9.040000095995349e+05	5.421300000072500e+02	2.799600999652754e+08	1.094489761605122e-09	
1	8.640000000000000e-02	8.399999999999999e-03	6.482755090254817e+02	2.148101869177380e-04	-1.187187300856510e-07	1.181126343062814e+07	9.040000000562810e+05	5.421300000000425e+02	1.641374398550360e+06	1.018786327302004e-09	
2	1.229370000000000e-01	1.128710000000000e-02	6.427942744352913e+02	1.602916338235706e+03	-1.046709644419955e+02	1.170980183078643e+07	3.492415873290683e+05	5.416973298879624e+02	-1.617893180306976e+16	8.033343716227720e-03	
3	0.000000000000000e+00	0.000000000000000e+00	6.482755091067171e+02	2.356909949860207e-04	-1.241851254764136e-06	1.181126343222148e+07	9.040000086497790e+05	5.421300000065328e+02	2.522614919353990e+08	1.117833669027651e-09	
4	8.640000000000000e-02	0.000000000000000e+00	6.482755090248299e+02	2.111319407985644e-04	2.315612027987502e-08	1.181126343061536e+07	9.039999999873525e+05	5.421299999999904e+02	-3.688500486770290e+05	1.001341258874689e-09	
5	1.229370000000000e-01	0.000000000000000e+00	6.429686087412420e+02	1.544271422581356e+03	5.780524111321390e+01	1.171295977111646e+07	3.661393271522442e+05	5.417110427583102e+02	-1.568612741474343e+16	7.715146546915742e-03	
6	1.960018098588004e-03	3.597626186287946e-02	6.482755091102857e+02	2.166838484556795e-04	1.192210044770373e-07	1.181126343229149e+07	9.040000090272719e+05	5.421300000068178e+02	2.632706648350597e+08	1.027672592457975e-09	
7	3.918755016079001e-03	3.590181556644892e-02	6.482755091025941e+02	2.136422010616887e-04	-5.524433686417356e-06	1.181126343214065e+07	9.040000082136731e+05	5.421300000062034e+02	2.395429334427485e+08	1.013585431506719e-09	
8	5.874590915224134e-03	3.577197210712745e-02	6.482755091014131e+02	2.069859569416732e-04	-1.165744940407143e-05	1.181126343211748e+07	9.040000080887260e+05	5.421300000061090e+02	2.358989838192687e+08	9.832336610910890e-10	
9	7.825585266746177e-03	3.558293797766051e-02	6.482755091156937e+02	2.031380815600056e-04	-1.845004293317849e-05	1.181126343239756e+07	9.040000095994084e+05	5.421300000072499e+02	2.799564094616634e+08	9.673941544347119e-10	
10	9.769534147554900e-03	3.533164551379848e-02	6.482755091382139e+02	2.020333251598696e-04	-2.410416138843045e-05	1.181126343283927e+07	9.040000119816710e+05	5.421300000090490e+02	3.494325335225742e+08	9.649845055094074e-10	
11	1.170402344398943e-02	3.501571054701203e-02	6.482755091603326e+02	1.987473818347726e-04	-2.842316612064485e-05	1.181126343327309e+07	9.040000143215224e+05	5.421300000108163e+02	4.176717820725501e+08	9.521950903209057e-10	
12	1.362659261175662e-02	3.463390078676319e-02	6.482755091914412e+02	1.948487977301229e-04	-3.606728679304627e-05	1.181126343388328e+07	9.040000176123357e+05	5.421300000133016e+02	5.136448087783607e+08	9.398130981417727e-10	
13	1.553486660563326e-02	3.418608670486043e-02	6.482755092125376e+02	1.935414507569695e-04	-4.128163423022730e-05	1.181126343429707e+07	9.040000198440276e+05	5.421300000149871e+02	5.787296986734545e+08	9.385624735177123e-10	
14	1.742662136228725e-02	3.367293987325921e-02	6.482755092437902e+02	1.903816432702169e-04	-4.703301500340193e-05	1.181126343491004e+07	9.040000231500677e+05	5.421300000174840e+02	6.751467978732297e+08	9.300738185771803e-10	
15	1.929992598960758e-02	3.309604921476667e-02	6.482755092694332e+02	1.876969686814664e-04	-5.130061165292588e-05	1.181126343541301e+07	9.040000258627189e+05	5.421300000195326e+02	7.542583515472354e+08	9.228463463334611e-10	
