Density,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,entropy,total enthalpt,fundamental_derivative_of_gas_dynamics
36,326.44,0.096835,3598.3,0.0047505,0,2930100.0,537.98,1,0.92385,-12.957,0,0,871.2795721129004,674562502.2549015,4.008062007614952
37,326.44,0.096862,3599.3,0.0069752,0,2930100.0,537.98,1,0.94951,-12.931,0,0,871.2795721129004,674562502.2549015,4.008062007614952
38,326.44,0.09689,3600.3,0.0091999,0,2930100.0,537.98,1,0.97517,-12.905,0,0,871.2795721129004,674562502.2549015,4.008062007614952
39,326.44,0.096918,3601.3,0.011268,0,2930100.0,537.98,1,1.0008,-12.88,0,0,871.2795721129004,674562502.2549015,4.008062007614952
40,326.44,0.09695,3602.4,0.0086862,0,2930100.0,537.98,1,1.0265,-12.854,0,0,871.2795721129004,674562502.2549015,4.008062007614952
41,326.44,0.096981,3603.6,0.0061046,0,2930100.0,537.98,1,1.0522,-12.828,0,0,871.2795721129004,674562502.2549015,4.008062007614952
42,326.43,0.097013,3604.7,0.0035231,0,2930100.0,537.98,1,1.0778,-12.803,0,0,871.2795721129004,674521199.0919282,4.008062007614952
43,326.43,0.097044,3605.9,0.00091864,0,2930000.0,537.98,1,1.1035,-12.777,0,0,871.2844557561203,674399873.6323835,4.007759310133737
44,326.43,0.097079,3607.1,-0.0018311,0,2930000.0,537.98,1,1.1291,-12.751,0,0,871.2844557561203,674399873.6323835,4.007759310133737
45,326.43,0.097114,3608.4,-0.0045808,0,2930000.0,537.98,1,1.1548,-12.726,0,0,871.2844557561203,674399873.6323835,4.007759310133737
46,326.43,0.097148,3609.6,-0.0073305,0,2930000.0,537.98,1,1.1805,-12.7,0,0,871.2844557561203,674399873.6323835,4.007759310133737
47,326.43,0.097184,3610.9,-0.0092145,0,2930000.0,537.98,1,1.2061,-12.674,0,0,871.2844557561203,674399873.6323835,4.007759310133737
48,326.43,0.097221,3612.3,-0.0083436,0,2930000.0,537.98,1,1.2318,-12.649,0,0,871.2844557561203,674399873.6323835,4.007759310133737
49,326.43,0.097259,3613.6,-0.0074726,0,2930000.0,537.98,1,1.2575,-12.623,0,0,871.2844557561203,674399873.6323835,4.007759310133737
50,326.43,0.097297,3615.0,-0.0066015,0,2929900.0,537.98,1,1.2831,-12.597,0,0,871.2893405419553,674278551.3328683,4.007456490316132
51,326.42,0.097336,3616.4,-0.0050204,0,2929900.0,537.98,1,1.3088,-12.572,0,0,871.2893405419553,674237264.3019916,4.007456490316132
52,326.42,0.097377,3617.9,-0.0020756,0,2929900.0,537.98,1,1.3344,-12.546,0,0,871.2893405419553,674237264.3019916,4.007456490316132
53,326.42,0.097418,3619.4,0.00086925,0,2929900.0,537.98,1,1.3601,-12.52,0,0,871.2893405419553,674237264.3019916,4.007456490316132
54,326.42,0.097459,3620.9,0.0038141,0,2929900.0,537.98,1,1.3858,-12.495,0,0,871.2893405419553,674237264.3019916,4.007456490316132
55,326.42,0.097502,3622.4,0.0037481,0,2929900.0,537.98,1,1.4114,-12.469,0,0,871.2893405419553,674237264.3019916,4.007456490316132
56,326.42,0.097547,3624.0,-6.32e-05,0,2929800.0,537.98,1,1.4371,-12.443,0,0,871.2942264709305,674115952.599164,4.007153548104835
57,326.42,0.097591,3625.7,-0.0038745,0,2929800.0,537.98,1,1.4628,-12.418,0,0,871.2942264709305,674115952.599164,4.007153548104835
58,326.42,0.097636,3627.3,-0.0076857,0,2929800.0,537.98,1,1.4884,-12.392,0,0,871.2942264709305,674115952.599164,4.007153548104835
59,326.41,0.097683,3629.0,-0.0090149,0,2929800.0,537.98,1,1.5141,-12.366,0,0,871.2942264709305,674074674.2660015,4.007153548104835
60,326.41,0.097731,3630.7,-0.0083045,0,2929800.0,537.98,1,1.5397,-12.341,0,0,871.2942264709305,674074674.2660015,4.007153548104835
61,326.41,0.097779,3632.5,-0.007594,0,2929700.0,537.98,1,1.5654,-12.315,0,0,871.2991135435727,673953373.1628622,4.006850483442163
62,326.41,0.097827,3634.2,-0.0068835,0,2929700.0,537.98,1,1.5911,-12.289,0,0,871.2991135435727,673953373.1628622,4.006850483442163
63,326.41,0.097877,3636.0,-0.005218,0,2929700.0,537.98,1,1.6167,-12.264,0,0,871.2991135435727,673953373.1628622,4.006850483442163
64,326.41,0.097929,3637.9,-0.0030431,0,2929700.0,537.98,1,1.6424,-12.238,0,0,871.2991135435727,673953373.1628622,4.006850483442163
65,326.4,0.09798,3639.8,-0.00086823,0,2929700.0,537.98,1,1.6681,-12.212,0,0,871.2991135435727,673912103.5267645,4.006850483442163
66,326.4,0.098032,3641.6,0.0013066,0,2929600.0,537.98,1,1.6937,-12.187,0,0,871.3040017604076,673790813.0264314,4.006547296269886
67,326.4,0.098086,3643.6,-0.0019797,0,2929600.0,537.98,1,1.7194,-12.161,0,0,871.3040017604076,673790813.0264314,4.006547296269886
68,326.4,0.098142,3645.6,-0.007034,0,2929600.0,537.98,1,1.745,-12.135,0,0,871.3040017604076,673790813.0264314,4.006547296269886
69,326.4,0.098197,3647.6,-0.012088,0,2929600.0,537.98,1,1.7707,-12.11,0,0,871.3040017604076,673790813.0264314,4.006547296269886
70,326.4,0.098253,3649.6,-0.017143,0,2929600.0,537.98,1,1.7964,-12.084,0,0,871.3040017604076,673790813.0264314,4.006547296269886
71,326.39,0.098311,3651.7,-0.016663,0,2929500.0,537.98,1,1.822,-12.058,0,0,871.3088911219642,673628272.1921908,4.00624398653021
72,326.39,0.09837,3653.9,-0.015274,0,2929500.0,537.98,1,1.8477,-12.033,0,0,871.3088911219642,673628272.1921908,4.00624398653021
73,326.39,0.098429,3656.0,-0.013884,0,2929500.0,537.98,1,1.8734,-12.007,0,0,871.3088911219642,673628272.1921908,4.00624398653021
74,326.39,0.098488,3658.1,-0.012494,0,2929500.0,537.97,1,1.899,-11.981,0,0,871.2440572377825,674064908.1526395,4.008059968472947
75,326.39,0.098551,3660.4,-0.0084399,0,2929400.0,537.97,1,1.9247,-11.956,0,0,871.2489437273359,673943591.1561844,4.0077569777213355
76,326.38,0.098615,3662.7,-0.0042803,0,2929400.0,537.97,1,1.9503,-11.93,0,0,871.2489437273359,673902319.5889639,4.0077569777213355
77,326.38,0.098678,3665.0,-0.00012072,0,2929400.0,537.97,1,1.976,-11.904,0,0,871.2489437273359,673902319.5889639,4.0077569777213355
78,326.38,0.098742,3667.3,0.0035445,0,2929400.0,537.97,1,2.0017,-11.879,0,0,871.2489437273359,673902319.5889639,4.0077569777213355
79,326.38,0.098809,3669.7,0.00012638,0,2929300.0,537.97,1,2.0273,-11.853,0,0,871.2538313610692,673781013.1891183,4.007453864440182
80,326.38,0.098876,3672.2,-0.0032918,0,2929300.0,537.97,1,2.053,-11.827,0,0,871.2538313610692,673781013.1891183,4.007453864440182
81,326.37,0.098944,3674.6,-0.0067099,0,2929300.0,537.97,1,2.0787,-11.802,0,0,871.2538313610692,673739750.3198794,4.007453864440182
82,326.37,0.099012,3677.1,-0.010412,0,2929200.0,537.97,1,2.1043,-11.776,0,0,871.258720139509,673618454.5197085,4.007150628571424
83,326.37,0.099083,3679.7,-0.015371,0,2929200.0,537.97,1,2.13,-11.751,0,0,871.258720139509,673618454.5197085,4.007150628571424
84,326.37,0.099155,3682.2,-0.02033,0,2929200.0,537.97,1,2.1556,-11.725,0,0,871.258720139509,673618454.5197085,4.007150628571424
85,326.37,0.099226,3684.8,-0.025289,0,2929200.0,537.97,1,2.1813,-11.699,0,0,871.258720139509,673618454.5197085,4.007150628571424
86,326.36,0.099299,3687.4,-0.029064,0,2929100.0,537.97,1,2.207,-11.674,0,0,871.2636100631859,673455915.1502025,4.006847270057192
87,326.36,0.099374,3690.2,-0.030124,0,2929100.0,537.97,1,2.2326,-11.648,0,0,871.2636100631859,673455915.1502025,4.006847270057192
88,326.36,0.099449,3692.9,-0.031184,0,2929100.0,537.97,1,2.2583,-11.622,0,0,871.2636100631859,673455915.1502025,4.006847270057192
89,326.36,0.099525,3695.6,-0.032244,0,2929000.0,537.97,1,2.284,-11.597,0,0,871.2685011326257,673334633.1258922,4.006543788839345
90,326.35,0.099602,3698.4,-0.030515,0,2929000.0,537.97,1,2.3096,-11.571,0,0,871.2685011326257,673293395.0831056,4.006543788839345
91,326.35,0.099682,3701.3,-0.024979,0,2929000.0,537.97,1,2.3353,-11.545,0,0,871.2685011326257,673293395.0831056,4.006543788839345
92,326.35,0.099762,3704.2,-0.019444,0,2928900.0,537.97,1,2.3609,-11.52,0,0,871.2733933483561,673172123.6679075,4.006240184860191
93,326.35,0.099842,3707.1,-0.013909,0,2928900.0,537.97,1,2.3866,-11.494,0,0,871.2733933483561,673172123.6679075,4.006240184860191
94,326.34,0.099925,3710.1,-0.0080773,0,2928900.0,537.97,1,2.4123,-11.468,0,0,871.2733933483561,673130894.3207309,4.006240184860191
95,326.34,0.10001,3713.1,-0.001996,0,2928800.0,537.97,1,2.4379,-11.443,0,0,871.278286710908,673009633.517727,4.0059364580612895
96,326.34,0.10009,3716.2,0.0040852,0,2928800.0,537.97,1,2.4636,-11.417,0,0,871.278286710908,673009633.517727,4.0059364580612895
97,326.33,0.10018,3719.2,0.010166,0,2928800.0,537.97,1,2.4893,-11.391,0,0,871.278286710908,672968412.8655101,4.0059364580612895
98,326.33,0.10027,3722.4,0.010631,0,2928700.0,537.97,1,2.5149,-11.366,0,0,871.28318122081,672847162.6776564,4.005632608384697
99,326.33,0.10036,3725.6,0.008221,0,2928700.0,537.97,1,2.5406,-11.34,0,0,871.28318122081,672847162.6776564,4.005632608384697
100,326.33,0.10045,3728.9,0.005811,0,2928700.0,537.97,1,2.5662,-11.314,0,0,871.28318122081,672847162.6776564,4.005632608384697
101,326.32,0.10054,3732.1,0.0034011,0,2928600.0,537.97,1,2.5919,-11.289,0,0,871.2880768785917,672684711.1500705,4.005328635772498
102,326.32,0.10063,3735.5,0.003378,0,2928600.0,537.97,1,2.6176,-11.263,0,0,871.2880768785917,672684711.1500705,4.005328635772498
103,326.32,0.10072,3738.9,0.0040252,0,2928500.0,537.97,1,2.6432,-11.237,0,0,871.2929736847813,672563474.7711622,4.005024540166367
104,326.31,0.10082,3742.3,0.0046725,0,2928500.0,537.97,1,2.6689,-11.212,0,0,871.2929736847813,672522278.9374648,4.005024540166367
105,326.31,0.10091,3745.7,0.0053197,0,2928500.0,537.97,1,2.6946,-11.186,0,0,871.2929736847813,672522278.9374648,4.005024540166367
106,326.31,0.10101,3749.3,0.0052861,0,2928400.0,537.97,1,2.7202,-11.16,0,0,871.2978716399107,672401053.1832583,4.0047203215081115
107,326.3,0.10111,3752.9,0.0051768,0,2928400.0,537.97,1,2.7459,-11.135,0,0,871.2978716399107,672359866.0421454,4.0047203215081115
108,326.3,0.10121,3756.5,0.0050675,0,2928300.0,537.97,1,2.7715,-11.109,0,0,871.3027707445096,672238650.915679,4.004415979739694
109,326.3,0.10131,3760.1,0.0049514,0,2928300.0,537.96,1,2.7972,-11.083,0,0,871.2378999962265,672674878.3368812,4.006235998275493
110,326.3,0.10142,3763.9,0.0044898,0,2928300.0,537.96,1,2.8229,-11.058,0,0,871.2378999962265,672674878.3368812,4.006235998275493
111,326.29,0.10152,3767.7,0.0040282,0,2928200.0,537.96,1,2.8485,-11.032,0,0,871.2427962184458,672512428.2551615,4.005931976549499
112,326.29,0.10163,3771.5,0.0035667,0,2928200.0,537.96,1,2.8742,-11.006,0,0,871.2427962184458,672512428.2551615,4.005931976549499
113,326.28,0.10173,3775.4,0.0028376,0,2928100.0,537.96,1,2.8999,-10.981,0,0,871.2476935895926,672349997.4860903,4.005627831751063
114,326.28,0.10184,3779.4,0.00044477,0,2928100.0,537.96,1,2.9255,-10.955,0,0,871.2476935895926,672349997.4860903,4.005627831751063
115,326.28,0.10195,3783.3,-0.0019481,0,2928000.0,537.96,1,2.9512,-10.929,0,0,871.2525921101961,672228766.4012073,4.005323563821779
116,326.27,0.10206,3787.3,-0.0043409,0,2928000.0,537.96,1,2.9768,-10.904,0,0,871.2525921101961,672187586.0321254,4.005323563821779
117,326.27,0.10218,3791.4,-0.0062269,0,2927900.0,537.96,1,3.0025,-10.878,0,0,871.2574917807862,672066365.5718951,4.005019172703677
118,326.27,0.10229,3795.6,-0.0066537,0,2927900.0,537.96,1,3.0282,-10.852,0,0,871.2574917807862,672066365.5718951,4.005019172703677
119,326.26,0.10241,3799.7,-0.0070804,0,2927800.0,537.96,1,3.0538,-10.827,0,0,871.2623926018955,671903984.0631102,4.004714658338269
120,326.26,0.10252,3803.9,-0.0075071,0,2927800.0,537.96,1,3.0795,-10.801,0,0,871.2623926018955,671903984.0631102,4.004714658338269
121,326.26,0.10264,3808.2,-0.0078204,0,2927700.0,537.96,1,3.1052,-10.775,0,0,871.2672945740568,671782777.4311085,4.00441002066737
122,326.25,0.10277,3812.6,-0.0079463,0,2927700.0,537.96,1,3.1308,-10.75,0,0,871.2672945740568,671741621.8771727,4.00441002066737
123,326.25,0.10289,3817.0,-0.0080721,0,2927600.0,537.96,1,3.1565,-10.724,0,0,871.2721976977988,671620425.8794805,4.004105259632454
124,326.24,0.10301,3821.4,-0.008198,0,2927600.0,537.96,1,3.1821,-10.698,0,0,871.2721976977988,671579279.0166692,4.004105259632454
125,326.24,0.10314,3826.0,-0.0092294,0,2927500.0,537.96,1,3.2078,-10.673,0,0,871.2771019736558,671458093.6561989,4.003800375175203
126,326.23,0.10326,3830.6,-0.01118,0,2927500.0,537.96,1,3.2335,-10.647,0,0,871.2771019736558,671416955.4838593,4.003800375175203
127,326.23,0.10339,3835.2,-0.01313,0,2927400.0,537.96,1,3.2591,-10.621,0,0,871.2820074021605,671295780.7636155,4.0034953672375835
128,326.23,0.10352,3839.8,-0.015081,0,2927400.0,537.96,1,3.2848,-10.596,0,0,871.2820074021605,671295780.7636155,4.0034953672375835
129,326.22,0.10365,3844.6,-0.013841,0,2927300.0,537.96,1,3.3105,-10.57,0,0,871.2869139838454,671133487.204273,4.003190235760681
130,326.22,0.10379,3849.4,-0.010608,0,2927200.0,537.96,1,3.3361,-10.544,0,0,871.2918217192433,671012326.3455992,4.002884980686516
131,326.21,0.10392,3854.3,-0.0073745,0,2927200.0,537.96,1,3.3618,-10.519,0,0,871.2918217192433,670971212.9804466,4.002884980686516
132,326.21,0.10406,3859.1,-0.0041414,0,2927100.0,537.95,1,3.3874,-10.493,0,0,871.2318228567743,671285880.8606229,4.004403672775256
133,326.2,0.1042,3864.1,-0.0089905,0,2927100.0,537.95,1,3.4131,-10.467,0,0,871.2318228567743,671244749.4617349,4.004403672775256
134,326.2,0.10434,3869.2,-0.016757,0,2927000.0,537.95,1,3.4388,-10.442,0,0,871.2367288536078,671123569.3873494,4.004098615145595
135,326.19,0.10448,3874.3,-0.024524,0,2926900.0,537.95,1,3.4644,-10.416,0,0,871.2416360041447,670961277.244949,4.003793433897659
136,326.19,0.10462,3879.3,-0.03229,0,2926900.0,537.95,1,3.4901,-10.39,0,0,871.2416360041447,670961277.244949,4.003793433897659
137,326.18,0.10476,3884.6,-0.025099,0,2926800.0,537.95,1,3.5158,-10.365,0,0,871.2465443089161,670799004.4359689,4.003488128972743
138,326.18,0.10491,3890.0,-0.015352,0,2926800.0,537.95,1,3.5414,-10.339,0,0,871.2465443089161,670799004.4359689,4.003488128972743
139,326.17,0.10506,3895.3,-0.0056049,0,2926700.0,537.95,1,3.5671,-10.313,0,0,871.2514537684561,670636750.9627448,4.003182700312749
140,326.17,0.10521,3900.6,0.0041422,0,2926600.0,537.95,1,3.5927,-10.288,0,0,871.2563643832982,670515606.0392702,4.002877147858751
141,326.16,0.10536,3906.2,0.0083408,0,2926600.0,537.95,1,3.6184,-10.262,0,0,871.2563643832982,670474516.8277875,4.002877147858751
142,326.16,0.10552,3911.8,0.012387,0,2926500.0,537.95,1,3.6441,-10.236,0,0,871.2612761539795,670353382.5571718,4.00257147155226
143,326.15,0.10567,3917.3,0.016434,0,2926400.0,537.95,1,3.6697,-10.211,0,0,871.2661890810355,670191178.418657,4.002265671334719
144,326.15,0.10583,3922.9,0.019638,0,2926400.0,537.95,1,3.6954,-10.185,0,0,871.2661890810355,670191178.418657,4.002265671334719
145,326.14,0.10599,3928.8,0.014588,0,2926300.0,537.95,1,3.7211,-10.159,0,0,871.271103164996,670028993.6263542,4.001959747147513
146,326.14,0.10615,3934.6,0.0095382,0,2926200.0,537.95,1,3.7467,-10.134,0,0,871.2760184064017,669907883.9059904,4.00165369893193
147,326.13,0.10632,3940.5,0.0044881,0,2926200.0,537.95,1,3.7724,-10.108,0,0,871.2760184064017,669866828.1825444,4.00165369893193
148,326.13,0.10648,3946.4,0.00084067,0,2926100.0,537.95,1,3.798,-10.082,0,0,871.2809348057893,669745729.1277455,4.001347526629091
149,326.12,0.10665,3952.5,0.0024131,0,2926000.0,537.95,1,3.8237,-10.057,0,0,871.2858523636919,669583593.7035657,4.001041230180502
150,326.12,0.10682,3958.6,0.0039854,0,2925900.0,537.94,1,3.8494,-10.031,0,0,871.2258261841749,669897916.5215334,4.002562948392045
151,326.11,0.10699,3964.7,0.0055578,0,2925900.0,537.94,1,3.875,-10.005,0,0,871.2258261841749,669856858.8898517,4.002562948392045
152,326.1,0.10716,3970.9,0.003063,0,2925800.0,537.94,1,3.9007,-9.9798,0,0,871.2307419978354,669694694.8395098,4.002256849901063
153,326.1,0.10734,3977.3,-0.0076494,0,2925700.0,537.94,1,3.9264,-9.9541,0,0,871.2356589700009,669573590.3964756,4.001950627243209
154,326.09,0.10752,3983.7,-0.018362,0,2925600.0,537.94,1,3.952,-9.9285,0,0,871.2405771012062,669411456.3605293,4.001644280359603
155,326.09,0.1077,3990.1,-0.029074,0,2925500.0,537.94,1,3.9777,-9.9028,0,0,871.245496391993,669290365.8248473,4.001337809191467
156,326.08,0.10788,3996.6,-0.03532,0,2925500.0,537.94,1,4.0033,-9.8771,0,0,871.245496391993,669249341.6787279,4.001337809191467
157,326.07,0.10807,4003.3,-0.036113,0,2925400.0,537.94,1,4.029,-9.8515,0,0,871.2504168428952,669087246.3536162,4.001031213679884
158,326.07,0.10825,4010.0,-0.036906,0,2925300.0,537.94,1,4.0547,-9.8258,0,0,871.2553384544531,668966177.165342,4.000724493765988
159,326.06,0.10844,4016.6,-0.037699,0,2925200.0,537.94,1,4.0803,-9.8002,0,0,871.2602612272038,668804111.8776094,4.000417649390938
160,326.05,0.10863,4023.5,-0.03741,0,2925100.0,537.94,1,4.106,-9.7745,0,0,871.265185161684,668642065.9545499,4.000110680495833
161,326.05,0.10882,4030.4,-0.036302,0,2925000.0,537.94,1,4.1317,-9.7488,0,0,871.2701102584355,668521021.3855833,3.9998035870216526
162,326.04,0.10902,4037.4,-0.035194,0,2925000.0,537.94,1,4.1573,-9.7232,0,0,871.2701102584355,668480039.398487,3.9998035870216526
163,326.03,0.10921,4044.3,-0.034087,0,2924900.0,537.94,1,4.183,-9.6975,0,0,871.2750365179969,668318032.2119422,3.9994963689092393
164,326.03,0.10941,4051.5,-0.037702,0,2924800.0,537.93,1,4.2086,-9.6718,0,0,871.2149858353737,668632046.7931108,4.00102080095783
165,326.02,0.10961,4058.8,-0.043451,0,2924700.0,537.93,1,4.2343,-9.6462,0,0,871.2199103455346,668470002.2391053,4.00071378127947
166,326.01,0.10982,4066.1,-0.0492,0,2924600.0,537.93,1,4.26,-9.6205,0,0,871.2248360184938,668307977.0499686,4.000406636941571
167,326.0,0.11002,4073.4,-0.054949,0,2924500.0,537.93,1,4.2856,-9.5949,0,0,871.2297628547905,668145971.2281051,4.000099367885312
168,326.0,0.11023,4080.9,-0.051788,0,2924400.0,537.93,1,4.3113,-9.5692,0,0,871.2346908549653,668024942.6160421,3.999791974051426
169,325.99,0.11044,4088.5,-0.04651,0,2924300.0,537.93,1,4.337,-9.5435,0,0,871.2396200195599,667862966.855016,3.9994844553806748
170,325.98,0.11065,4096.1,-0.041232,0,2924200.0,537.93,1,4.3626,-9.5179,0,0,871.2445503491125,667701010.4693038,3.9991768118142152
171,325.98,0.11087,4103.7,-0.035954,0,2924100.0,537.93,1,4.3883,-9.4922,0,0,871.2494818441656,667580006.5157871,3.9988690432928102
172,325.97,0.11109,4111.6,-0.021499,0,2924000.0,537.93,1,4.4139,-9.4665,0,0,871.2544145052608,667418080.2086385,3.9985611497570765
173,325.96,0.11131,4119.5,-0.0063249,0,2923900.0,537.93,1,4.4396,-9.4409,0,0,871.2593483329388,667256173.2847964,3.998253131148081
174,325.95,0.11153,4127.4,0.0088495,0,2923800.0,537.93,1,4.4653,-9.4152,0,0,871.2642833277425,667094285.7466745,3.9979449874063318
175,325.94,0.11175,4135.3,0.02375,0,2923700.0,537.93,1,4.4909,-9.3896,0,0,871.2692194902119,666932417.5968186,3.997636718472787
176,325.94,0.11198,4143.6,0.033044,0,2923600.0,537.92,1,4.5166,-9.3639,0,0,871.2091413029892,667246085.906925,3.999164197309235
177,325.93,0.11221,4151.8,0.042338,0,2923500.0,537.92,1,4.5423,-9.3382,0,0,871.2140757103286,667084180.3255135,3.99885612732413
178,325.92,0.11244,4160.1,0.051631,0,2923400.0,537.92,1,4.5679,-9.3126,0,0,871.2190112853266,666922294.1276127,3.9985479321253456
179,325.91,0.11267,4168.4,0.05823,0,2923300.0,537.92,1,4.5936,-9.2869,0,0,871.2239480285255,666760427.3157226,3.9982396116535144
180,325.9,0.11292,4177.0,0.051277,0,2923200.0,537.92,1,4.6192,-9.2612,0,0,871.2288859404671,666598579.8923173,3.997931165849418
181,325.89,0.11316,4185.7,0.044323,0,2923100.0,537.92,1,4.6449,-9.2356,0,0,871.2338250216962,666436751.8598337,3.997622594653561
182,325.89,0.1134,4194.3,0.037369,0,2923000.0,537.92,1,4.6706,-9.2099,0,0,871.2387652727562,666315809.9969281,3.9973138980064546
183,325.88,0.11365,4203.1,0.031517,0,2922800.0,537.92,1,4.6962,-9.1843,0,0,871.2486492865498,666033084.2363378,3.9966961281206648
184,325.87,0.1139,4212.1,0.02843,0,2922700.0,537.92,1,4.7219,-9.1586,0,0,871.2535930503705,665871316.4429114,3.996387054763216
185,325.86,0.11415,4221.2,0.025343,0,2922600.0,537.92,1,4.7476,-9.1329,0,0,871.258537986202,665709568.0540503,3.996077855716533
