,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,G
36,202.89,321770000.0,1.7,12915.0,1.7969e-12,0,1499900.0,-1.0154e-14,571.71,1,0.036,0.036,0.4,0,0.7577617356292932
37,202.89,321770000.0,1.7,12915.0,2.7039e-12,0,1499900.0,-9.3023e-15,571.71,1,0.037,0.037,0.4,0,0.7577617356292932
38,202.89,321770000.0,1.7,12915.0,3.6108e-12,0,1499900.0,-8.4509e-15,571.71,1,0.038,0.038,0.4,0,0.7577617356292932
39,202.89,321770000.0,1.7,12915.0,4.5178e-12,0,1499900.0,-7.5996e-15,571.71,1,0.039,0.039,0.4,0,0.7577617356292932
40,202.89,321770000.0,1.7,12915.0,5.4247e-12,0,1499900.0,-6.7482e-15,571.71,1,0.04,0.04,0.4,0,0.7577617356292932
41,202.89,321770000.0,1.7,12915.0,6.3317e-12,0,1499900.0,-5.8968e-15,571.71,1,0.041,0.041,0.4,0,0.7577617356292932
42,202.89,321770000.0,1.7,12915.0,7.2386e-12,0,1499900.0,-5.0455e-15,571.71,1,0.042,0.042,0.4,0,0.7577617356292932
43,202.89,321770000.0,1.7,12915.0,8.1456e-12,0,1499900.0,-4.1941e-15,571.71,1,0.043,0.043,0.4,0,0.7577617356292932
44,202.89,321770000.0,1.7,12915.0,9.0525e-12,0,1499900.0,-3.3427e-15,571.71,1,0.044,0.044,0.4,0,0.7577617356292932
45,202.89,321770000.0,1.7,12915.0,9.9594e-12,0,1499900.0,-2.4914e-15,571.71,1,0.045,0.045,0.4,0,0.7577617356292932
46,202.89,321770000.0,1.7,12915.0,1.0866e-11,0,1499900.0,-1.64e-15,571.71,1,0.046,0.046,0.4,0,0.7577617356292932
47,202.89,321770000.0,1.7,12915.0,1.1773e-11,0,1499900.0,-7.8864e-16,571.71,1,0.047,0.047,0.4,0,0.7577617356292932
48,202.89,321770000.0,1.7,12915.0,1.268e-11,0,1499900.0,6.2727e-17,571.71,1,0.048,0.048,0.4,0,0.7577617356292932
49,202.89,321770000.0,1.7,12915.0,1.3587e-11,0,1499900.0,9.1409e-16,571.71,1,0.049,0.049,0.4,0,0.7577617356292932
50,202.89,321770000.0,1.7,12915.0,1.4494e-11,0,1499900.0,1.7655e-15,571.71,1,0.05,0.05,0.4,0,0.7577617356292932
51,202.89,321770000.0,1.7,12915.0,1.5401e-11,0,1499900.0,2.6168e-15,571.71,1,0.051,0.051,0.4,0,0.7577617356292932
52,202.89,321770000.0,1.7,12915.0,1.6511e-11,0,1499900.0,3.5154e-15,571.71,1,0.052,0.052,0.4,0,0.7577617356292932
53,202.89,321770000.0,1.7,12915.0,2.0239e-11,0,1499900.0,5.0241e-15,571.71,1,0.053,0.053,0.4,0,0.7577617356292932
54,202.89,321770000.0,1.7,12915.0,2.3967e-11,0,1499900.0,6.5327e-15,571.71,1,0.054,0.054,0.4,0,0.7577617356292932
55,202.89,321770000.0,1.7,12915.0,2.7696e-11,0,1499900.0,8.0413e-15,571.71,1,0.055,0.055,0.4,0,0.7577617356292932
56,202.89,321770000.0,1.7,12915.0,3.1424e-11,0,1499900.0,9.5499e-15,571.71,1,0.056,0.056,0.4,0,0.7577617356292932
57,202.89,321770000.0,1.7,12915.0,3.5152e-11,0,1499900.0,1.1059e-14,571.71,1,0.057,0.057,0.4,0,0.7577617356292932
58,202.89,321770000.0,1.7,12915.0,3.8881e-11,0,1499900.0,1.2567e-14,571.71,1,0.058,0.058,0.4,0,0.7577617356292932
59,202.89,321770000.0,1.7,12915.0,4.2609e-11,0,1499900.0,1.4076e-14,571.71,1,0.059,0.059,0.4,0,0.7577617356292932
60,202.89,321770000.0,1.7,12915.0,4.6337e-11,0,1499900.0,1.5584e-14,571.71,1,0.06,0.06,0.4,0,0.7577617356292932
61,202.89,321770000.0,1.7,12915.0,5.0066e-11,0,1499900.0,1.7093e-14,571.71,1,0.061,0.061,0.4,0,0.7577617356292932
62,202.89,321770000.0,1.7,12915.0,5.3794e-11,0,1499900.0,1.8602e-14,571.71,1,0.062,0.062,0.4,0,0.7577617356292932
63,202.89,321770000.0,1.7,12915.0,5.7522e-11,0,1499900.0,2.011e-14,571.71,1,0.063,0.063,0.4,0,0.7577617356292932
64,202.89,321770000.0,1.7,12915.0,6.1251e-11,0,1499900.0,2.1619e-14,571.71,1,0.064,0.064,0.4,0,0.7577617356292932
65,202.89,321770000.0,1.7,12915.0,6.4979e-11,0,1499900.0,2.3128e-14,571.71,1,0.065,0.065,0.4,0,0.7577617356292932
66,202.89,321770000.0,1.7,12915.0,6.8707e-11,0,1499900.0,2.4636e-14,571.71,1,0.066,0.066,0.4,0,0.7577617356292932
67,202.89,321770000.0,1.7,12915.0,7.2436e-11,0,1499900.0,2.6145e-14,571.71,1,0.067,0.067,0.4,0,0.7577617356292932
68,202.89,321770000.0,1.7,12915.0,7.6164e-11,0,1499900.0,2.7653e-14,571.71,1,0.068,0.068,0.4,0,0.7577617356292932
69,202.89,321770000.0,1.7,12915.0,7.9893e-11,0,1499900.0,2.9162e-14,571.71,1,0.069,0.069,0.4,0,0.7577617356292932
70,202.89,321770000.0,1.7,12915.0,8.3692e-11,0,1499900.0,3.0347e-14,571.71,1,0.07,0.07,0.4,0,0.7577617356292932
71,202.89,321770000.0,1.7,12915.0,8.7832e-11,0,1499900.0,3.1398e-14,571.71,1,0.071,0.071,0.4,0,0.7577617356292932
72,202.89,321770000.0,1.7,12915.0,9.1973e-11,0,1499900.0,3.245e-14,571.71,1,0.072,0.072,0.4,0,0.7577617356292932
73,202.89,321770000.0,1.7,12915.0,9.6114e-11,0,1499900.0,3.3502e-14,571.71,1,0.073,0.073,0.4,0,0.7577617356292932
