"Mach","Pressure","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.94252,7.4679e+05,1,0,0,0,0
0.94484,7.4513e+05,1,0.0061618,0.0061618,0,0
0.94716,7.4346e+05,1,0.012324,0.012324,0,0
0.94948,7.4179e+05,1,0.018485,0.018485,0,0
0.9518,7.4013e+05,1,0.024647,0.024647,0,0
0.95412,7.3846e+05,1,0.030809,0.030809,0,0
0.95642,7.3679e+05,1,0.036971,0.036971,0,0
0.95871,7.3513e+05,1,0.043133,0.043133,0,0
0.961,7.3347e+05,1,0.049294,0.049294,0,0
0.96329,7.3181e+05,1,0.055456,0.055456,0,0
0.96558,7.3015e+05,1,0.061618,0.061618,0,0
0.96787,7.2849e+05,1,0.06778,0.06778,0,0
0.97015,7.2683e+05,1,0.073942,0.073942,0,0
0.97244,7.2517e+05,1,0.080103,0.080103,0,0
0.97472,7.2351e+05,1,0.086265,0.086265,0,0
0.97698,7.2187e+05,1,0.092427,0.092427,0,0
0.97923,7.2023e+05,1,0.098589,0.098589,0,0
0.98149,7.1858e+05,1,0.10475,0.10475,0,0
0.98375,7.1694e+05,1,0.11091,0.11091,0,0
0.986,7.153e+05,1,0.11707,0.11707,0,0
0.98826,7.1366e+05,1,0.12324,0.12324,0,0
0.99051,7.1201e+05,1,0.1294,0.1294,0,0
0.99276,7.1037e+05,1,0.13556,0.13556,0,0
0.99499,7.0875e+05,1,0.14172,0.14172,0,0
0.99721,7.0713e+05,1,0.14788,0.14788,0,0
0.99943,7.055e+05,1,0.15405,0.15405,0,0
1.0017,7.0388e+05,1,0.16021,0.16021,0,0
1.0039,7.0225e+05,1,0.16637,0.16637,0,0
1.0061,7.0063e+05,1,0.17253,0.17253,0,0
1.0083,6.99e+05,1,0.17869,0.17869,0,0
1.0105,6.9738e+05,1,0.18485,0.18485,0,0
1.0127,6.9578e+05,1,0.19102,0.19102,0,0
1.0149,6.9418e+05,1,0.19718,0.19718,0,0
1.0171,6.9257e+05,1,0.20334,0.20334,0,0
1.0193,6.9097e+05,1,0.2095,0.2095,0,0
1.0215,6.8937e+05,1,0.21566,0.21566,0,0
1.0236,6.8776e+05,1,0.22182,0.22182,0,0
1.0258,6.8616e+05,1,0.22799,0.22799,0,0
1.028,6.8456e+05,1,0.23415,0.23415,0,0
1.0302,6.8298e+05,1,0.24031,0.24031,0,0
1.0323,6.8141e+05,1,0.24647,0.24647,0,0
1.0345,6.7983e+05,1,0.25263,0.25263,0,0
1.0366,6.7826e+05,1,0.2588,0.2588,0,0
