"Mach","Pressure","Temperature","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.18032,8.9505e+05,541.87,0.9901,1,0.0068845,0.0068845,0,0
0.18041,8.9504e+05,541.87,0.99009,1,0.0070074,0.0070074,0,0
0.1805,8.9503e+05,541.87,0.99008,1,0.0071303,0.0071303,0,0
0.18059,8.9502e+05,541.87,0.99007,1,0.0072533,0.0072533,0,0
0.18068,8.9501e+05,541.87,0.99006,1,0.0073762,0.0073762,0,0
0.18077,8.95e+05,541.87,0.99005,1,0.0074992,0.0074992,0,0
0.18086,8.9499e+05,541.87,0.99004,1,0.0076221,0.0076221,0,0
0.18095,8.9498e+05,541.87,0.99003,1,0.007745,0.007745,0,0
0.18105,8.9497e+05,541.87,0.99002,1,0.007868,0.007868,0,0
0.18115,8.9496e+05,541.87,0.99001,1,0.0079909,0.0079909,0,0
0.18125,8.9496e+05,541.87,0.98999,1,0.0081138,0.0081138,0,0
0.18135,8.9495e+05,541.87,0.98998,1,0.0082368,0.0082368,0,0
0.18144,8.9494e+05,541.87,0.98997,1,0.0083597,0.0083597,0,0
0.18155,8.9492e+05,541.87,0.98996,1,0.0084827,0.0084827,0,0
0.18166,8.9491e+05,541.87,0.98995,1,0.0086056,0.0086056,0,0
0.18177,8.949e+05,541.87,0.98994,1,0.0087285,0.0087285,0,0
0.18187,8.9489e+05,541.87,0.98992,1,0.0088515,0.0088515,0,0
0.18198,8.9488e+05,541.87,0.98991,1,0.0089744,0.0089744,0,0
0.18209,8.9487e+05,541.87,0.9899,1,0.0090973,0.0090973,0,0
0.18221,8.9486e+05,541.87,0.98989,1,0.0092203,0.0092203,0,0
0.18232,8.9485e+05,541.87,0.98988,1,0.0093432,0.0093432,0,0
0.18244,8.9484e+05,541.87,0.98986,1,0.0094661,0.0094661,0,0
0.18256,8.9482e+05,541.86,0.98985,1,0.0095891,0.0095891,0,0
0.18267,8.9481e+05,541.86,0.98984,1,0.009712,0.009712,0,0
0.1828,8.948e+05,541.86,0.98982,1,0.009835,0.009835,0,0
0.18292,8.9479e+05,541.86,0.98981,1,0.0099579,0.0099579,0,0
0.18305,8.9477e+05,541.86,0.98979,1,0.010081,0.010081,0,0
0.18318,8.9476e+05,541.86,0.98978,1,0.010204,0.010204,0,0
0.1833,8.9475e+05,541.86,0.98977,1,0.010327,0.010327,0,0
0.18343,8.9474e+05,541.86,0.98975,1,0.01045,0.01045,0,0
0.18356,8.9472e+05,541.86,0.98974,1,0.010573,0.010573,0,0
0.1837,8.9471e+05,541.86,0.98972,1,0.010696,0.010696,0,0
0.18383,8.9469e+05,541.86,0.98971,1,0.010818,0.010818,0,0
0.18397,8.9468e+05,541.86,0.98969,1,0.010941,0.010941,0,0
0.1841,8.9467e+05,541.86,0.98968,1,0.011064,0.011064,0,0
0.18424,8.9465e+05,541.86,0.98966,1,0.011187,0.011187,0,0
0.18439,8.9464e+05,541.86,0.98964,1,0.01131,0.01131,0,0
0.18453,8.9462e+05,541.86,0.98963,1,0.011433,0.011433,0,0
0.18468,8.9461e+05,541.86,0.98961,1,0.011556,0.011556,0,0
0.18482,8.9459e+05,541.86,0.9896,1,0.011679,0.011679,0,0
0.18497,8.9458e+05,541.86,0.98958,1,0.011802,0.011802,0,0
0.18512,8.9456e+05,541.86,0.98956,1,0.011925,0.011925,0,0
0.18527,8.9455e+05,541.86,0.98954,1,0.012048,0.012048,0,0
0.18543,8.9453e+05,541.86,0.98953,1,0.012171,0.012171,0,0
0.18558,8.9452e+05,541.86,0.98951,1,0.012294,0.012294,0,0
0.18574,8.945e+05,541.86,0.98949,1,0.012417,0.012417,0,0
0.18589,8.9448e+05,541.86,0.98947,1,0.01254,0.01254,0,0
0.18606,8.9447e+05,541.85,0.98945,1,0.012663,0.012663,0,0
0.18622,8.9445e+05,541.85,0.98944,1,0.012785,0.012785,0,0
0.18638,8.9443e+05,541.85,0.98942,1,0.012908,0.012908,0,0
0.18655,8.9442e+05,541.85,0.9894,1,0.013031,0.013031,0,0
0.18671,8.944e+05,541.85,0.98938,1,0.013154,0.013154,0,0
0.18688,8.9438e+05,541.85,0.98936,1,0.013277,0.013277,0,0
0.18705,8.9436e+05,541.85,0.98934,1,0.0134,0.0134,0,0
0.18722,8.9434e+05,541.85,0.98932,1,0.013523,0.013523,0,0
0.1874,8.9433e+05,541.85,0.9893,1,0.013646,0.013646,0,0
0.18757,8.9431e+05,541.85,0.98928,1,0.013769,0.013769,0,0
0.18774,8.9429e+05,541.85,0.98926,1,0.013892,0.013892,0,0
0.18792,8.9427e+05,541.85,0.98924,1,0.014015,0.014015,0,0
0.18811,8.9425e+05,541.85,0.98922,1,0.014138,0.014138,0,0
0.18829,8.9423e+05,541.85,0.9892,1,0.014261,0.014261,0,0
0.18847,8.9421e+05,541.85,0.98918,1,0.014384,0.014384,0,0
0.18866,8.942e+05,541.85,0.98915,1,0.014507,0.014507,0,0
0.18884,8.9418e+05,541.85,0.98913,1,0.01463,0.01463,0,0
0.18904,8.9416e+05,541.85,0.98911,1,0.014752,0.014752,0,0
0.18923,8.9414e+05,541.85,0.98909,1,0.014875,0.014875,0,0
0.18943,8.9411e+05,541.84,0.98906,1,0.014998,0.014998,0,0
0.18962,8.9409e+05,541.84,0.98904,1,0.015121,0.015121,0,0
0.18982,8.9407e+05,541.84,0.98902,1,0.015244,0.015244,0,0
0.19002,8.9405e+05,541.84,0.989,1,0.015367,0.015367,0,0
0.19023,8.9403e+05,541.84,0.98897,1,0.01549,0.01549,0,0
0.19043,8.9401e+05,541.84,0.98895,1,0.015613,0.015613,0,0
0.19064,8.9399e+05,541.84,0.98892,1,0.015736,0.015736,0,0
0.19085,8.9397e+05,541.84,0.9889,1,0.015859,0.015859,0,0
0.19105,8.9394e+05,541.84,0.98888,1,0.015982,0.015982,0,0
0.19127,8.9392e+05,541.84,0.98885,1,0.016105,0.016105,0,0
0.19148,8.939e+05,541.84,0.98882,1,0.016228,0.016228,0,0
0.1917,8.9387e+05,541.84,0.9888,1,0.016351,0.016351,0,0
0.19192,8.9385e+05,541.84,0.98877,1,0.016474,0.016474,0,0
0.19214,8.9383e+05,541.84,0.98875,1,0.016596,0.016596,0,0
0.19236,8.938e+05,541.84,0.98872,1,0.016719,0.016719,0,0
0.19258,8.9378e+05,541.83,0.98869,1,0.016842,0.016842,0,0
0.19281,8.9376e+05,541.83,0.98867,1,0.016965,0.016965,0,0
0.19304,8.9373e+05,541.83,0.98864,1,0.017088,0.017088,0,0
0.19327,8.9371e+05,541.83,0.98861,1,0.017211,0.017211,0,0
0.1935,8.9368e+05,541.83,0.98859,1,0.017334,0.017334,0,0
0.19373,8.9366e+05,541.83,0.98856,1,0.017457,0.017457,0,0
0.19397,8.9363e+05,541.83,0.98853,1,0.01758,0.01758,0,0
0.19421,8.936e+05,541.83,0.9885,1,0.017703,0.017703,0,0
0.19445,8.9358e+05,541.83,0.98847,1,0.017826,0.017826,0,0
0.19469,8.9355e+05,541.83,0.98844,1,0.017949,0.017949,0,0
0.19493,8.9353e+05,541.83,0.98841,1,0.018072,0.018072,0,0
0.19518,8.935e+05,541.83,0.98839,1,0.018195,0.018195,0,0
0.19543,8.9347e+05,541.83,0.98835,1,0.018318,0.018318,0,0
0.19568,8.9345e+05,541.83,0.98832,1,0.018441,0.018441,0,0
0.19593,8.9342e+05,541.82,0.98829,1,0.018563,0.018563,0,0
0.19618,8.9339e+05,541.82,0.98826,1,0.018686,0.018686,0,0
0.19643,8.9336e+05,541.82,0.98823,1,0.018809,0.018809,0,0
0.1967,8.9333e+05,541.82,0.9882,1,0.018932,0.018932,0,0
0.19696,8.9331e+05,541.82,0.98817,1,0.019055,0.019055,0,0
0.19723,8.9328e+05,541.82,0.98814,1,0.019178,0.019178,0,0
0.19749,8.9325e+05,541.82,0.98811,1,0.019301,0.019301,0,0
0.19776,8.9322e+05,541.82,0.98807,1,0.019424,0.019424,0,0
0.19802,8.9319e+05,541.82,0.98804,1,0.019547,0.019547,0,0
0.1983,8.9316e+05,541.82,0.98801,1,0.01967,0.01967,0,0
0.19857,8.9313e+05,541.82,0.98797,1,0.019793,0.019793,0,0
0.19885,8.931e+05,541.82,0.98794,1,0.019916,0.019916,0,0
0.19913,8.9307e+05,541.81,0.98791,1,0.020039,0.020039,0,0
