,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,G,Z
0,202.89,316270000.0,1.7,16309,5.6706e-11,0,1499900.0,4.9016e-14,569.36,1,0.0,0.0,0.4,0,1.375592832261582,0.35921647817410174
1,202.89,316270000.0,1.7,16309,5.5589e-11,0,1499900.0,4.8236e-14,569.36,1,0.001,0.001,0.4,0,1.375592832261582,0.35921647817410174
2,202.89,316270000.0,1.7,16309,5.4472e-11,0,1499900.0,4.7457e-14,569.36,1,0.002,0.002,0.4,0,1.375592832261582,0.35921647817410174
3,202.89,316270000.0,1.7,16309,5.3355e-11,0,1499900.0,4.6677e-14,569.36,1,0.003,0.003,0.4,0,1.375592832261582,0.35921647817410174
4,202.89,316270000.0,1.7,16309,5.2238e-11,0,1499900.0,4.5897e-14,569.36,1,0.004,0.004,0.4,0,1.375592832261582,0.35921647817410174
5,202.89,316270000.0,1.7,16309,5.1121e-11,0,1499900.0,4.5118e-14,569.36,1,0.005,0.005,0.4,0,1.375592832261582,0.35921647817410174
6,202.89,316270000.0,1.7,16309,5.0004e-11,0,1499900.0,4.4338e-14,569.36,1,0.006,0.006,0.4,0,1.375592832261582,0.35921647817410174
7,202.89,316270000.0,1.7,16309,4.8887e-11,0,1499900.0,4.3558e-14,569.36,1,0.007,0.007,0.4,0,1.375592832261582,0.35921647817410174
8,202.89,316270000.0,1.7,16309,4.777e-11,0,1499900.0,4.2779e-14,569.36,1,0.008,0.008,0.4,0,1.375592832261582,0.35921647817410174
9,202.89,316270000.0,1.7,16309,4.6653e-11,0,1499900.0,4.1999e-14,569.36,1,0.009,0.009,0.4,0,1.375592832261582,0.35921647817410174
10,202.89,316270000.0,1.7,16309,4.5536e-11,0,1499900.0,4.1219e-14,569.36,1,0.01,0.01,0.4,0,1.375592832261582,0.35921647817410174
11,202.89,316270000.0,1.7,16309,4.4419e-11,0,1499900.0,4.044e-14,569.36,1,0.011,0.011,0.4,0,1.375592832261582,0.35921647817410174
12,202.89,316270000.0,1.7,16309,4.3302e-11,0,1499900.0,3.966e-14,569.36,1,0.012,0.012,0.4,0,1.375592832261582,0.35921647817410174
13,202.89,316270000.0,1.7,16309,4.2185e-11,0,1499900.0,3.888e-14,569.36,1,0.013,0.013,0.4,0,1.375592832261582,0.35921647817410174
