,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,G,Z
763,114.69,178400000.0,1.4358,11123,-3174.1,0,1224400.0,-0.42029,561.22,1,0.763,0.763,0.4,0,0.3610842064663432,0.5381435780077132
764,114.68,178400000.0,1.4358,11122,-3174.1,0,1224400.0,-0.4203,561.22,1,0.764,0.764,0.4,0,0.3610842064663432,0.5381435780077132
765,114.68,178400000.0,1.4358,11122,-3174.2,0,1224400.0,-0.42031,561.22,1,0.765,0.765,0.4,0,0.3610842064663432,0.5381435780077132
766,114.68,178390000.0,1.4358,11122,-3174.2,0,1224400.0,-0.42032,561.22,1,0.766,0.766,0.4,0,0.3610842064663432,0.5381435780077132
767,114.68,178390000.0,1.4358,11122,-3174.3,0,1224400.0,-0.42033,561.22,1,0.767,0.767,0.4,0,0.3610842064663432,0.5381435780077132
768,114.68,178390000.0,1.4357,11122,-3174.3,0,1224400.0,-0.42034,561.22,1,0.768,0.768,0.4,0,0.3610842064663432,0.5381435780077132
769,114.68,178390000.0,1.4357,11122,-3174.4,0,1224400.0,-0.42036,561.22,1,0.769,0.769,0.4,0,0.3610842064663432,0.5381435780077132
770,114.68,178380000.0,1.4357,11122,-3174.4,0,1224300.0,-0.42037,561.22,1,0.77,0.77,0.4,0,0.3612218809332306,0.538214843627481
771,114.67,178380000.0,1.4357,11122,-3174.5,0,1224300.0,-0.42038,561.22,1,0.771,0.771,0.4,0,0.3612218809332306,0.538214843627481
772,114.67,178380000.0,1.4357,11121,-3174.5,0,1224300.0,-0.42039,561.22,1,0.772,0.772,0.4,0,0.3612218809332306,0.538214843627481
773,114.67,178380000.0,1.4357,11121,-3174.6,0,1224300.0,-0.4204,561.22,1,0.773,0.773,0.4,0,0.3612218809332306,0.538214843627481
774,114.67,178370000.0,1.4357,11121,-3174.6,0,1224300.0,-0.42041,561.22,1,0.774,0.774,0.4,0,0.3612218809332306,0.538214843627481
775,114.67,178370000.0,1.4357,11121,-3174.7,0,1224300.0,-0.42042,561.22,1,0.775,0.775,0.4,0,0.3612218809332306,0.538214843627481
776,114.67,178370000.0,1.4357,11121,-3174.7,0,1224300.0,-0.42043,561.22,1,0.776,0.776,0.4,0,0.3612218809332306,0.538214843627481
777,114.66,178370000.0,1.4357,11121,-3174.8,0,1224300.0,-0.42045,561.22,1,0.777,0.777,0.4,0,0.3612218809332306,0.538214843627481
778,114.66,178360000.0,1.4357,11121,-3174.9,0,1224300.0,-0.42047,561.22,1,0.778,0.778,0.4,0,0.3612218809332306,0.538214843627481
779,114.66,178360000.0,1.4357,11120,-3175.0,0,1224300.0,-0.42049,561.22,1,0.779,0.779,0.4,0,0.3612218809332306,0.538214843627481
780,114.65,178350000.0,1.4356,11120,-3175.1,0,1224200.0,-0.42051,561.22,1,0.78,0.78,0.4,0,0.3613595260290683,0.5382860849897395
