"Mach","Pressure","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.61937,77196,0.77196,1,0.071303,0.071303,0,0
0.62179,77045,0.77045,1,0.071426,0.071426,0,0
0.62421,76895,0.76895,1,0.071549,0.071549,0,0
0.62663,76744,0.76744,1,0.071672,0.071672,0,0
0.62905,76593,0.76593,1,0.071795,0.071795,0,0
0.63151,76439,0.76439,1,0.071918,0.071918,0,0
0.63397,76284,0.76284,1,0.072041,0.072041,0,0
0.63643,76130,0.7613,1,0.072164,0.072164,0,0
0.63889,75976,0.75976,1,0.072287,0.072287,0,0
0.64135,75821,0.75821,1,0.07241,0.07241,0,0
0.64384,75664,0.75664,1,0.072533,0.072533,0,0
0.64636,75505,0.75505,1,0.072656,0.072656,0,0
0.64887,75346,0.75346,1,0.072779,0.072779,0,0
0.65139,75186,0.75186,1,0.072902,0.072902,0,0
0.65391,75027,0.75027,1,0.073025,0.073025,0,0
0.65642,74868,0.74868,1,0.073148,0.073148,0,0
0.65898,74705,0.74705,1,0.07327,0.07327,0,0
0.66154,74542,0.74542,1,0.073393,0.073393,0,0
0.66411,74379,0.74379,1,0.073516,0.073516,0,0
0.66667,74216,0.74216,1,0.073639,0.073639,0,0
0.66924,74053,0.74053,1,0.073762,0.073762,0,0
0.67181,73889,0.73889,1,0.073885,0.073885,0,0
0.67443,73722,0.73722,1,0.074008,0.074008,0,0
0.67705,73554,0.73554,1,0.074131,0.074131,0,0
0.67967,73387,0.73387,1,0.074254,0.074254,0,0
0.68228,73219,0.73219,1,0.074377,0.074377,0,0
0.6849,73052,0.73052,1,0.0745,0.0745,0,0
0.68754,72882,0.72882,1,0.074623,0.074623,0,0
0.6902,72712,0.72712,1,0.074746,0.074746,0,0
0.69286,72541,0.72541,1,0.074869,0.074869,0,0
0.69552,72370,0.7237,1,0.074992,0.074992,0,0
0.69818,72200,0.722,1,0.075115,0.075115,0,0
0.70084,72029,0.72029,1,0.075237,0.075237,0,0
0.70355,71854,0.71854,1,0.07536,0.07536,0,0
0.70625,71680,0.7168,1,0.075483,0.075483,0,0
0.70896,71505,0.71505,1,0.075606,0.075606,0,0
0.71166,71330,0.7133,1,0.075729,0.075729,0,0
0.71437,71155,0.71155,1,0.075852,0.075852,0,0
0.71709,70979,0.70979,1,0.075975,0.075975,0,0
0.71986,70800,0.708,1,0.076098,0.076098,0,0
0.72262,70621,0.70621,1,0.076221,0.076221,0,0
0.72539,70442,0.70442,1,0.076344,0.076344,0,0
0.72816,70262,0.70262,1,0.076467,0.076467,0,0
0.73092,70083,0.70083,1,0.07659,0.07659,0,0
0.73371,69902,0.69902,1,0.076713,0.076713,0,0
0.73651,69720,0.6972,1,0.076836,0.076836,0,0
0.73931,69539,0.69539,1,0.076959,0.076959,0,0
0.74211,69357,0.69357,1,0.077082,0.077082,0,0
0.74491,69175,0.69175,1,0.077204,0.077204,0,0
0.74771,68993,0.68993,1,0.077327,0.077327,0,0
0.75056,68807,0.68807,1,0.07745,0.07745,0,0
0.75343,68621,0.68621,1,0.077573,0.077573,0,0
0.75629,68435,0.68435,1,0.077696,0.077696,0,0
0.75915,68248,0.68248,1,0.077819,0.077819,0,0
0.76202,68062,0.68062,1,0.077942,0.077942,0,0
0.76489,67875,0.67875,1,0.078065,0.078065,0,0
0.76778,67687,0.67687,1,0.078188,0.078188,0,0
0.77067,67499,0.67499,1,0.078311,0.078311,0,0
0.77356,67310,0.6731,1,0.078434,0.078434,0,0
0.77646,67122,0.67122,1,0.078557,0.078557,0,0
0.77935,66933,0.66933,1,0.07868,0.07868,0,0
0.78228,66743,0.66743,1,0.078803,0.078803,0,0
0.78524,66549,0.66549,1,0.078926,0.078926,0,0
0.78819,66356,0.66356,1,0.079048,0.079048,0,0
0.79115,66163,0.66163,1,0.079171,0.079171,0,0
0.79411,65970,0.6597,1,0.079294,0.079294,0,0
0.79707,65777,0.65777,1,0.079417,0.079417,0,0
0.80006,65583,0.65583,1,0.07954,0.07954,0,0
0.80306,65388,0.65388,1,0.079663,0.079663,0,0
0.80605,65193,0.65193,1,0.079786,0.079786,0,0
0.80905,64998,0.64998,1,0.079909,0.079909,0,0
0.81204,64803,0.64803,1,0.080032,0.080032,0,0
0.81505,64607,0.64607,1,0.080155,0.080155,0,0
0.81811,64408,0.64408,1,0.080278,0.080278,0,0
0.82116,64209,0.64209,1,0.080401,0.080401,0,0
0.82421,64011,0.64011,1,0.080524,0.080524,0,0
0.82727,63812,0.63812,1,0.080647,0.080647,0,0
0.83032,63613,0.63613,1,0.08077,0.08077,0,0
0.83339,63414,0.63414,1,0.080893,0.080893,0,0
0.83646,63215,0.63215,1,0.081015,0.081015,0,0
0.83953,63015,0.63015,1,0.081138,0.081138,0,0
0.8426,62816,0.62816,1,0.081261,0.081261,0,0
0.84567,62616,0.62616,1,0.081384,0.081384,0,0
0.84875,62416,0.62416,1,0.081507,0.081507,0,0
0.85187,62214,0.62214,1,0.08163,0.08163,0,0
0.85501,62011,0.62011,1,0.081753,0.081753,0,0
0.85814,61808,0.61808,1,0.081876,0.081876,0,0
0.86128,61605,0.61605,1,0.081999,0.081999,0,0
0.86441,61402,0.61402,1,0.082122,0.082122,0,0
0.86755,61199,0.61199,1,0.082245,0.082245,0,0
0.87073,60994,0.60994,1,0.082368,0.082368,0,0
0.8739,60789,0.60789,1,0.082491,0.082491,0,0
0.87708,60584,0.60584,1,0.082614,0.082614,0,0
0.88025,60379,0.60379,1,0.082737,0.082737,0,0
0.88343,60175,0.60175,1,0.08286,0.08286,0,0
0.88662,59969,0.59969,1,0.082982,0.082982,0,0
0.88983,59763,0.59763,1,0.083105,0.083105,0,0
0.89304,59556,0.59556,1,0.083228,0.083228,0,0
0.89625,59350,0.5935,1,0.083351,0.083351,0,0
0.89947,59144,0.59144,1,0.083474,0.083474,0,0
0.90268,58938,0.58938,1,0.083597,0.083597,0,0
0.90592,58730,0.5873,1,0.08372,0.08372,0,0
0.90917,58522,0.58522,1,0.083843,0.083843,0,0
0.91243,58315,0.58315,1,0.083966,0.083966,0,0
0.91568,58107,0.58107,1,0.084089,0.084089,0,0
0.91893,57899,0.57899,1,0.084212,0.084212,0,0
0.92219,57692,0.57692,1,0.084335,0.084335,0,0
0.92548,57482,0.57482,1,0.084458,0.084458,0,0
0.92877,57273,0.57273,1,0.084581,0.084581,0,0
0.93206,57064,0.57064,1,0.084704,0.084704,0,0
0.93535,56855,0.56855,1,0.084827,0.084827,0,0
0.93864,56646,0.56646,1,0.084949,0.084949,0,0
0.94196,56437,0.56437,1,0.085072,0.085072,0,0
0.94529,56227,0.56227,1,0.085195,0.085195,0,0
0.94862,56016,0.56016,1,0.085318,0.085318,0,0
0.95195,55806,0.55806,1,0.085441,0.085441,0,0
0.95529,55596,0.55596,1,0.085564,0.085564,0,0
0.95862,55386,0.55386,1,0.085687,0.085687,0,0
0.962,55175,0.55175,1,0.08581,0.08581,0,0
0.96539,54963,0.54963,1,0.085933,0.085933,0,0
0.96877,54751,0.54751,1,0.086056,0.086056,0,0
0.97216,54539,0.54539,1,0.086179,0.086179,0,0
0.97554,54327,0.54327,1,0.086302,0.086302,0,0
0.97893,54115,0.54115,1,0.086425,0.086425,0,0
0.98234,53905,0.53905,1,0.086548,0.086548,0,0
0.98574,53694,0.53694,1,0.086671,0.086671,0,0
0.98914,53483,0.53483,1,0.086794,0.086794,0,0
0.99254,53273,0.53273,1,0.086916,0.086916,0,0
0.99594,53062,0.53062,1,0.087039,0.087039,0,0
0.99935,52852,0.52852,1,0.087162,0.087162,0,0
1.0028,52642,0.52642,1,0.087285,0.087285,0,0
1.0062,52433,0.52433,1,0.087408,0.087408,0,0
1.0096,52223,0.52223,1,0.087531,0.087531,0,0
1.013,52013,0.52013,1,0.087654,0.087654,0,0
1.0164,51803,0.51803,1,0.087777,0.087777,0,0
1.0199,51593,0.51593,1,0.0879,0.0879,0,0
1.0233,51382,0.51382,1,0.088023,0.088023,0,0
1.0268,51171,0.51171,1,0.088146,0.088146,0,0
1.0303,50961,0.50961,1,0.088269,0.088269,0,0
1.0337,50750,0.5075,1,0.088392,0.088392,0,0
1.0372,50540,0.5054,1,0.088515,0.088515,0,0
1.0407,50331,0.50331,1,0.088638,0.088638,0,0
1.0442,50122,0.50122,1,0.088761,0.088761,0,0
1.0476,49913,0.49913,1,0.088883,0.088883,0,0
1.0511,49703,0.49703,1,0.089006,0.089006,0,0
1.0546,49494,0.49494,1,0.089129,0.089129,0,0
1.0581,49285,0.49285,1,0.089252,0.089252,0,0
1.0616,49075,0.49075,1,0.089375,0.089375,0,0
1.0652,48866,0.48866,1,0.089498,0.089498,0,0
1.0687,48656,0.48656,1,0.089621,0.089621,0,0
1.0722,48446,0.48446,1,0.089744,0.089744,0,0
1.0758,48237,0.48237,1,0.089867,0.089867,0,0
