"Mach","Pressure","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.97154,2.2423e+06,528.65,1,0,0,0,0
0.97461,2.2398e+06,528.59,1,0.011782,0.011782,0,0
0.97767,2.2373e+06,528.54,1,0.023564,0.023564,0,0
0.98074,2.2348e+06,528.48,1,0.035346,0.035346,0,0
0.9838,2.2324e+06,528.42,1,0.047128,0.047128,0,0
0.98687,2.2299e+06,528.36,1,0.05891,0.05891,0,0
0.98997,2.2274e+06,528.31,1,0.070692,0.070692,0,0
0.99404,2.2241e+06,528.23,1,0.082474,0.082474,0,0
0.99811,2.2209e+06,528.15,1,0.094256,0.094256,0,0
1.0022,2.2176e+06,528.07,1,0.10604,0.10604,0,0
1.0063,2.2144e+06,527.99,1,0.11782,0.11782,0,0
1.0103,2.2111e+06,527.91,1,0.1296,0.1296,0,0
1.0144,2.2079e+06,527.83,1,0.14138,0.14138,0,0
1.0185,2.2047e+06,527.76,1,0.15317,0.15317,0,0
1.0225,2.2014e+06,527.68,1,0.16495,0.16495,0,0
1.0262,2.1985e+06,527.61,1,0.17673,0.17673,0,0
1.0295,2.1959e+06,527.54,1,0.18851,0.18851,0,0
1.0328,2.1932e+06,527.47,1,0.20029,0.20029,0,0
1.0362,2.1905e+06,527.4,1,0.21208,0.21208,0,0
1.0395,2.1879e+06,527.34,1,0.22386,0.22386,0,0
1.0429,2.1852e+06,527.27,1,0.23564,0.23564,0,0
1.0462,2.1825e+06,527.2,1,0.24742,0.24742,0,0
1.0496,2.1799e+06,527.14,1,0.2592,0.2592,0,0
1.0529,2.1772e+06,527.07,1,0.27099,0.27099,0,0
1.0561,2.1746e+06,527,1,0.28277,0.28277,0,0
1.0593,2.172e+06,526.93,1,0.29455,0.29455,0,0
1.0625,2.1694e+06,526.87,1,0.30633,0.30633,0,0
1.0658,2.1668e+06,526.8,1,0.31811,0.31811,0,0
1.069,2.1642e+06,526.73,1,0.3299,0.3299,0,0
1.0722,2.1616e+06,526.66,1,0.34168,0.34168,0,0
1.0754,2.159e+06,526.6,1,0.35346,0.35346,0,0
1.0786,2.1564e+06,526.53,1,0.36524,0.36524,0,0
1.0821,2.1536e+06,526.45,1,0.37702,0.37702,0,0
1.0856,2.1508e+06,526.38,1,0.38881,0.38881,0,0
1.0891,2.148e+06,526.3,1,0.40059,0.40059,0,0
1.0926,2.1452e+06,526.23,1,0.41237,0.41237,0,0
1.0962,2.1423e+06,526.15,1,0.42415,0.42415,0,0
1.0997,2.1395e+06,526.07,1,0.43593,0.43593,0,0
1.1032,2.1367e+06,526,1,0.44772,0.44772,0,0
1.1068,2.1339e+06,525.92,1,0.4595,0.4595,0,0
1.1101,2.1311e+06,525.85,1,0.47128,0.47128,0,0
1.1132,2.1286e+06,525.78,1,0.48306,0.48306,0,0
1.1163,2.1261e+06,525.71,1,0.49484,0.49484,0,0
1.1194,2.1236e+06,525.64,1,0.50663,0.50663,0,0
1.1225,2.1211e+06,525.57,1,0.51841,0.51841,0,0
1.1256,2.1186e+06,525.5,1,0.53019,0.53019,0,0
1.1287,2.1161e+06,525.43,1,0.54197,0.54197,0,0
1.1318,2.1136e+06,525.36,1,0.55375,0.55375,0,0
1.1349,2.1111e+06,525.29,1,0.56554,0.56554,0,0
1.1382,2.1085e+06,525.21,1,0.57732,0.57732,0,0
1.1414,2.1058e+06,525.14,1,0.5891,0.5891,0,0
1.1447,2.1032e+06,525.06,1,0.60088,0.60088,0,0
1.148,2.1005e+06,524.98,1,0.61266,0.61266,0,0
1.1512,2.0979e+06,524.91,1,0.62445,0.62445,0,0
1.1545,2.0952e+06,524.83,1,0.63623,0.63623,0,0
1.1578,2.0926e+06,524.75,1,0.64801,0.64801,0,0
1.1611,2.0899e+06,524.68,1,0.65979,0.65979,0,0
1.1642,2.0874e+06,524.6,1,0.67157,0.67157,0,0
1.1671,2.085e+06,524.53,1,0.68336,0.68336,0,0
1.1701,2.0826e+06,524.46,1,0.69514,0.69514,0,0
1.1731,2.0801e+06,524.39,1,0.70692,0.70692,0,0
1.176,2.0777e+06,524.32,1,0.7187,0.7187,0,0
1.179,2.0753e+06,524.25,1,0.73048,0.73048,0,0
1.1819,2.0729e+06,524.17,1,0.74227,0.74227,0,0
1.1849,2.0705e+06,524.1,1,0.75405,0.75405,0,0
1.1879,2.0681e+06,524.03,1,0.76583,0.76583,0,0
1.1905,2.066e+06,523.97,1,0.77761,0.77761,0,0
1.1932,2.0638e+06,523.9,1,0.78939,0.78939,0,0
1.1958,2.0616e+06,523.83,1,0.80118,0.80118,0,0
1.1985,2.0595e+06,523.77,1,0.81296,0.81296,0,0
1.2011,2.0573e+06,523.7,1,0.82474,0.82474,0,0
