,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,G,Z,s
0,138.4,182700000.0,1.7,10517.0,-3.6168e-11,0,859370.0,4.6612e-15,621.72,1,0.0,0.0,0.25,0,-0.21376986028164868,0.44034971597848993,562.1065169106096
1,138.4,182700000.0,1.7,10517.0,-3.2509e-11,0,859370.0,4.1419e-15,621.72,1,0.001,0.001,0.25,0,-0.21376986028164868,0.44034971597848993,562.1065169106096
2,138.4,182700000.0,1.7,10517.0,-2.8849e-11,0,859370.0,3.6227e-15,621.72,1,0.002,0.002,0.25,0,-0.21376986028164868,0.44034971597848993,562.1065169106096
3,138.4,182700000.0,1.7,10517.0,-2.519e-11,0,859370.0,3.1034e-15,621.72,1,0.003,0.003,0.25,0,-0.21376986028164868,0.44034971597848993,562.1065169106096
4,138.4,182700000.0,1.7,10517.0,-2.153e-11,0,859370.0,2.5841e-15,621.72,1,0.004,0.004,0.25,0,-0.21376986028164868,0.44034971597848993,562.1065169106096
5,138.4,182700000.0,1.7,10517.0,-1.787e-11,0,859370.0,2.0649e-15,621.72,1,0.005,0.005,0.25,0,-0.21376986028164868,0.44034971597848993,562.1065169106096
6,138.4,182700000.0,1.7,10517.0,-1.4211e-11,0,859370.0,1.5456e-15,621.72,1,0.006,0.006,0.25,0,-0.21376986028164868,0.44034971597848993,562.1065169106096
7,138.4,182700000.0,1.7,10517.0,-1.0551e-11,0,859370.0,1.0263e-15,621.72,1,0.007,0.007,0.25,0,-0.21376986028164868,0.44034971597848993,562.1065169106096
8,138.4,182700000.0,1.7,10517.0,-6.8918e-12,0,859370.0,5.0707e-16,621.72,1,0.008,0.008,0.25,0,-0.21376986028164868,0.44034971597848993,562.1065169106096
9,138.4,182700000.0,1.7,10517.0,-3.2323e-12,0,859370.0,-1.2201e-17,621.72,1,0.009,0.009,0.25,0,-0.21376986028164868,0.44034971597848993,562.1065169106096
10,138.4,182700000.0,1.7,10517.0,4.2725e-13,0,859370.0,-5.3147e-16,621.72,1,0.01,0.01,0.25,0,-0.21376986028164868,0.44034971597848993,562.1065169106096
11,138.4,182700000.0,1.7,10517.0,4.0868e-12,0,859370.0,-1.0507e-15,621.72,1,0.011,0.011,0.25,0,-0.21376986028164868,0.44034971597848993,562.1065169106096
12,138.4,182700000.0,1.7,10517.0,7.7463e-12,0,859370.0,-1.57e-15,621.72,1,0.012,0.012,0.25,0,-0.21376986028164868,0.44034971597848993,562.1065169106096
