"Iteration","CLift","CDrag","CSideForce","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
           0, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.47241349e+00, 3.30479137e+00, 2.24228805e+00, 6.94895058e+00, 0.00000000e+00, 1.0000000000, 0.0100000000, 0.0007925424
           1, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.47241407e+00, 3.30437869e+00, 2.24161385e+00, 6.94894985e+00, 0.00000000e+00, 1.0000000000, 0.0100000000, 0.0015863663
           2, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.47241467e+00, 3.30396742e+00, 2.24094200e+00, 6.94894916e+00, 0.00000000e+00, 1.0000000000, 0.0100000000, 0.0023846625
           3, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.47241529e+00, 3.30355754e+00, 2.24027252e+00, 6.94894849e+00, 0.00000000e+00, 1.0000000000, 0.0100000000, 0.0031824775
           4, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.47241594e+00, 3.30314905e+00, 2.23960539e+00, 6.94894786e+00, 0.00000000e+00, 1.0000000000, 0.0100000000, 0.0039683046
           5, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.47241662e+00, 3.30274194e+00, 2.23894059e+00, 6.94894725e+00, 0.00000000e+00, 1.0000000000, 0.0100000000, 0.0047638675
           6, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.47241731e+00, 3.30233622e+00, 2.23827669e+00, 6.94894668e+00, 0.00000000e+00, 1.0000000000, 0.0100000000, 0.0055626685
           7, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.47241803e+00, 3.30193186e+00, 2.23761652e+00, 6.94894613e+00, 0.00000000e+00, 1.0000000000, 0.0100000000, 0.0063585708
           8, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.47241877e+00, 3.30152886e+00, 2.23695866e+00, 6.94894562e+00, 0.00000000e+00, 1.0000000000, 0.0100000000, 0.0071575350
           9, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.47241954e+00, 3.30112721e+00, 2.23630312e+00, 6.94894514e+00, 0.00000000e+00, 1.0000000000, 0.0100000000, 0.0079518723
