"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"C<sub>p</sub>"	"Mach"
0	8.752535211749343e-03	2.087378954630404e-01	1.619221689874290e+02	1.099214441576251e+04	-7.060319682529436e-03	4.766021044090939e+07	8.199791794026536e+05	6.499983835279058e+02	-5.579364370627609e-05	1.699828238808717e+00	
1	9.878920421579699e-01	6.490762988935643e-02	1.611803482331534e+02	1.092927822354133e+04	-3.361321415386023e+01	4.742840073292501e+07	8.185949424643131e+05	6.499067349407701e+02	-3.765179174672550e-03	1.691471519264000e+00	
2	8.735877593795363e-03	9.912413198062923e-01	1.619221572206096e+02	1.099214265540153e+04	7.202454824382779e-03	4.766020645410372e+07	8.199791518116469e+05	6.499983813362721e+02	-5.586758024001149e-05	1.699828012781854e+00	
3	4.201342122620277e-01	5.840250989759460e-01	1.619313647480934e+02	1.099346798949670e+04	2.783383624926618e-13	4.766328912073649e+07	8.200000000000003e+05	6.500000000000000e+02	9.358859709783290e-16	1.700000000000474e+00	
4	4.366405372502142e-01	5.722713747350280e-01	1.619313647480934e+02	1.099346798949670e+04	3.117826399773504e-16	4.766328912073649e+07	8.200000000000003e+05	6.500000000000000e+02	9.358859709783290e-16	1.700000000000474e+00	
5	4.429473089205138e-01	5.873817088043708e-01	1.619313647480934e+02	1.099346798949670e+04	6.540176579925254e-16	4.766328912073649e+07	8.200000000000003e+05	6.500000000000000e+02	9.358859709783290e-16	1.700000000000474e+00	
6	4.555283178780878e-01	5.726874718962656e-01	1.619313647480934e+02	1.099346798949670e+04	1.621956634628378e-13	4.766328912073649e+07	8.200000000000003e+05	6.500000000000000e+02	9.358859709783290e-16	1.700000000000474e+00	
7	4.633365386905710e-01	5.892550865490442e-01	1.619313647480934e+02	1.099346798949670e+04	3.207965511709726e-13	4.766328912073649e+07	8.200000000000003e+05	6.500000000000000e+02	9.358859709783290e-16	1.700000000000474e+00	
8	4.798881326288815e-01	5.924128831146420e-01	1.619313647480934e+02	1.099346798949670e+04	3.575428786226815e-16	4.766328912073649e+07	8.200000000000003e+05	6.500000000000000e+02	9.358859709783290e-16	1.700000000000474e+00	
9	4.794609296087470e-01	5.746988090736580e-01	1.619313647480934e+02	1.099346798949670e+04	5.956218278840854e-13	4.766328912073649e+07	8.200000000000003e+05	6.500000000000000e+02	9.358859709783290e-16	1.700000000000474e+00	
10	4.964285292168913e-01	5.886211009992659e-01	1.619313647480934e+02	1.099346798949670e+04	-1.494449975410594e-13	4.766328912073649e+07	8.200000000000003e+05	6.500000000000000e+02	9.358859709783290e-16	1.700000000000474e+00	
