"Density","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
326.41,0.097827,3634.2,-0.0068835,0,2.9297e+06,537.98,1,1.5911,-12.289,0,0
326.41,0.097877,3636,-0.005218,0,2.9297e+06,537.98,1,1.6167,-12.264,0,0
326.41,0.097929,3637.9,-0.0030431,0,2.9297e+06,537.98,1,1.6424,-12.238,0,0
326.4,0.09798,3639.8,-0.00086823,0,2.9297e+06,537.98,1,1.6681,-12.212,0,0
326.4,0.098032,3641.6,0.0013066,0,2.9296e+06,537.98,1,1.6937,-12.187,0,0
326.4,0.098086,3643.6,-0.0019797,0,2.9296e+06,537.98,1,1.7194,-12.161,0,0
326.4,0.098142,3645.6,-0.007034,0,2.9296e+06,537.98,1,1.745,-12.135,0,0
326.4,0.098197,3647.6,-0.012088,0,2.9296e+06,537.98,1,1.7707,-12.11,0,0
326.4,0.098253,3649.6,-0.017143,0,2.9296e+06,537.98,1,1.7964,-12.084,0,0
326.39,0.098311,3651.7,-0.016663,0,2.9295e+06,537.98,1,1.822,-12.058,0,0
326.39,0.09837,3653.9,-0.015274,0,2.9295e+06,537.98,1,1.8477,-12.033,0,0
326.39,0.098429,3656,-0.013884,0,2.9295e+06,537.98,1,1.8734,-12.007,0,0
326.39,0.098488,3658.1,-0.012494,0,2.9295e+06,537.97,1,1.899,-11.981,0,0
326.39,0.098551,3660.4,-0.0084399,0,2.9294e+06,537.97,1,1.9247,-11.956,0,0
326.38,0.098615,3662.7,-0.0042803,0,2.9294e+06,537.97,1,1.9503,-11.93,0,0
326.38,0.098678,3665,-0.00012072,0,2.9294e+06,537.97,1,1.976,-11.904,0,0
326.38,0.098742,3667.3,0.0035445,0,2.9294e+06,537.97,1,2.0017,-11.879,0,0
326.38,0.098809,3669.7,0.00012638,0,2.9293e+06,537.97,1,2.0273,-11.853,0,0
326.38,0.098876,3672.2,-0.0032918,0,2.9293e+06,537.97,1,2.053,-11.827,0,0
326.37,0.098944,3674.6,-0.0067099,0,2.9293e+06,537.97,1,2.0787,-11.802,0,0
326.37,0.099012,3677.1,-0.010412,0,2.9292e+06,537.97,1,2.1043,-11.776,0,0
326.37,0.099083,3679.7,-0.015371,0,2.9292e+06,537.97,1,2.13,-11.751,0,0
326.37,0.099155,3682.2,-0.02033,0,2.9292e+06,537.97,1,2.1556,-11.725,0,0
326.37,0.099226,3684.8,-0.025289,0,2.9292e+06,537.97,1,2.1813,-11.699,0,0
326.36,0.099299,3687.4,-0.029064,0,2.9291e+06,537.97,1,2.207,-11.674,0,0
326.36,0.099374,3690.2,-0.030124,0,2.9291e+06,537.97,1,2.2326,-11.648,0,0
326.36,0.099449,3692.9,-0.031184,0,2.9291e+06,537.97,1,2.2583,-11.622,0,0
326.36,0.099525,3695.6,-0.032244,0,2.929e+06,537.97,1,2.284,-11.597,0,0
326.35,0.099602,3698.4,-0.030515,0,2.929e+06,537.97,1,2.3096,-11.571,0,0
326.35,0.099682,3701.3,-0.024979,0,2.929e+06,537.97,1,2.3353,-11.545,0,0
326.35,0.099762,3704.2,-0.019444,0,2.9289e+06,537.97,1,2.3609,-11.52,0,0
326.35,0.099842,3707.1,-0.013909,0,2.9289e+06,537.97,1,2.3866,-11.494,0,0
326.34,0.099925,3710.1,-0.0080773,0,2.9289e+06,537.97,1,2.4123,-11.468,0,0
326.34,0.10001,3713.1,-0.001996,0,2.9288e+06,537.97,1,2.4379,-11.443,0,0
326.34,0.10009,3716.2,0.0040852,0,2.9288e+06,537.97,1,2.4636,-11.417,0,0
326.33,0.10018,3719.2,0.010166,0,2.9288e+06,537.97,1,2.4893,-11.391,0,0
326.33,0.10027,3722.4,0.010631,0,2.9287e+06,537.97,1,2.5149,-11.366,0,0
326.33,0.10036,3725.6,0.008221,0,2.9287e+06,537.97,1,2.5406,-11.34,0,0
326.33,0.10045,3728.9,0.005811,0,2.9287e+06,537.97,1,2.5662,-11.314,0,0
326.32,0.10054,3732.1,0.0034011,0,2.9286e+06,537.97,1,2.5919,-11.289,0,0
326.32,0.10063,3735.5,0.003378,0,2.9286e+06,537.97,1,2.6176,-11.263,0,0
326.32,0.10072,3738.9,0.0040252,0,2.9285e+06,537.97,1,2.6432,-11.237,0,0
326.31,0.10082,3742.3,0.0046725,0,2.9285e+06,537.97,1,2.6689,-11.212,0,0
326.31,0.10091,3745.7,0.0053197,0,2.9285e+06,537.97,1,2.6946,-11.186,0,0
326.31,0.10101,3749.3,0.0052861,0,2.9284e+06,537.97,1,2.7202,-11.16,0,0
