"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,       1.910903957,       3.525327776,      -4.818005987,       7.509330077
          0,           0,           1,       1.906969506,       3.601725046,     0.02791896617,       7.518229058
          0,           0,           2,       1.902941868,         3.5897979,      0.3424469272,       7.514176724
          0,           0,           3,        1.89893066,       3.577806874,      0.5201104341,       7.510141416
          0,           0,           4,       1.894935849,       3.565749705,      0.6437225603,        7.50612309
          0,           0,           5,       1.890957403,       3.553624064,      0.7381680457,       7.502121701
          0,           0,           6,       1.886995288,       3.541427557,       0.814327647,       7.498137207
          0,           0,           7,       1.883049472,       3.529157726,      0.8779430059,       7.494169563
          0,           0,           8,        1.87911992,       3.516812048,       0.932416823,       7.490218726
          0,           0,           9,       1.875206601,       3.504387932,      0.9799326233,       7.486284654
          0,           0,          10,       1.871309481,       3.491882725,       1.021975504,       7.482367304
          0,           0,          11,       1.867428527,       3.479293708,       1.059601486,       7.478466633
          0,           0,          12,       1.863563706,         3.4666181,       1.093588366,       7.474582599
          0,           0,          13,       1.859714985,       3.453853057,       1.124525599,        7.47071516
          0,           0,          14,       1.855882332,       3.440995681,       1.152870579,       7.466864274
          0,           0,          15,       1.852065714,       3.428043016,       1.178985355,       7.463029901
          0,           0,          16,       1.848265099,       3.414992058,        1.20316141,       7.459211999
          0,           0,          17,       1.844480454,       3.401839762,       1.225636883,       7.455410527
          0,           0,          18,       1.840711747,       3.388583046,       1.246608832,       7.451625446
          0,           0,          19,       1.836958946,       3.375218803,       1.266242171,       7.447856715
          0,           0,          20,        1.83322202,       3.361743914,       1.284676296,       7.444104295
          0,           0,          21,       1.829500936,       3.348155259,       1.302030092,       7.440368145
          0,           0,          22,       1.825795665,       3.334449741,       1.318405766,       7.436648229
          0,           0,          23,       1.822106173,         3.3206243,       1.333891826,       7.432944506
          0,           0,          24,       1.818432431,       3.306675944,       1.348565422,       7.429256938
          0,           0,          25,       1.814774408,       3.292601778,       1.362494212,       7.425585489
          0,           0,          26,       1.811132074,       3.278399038,       1.375737852,        7.42193012
          0,           0,          27,       1.807505398,       3.264065139,       1.388349213,       7.418290794
          0,           0,          28,       1.803894351,       3.249597724,       1.400375369,       7.414667475
          0,           0,          29,       1.800298903,       3.234994725,       1.411858415,       7.411060127
          0,           0,          30,       1.796719026,       3.220254435,       1.422836146,       7.407468713
          0,           0,          31,       1.793154689,       3.205375593,       1.433342619,       7.403893199
          0,           0,          32,       1.789605865,       3.190357485,       1.443408635,        7.40033355
          0,           0,          33,       1.786072525,       3.175200059,       1.453062136,        7.39678973
          0,           0,          34,       1.782554642,       3.159904065,       1.462328553,       7.393261706
          0,           0,          35,       1.779052188,       3.144471213,       1.471231092,       7.389749444
          0,           0,          36,       1.775565135,       3.128904361,       1.479790993,       7.386252911
          0,           0,          37,       1.772093456,       3.113207733,       1.488027739,       7.382772074
          0,           0,          38,       1.768637126,       3.097387167,       1.495959248,         7.3793069
          0,           0,          39,       1.765196118,       3.081450408,       1.503602038,       7.375857358
          0,           0,          40,       1.761770406,       3.065407435,       1.510971365,       7.372423415
          0,           0,          41,       1.758359964,       3.049270838,       1.518081352,       7.369005042
          0,           0,          42,       1.754964768,       3.033056243,       1.524945095,       7.365602206
