"C<sub>p</sub>","Conservative_1","Conservative_2","Conservative_3","Conservative_4","Mach","Pressure","Temperature","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-3.5722e+17,60.795,3296.4,0.15627,2.0473e+07,0.57491,8.0644e+05,539.38,0.89208,1,0.065525,0.065525,0,0
-3.5991e+17,60.713,3305.4,0.1528,2.0445e+07,0.57693,8.0571e+05,539.36,0.89127,1,0.065648,0.065648,0,0
-3.626e+17,60.63,3314.4,0.14934,2.0417e+07,0.57895,8.0498e+05,539.34,0.89046,1,0.065771,0.065771,0,0
-3.6529e+17,60.548,3323.4,0.14588,2.0388e+07,0.58097,8.0424e+05,539.32,0.88965,1,0.065894,0.065894,0,0
-3.6804e+17,60.464,3332.3,0.14811,2.036e+07,0.58301,8.0349e+05,539.3,0.88882,1,0.066017,0.066017,0,0
-3.7081e+17,60.38,3341.3,0.15212,2.0331e+07,0.58506,8.0273e+05,539.28,0.88798,1,0.06614,0.06614,0,0
-3.7358e+17,60.295,3350.2,0.15613,2.0302e+07,0.5871,8.0198e+05,539.26,0.88714,1,0.066263,0.066263,0,0
-3.7635e+17,60.211,3359.2,0.16014,2.0273e+07,0.58915,8.0122e+05,539.24,0.88631,1,0.066386,0.066386,0,0
-3.7917e+17,60.125,3368.1,0.157,2.0244e+07,0.59121,8.0045e+05,539.22,0.88545,1,0.066509,0.066509,0,0
-3.8202e+17,60.038,3377,0.15075,2.0215e+07,0.59328,7.9967e+05,539.19,0.88459,1,0.066632,0.066632,0,0
-3.8486e+17,59.952,3386,0.14451,2.0185e+07,0.59534,7.989e+05,539.17,0.88373,1,0.066755,0.066755,0,0
-3.8771e+17,59.865,3394.9,0.13826,2.0156e+07,0.59741,7.9812e+05,539.15,0.88287,1,0.066878,0.066878,0,0
-3.9061e+17,59.778,3403.8,0.13636,2.0126e+07,0.59949,7.9733e+05,539.13,0.882,1,0.067001,0.067001,0,0
-3.9353e+17,59.689,3412.6,0.13693,2.0096e+07,0.60158,7.9653e+05,539.11,0.88112,1,0.067124,0.067124,0,0
-3.9646e+17,59.601,3421.5,0.13751,2.0065e+07,0.60368,7.9573e+05,539.09,0.88023,1,0.067247,0.067247,0,0
-3.9939e+17,59.512,3430.4,0.13809,2.0035e+07,0.60577,7.9493e+05,539.06,0.87935,1,0.067369,0.067369,0,0
-4.0236e+17,59.423,3439.3,0.14357,2.0005e+07,0.60787,7.9412e+05,539.04,0.87845,1,0.067492,0.067492,0,0
-4.0537e+17,59.332,3448.1,0.15271,1.9974e+07,0.60999,7.933e+05,539.02,0.87754,1,0.067615,0.067615,0,0
-4.0838e+17,59.242,3456.9,0.16185,1.9943e+07,0.6121,7.9247e+05,539,0.87663,1,0.067738,0.067738,0,0
-4.1139e+17,59.151,3465.8,0.17099,1.9912e+07,0.61421,7.9165e+05,538.97,0.87572,1,0.067861,0.067861,0,0
-4.1445e+17,59.059,3474.6,0.17344,1.9881e+07,0.61634,7.9082e+05,538.95,0.8748,1,0.067984,0.067984,0,0
-4.1754e+17,58.967,3483.4,0.16949,1.9849e+07,0.61848,7.8997e+05,538.93,0.87386,1,0.068107,0.068107,0,0
-4.2064e+17,58.874,3492.1,0.16554,1.9818e+07,0.62062,7.8913e+05,538.9,0.87293,1,0.06823,0.06823,0,0
-4.2374e+17,58.782,3500.9,0.16158,1.9786e+07,0.62276,7.8828e+05,538.88,0.87199,1,0.068353,0.068353,0,0
-4.2687e+17,58.688,3509.7,0.15946,1.9754e+07,0.6249,7.8742e+05,538.86,0.87104,1,0.068476,0.068476,0,0
-4.3005e+17,58.593,3518.4,0.15958,1.9722e+07,0.62706,7.8655e+05,538.83,0.87008,1,0.068599,0.068599,0,0
-4.3323e+17,58.499,3527.1,0.15971,1.969e+07,0.62922,7.8569e+05,538.81,0.86912,1,0.068722,0.068722,0,0
-4.3641e+17,58.404,3535.8,0.15984,1.9657e+07,0.63139,7.8482e+05,538.79,0.86816,1,0.068845,0.068845,0,0
-4.3963e+17,58.309,3544.5,0.16023,1.9625e+07,0.63355,7.8394e+05,538.76,0.86719,1,0.068968,0.068968,0,0
-4.429e+17,58.212,3553.1,0.16103,1.9592e+07,0.63574,7.8305e+05,538.74,0.8662,1,0.069091,0.069091,0,0
-4.4616e+17,58.115,3561.8,0.16183,1.9559e+07,0.63792,7.8216e+05,538.71,0.86522,1,0.069214,0.069214,0,0
-4.4943e+17,58.018,3570.4,0.16263,1.9526e+07,0.6401,7.8126e+05,538.69,0.86423,1,0.069336,0.069336,0,0
-4.5272e+17,57.921,3579,0.16347,1.9493e+07,0.64229,7.8036e+05,538.66,0.86323,1,0.069459,0.069459,0,0
-4.5608e+17,57.822,3587.6,0.16438,1.9459e+07,0.6445,7.7945e+05,538.64,0.86222,1,0.069582,0.069582,0,0
