"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"C<sub>p</sub>"	"Mach"
0	-1.188049000000000e+01	4.999286000000000e+00	1.801289618629792e+01	3.000175931897192e-06	2.515192181477806e-07	6.519419822161611e+06	4.000000000816517e+05	4.800000000033103e+02	4.361479660106167e+08	1.159297825488634e-09	
1	7.026130999999999e-02	1.000245000000000e+00	1.801289618232911e+01	2.598371891123438e-06	5.230236486806535e-10	6.519419820637056e+06	3.999999999991552e+05	4.799999999999371e+02	-4.512692479485596e+06	1.000526933313401e-09	
2	1.178200000000000e+01	3.225390000000000e+00	1.801289620318101e+01	-4.420271668608256e-07	2.645761166190306e-08	6.519419828647040e+06	4.000000004325898e+05	4.800000000176610e+02	2.310706554958164e+09	1.705112340282462e-10	
3	-1.188049000000000e+01	0.000000000000000e+00	1.801289618505904e+01	2.926651075490800e-06	-9.570230690218771e-08	6.519419821685720e+06	4.000000000559003e+05	4.800000000022574e+02	2.985951046988278e+08	1.127536180628642e-09	
4	7.026130999999999e-02	0.000000000000000e+00	1.801289618236903e+01	2.597003731196753e-06	-3.170004709869322e-16	6.519419820652383e+06	3.999999999999847e+05	4.799999999999708e+02	-8.177195274250460e+04	1.000000090521898e-09	
5	1.178200000000000e+01	0.000000000000000e+00	1.801289620316140e+01	-4.387889360111677e-07	-2.452397480443744e-08	6.519419828639504e+06	4.000000004321821e+05	4.800000000176444e+02	2.308528560551467e+09	1.692233861193224e-10	
6	-1.388049000000000e+01	4.999286000000000e+00	3.901384233413460e+01	4.939152898563368e+03	8.836957122962465e+00	1.490441837622876e+07	7.898968226063764e+05	4.905158462042711e+02	2.082659007819850e+18	9.771146289069752e-01	
7	-1.388049000000000e+01	0.000000000000000e+00	3.901396520318858e+01	4.939174874660248e+03	-8.856245671039051e+00	1.490446833893381e+07	7.898988749032583e+05	4.905158992254185e+02	2.082669970295921e+18	9.771165409181891e-01	
8	-1.158245072495361e+01	4.991278888119031e+00	1.801289618269793e+01	2.604159737877667e-06	1.882694329337836e-09	6.519419820778729e+06	4.000000000068215e+05	4.800000000002505e+02	3.643764432605453e+07	1.002755838521799e-09	
9	-1.128478302676629e+01	4.974390610767063e+00	1.801289618280743e+01	2.595849164734125e-06	-5.602999546321367e-09	6.519419820820795e+06	4.000000000090977e+05	4.800000000003437e+02	4.859585892697810e+07	9.995578425063172e-10	
10	-1.098775111658989e+01	4.948635816639405e+00	1.801289618299204e+01	2.594201745217507e-06	-7.974409520771484e-09	6.519419820891708e+06	4.000000000129350e+05	4.800000000005005e+02	6.909294718780272e+07	9.989258795384810e-10	
11	-1.069161905745449e+01	4.914037156950121e+00	1.801289618316689e+01	2.595061566090990e-06	-1.033927798563731e-08	6.519419820958871e+06	4.000000000165692e+05	4.800000000006490e+02	8.850554658487883e+07	9.992601730156636e-10	
12	-1.039664984730001e+01	4.870627198693895e+00	1.801289618334738e+01	2.592767566847458e-06	-1.203496122134959e-08	6.519419821028206e+06	4.000000000203211e+05	4.800000000008024e+02	1.085465152461854e+08	9.983796718216575e-10	
13	-1.010310619046540e+01	4.818441011901032e+00	1.801289618347235e+01	2.593396243475892e-06	-1.382759120579086e-08	6.519419821076207e+06	4.000000000229186e+05	4.800000000009086e+02	1.224213190147567e+08	9.986251887028745e-10	
14	-9.811248503495213e+00	4.757528373963184e+00	1.801289618367912e+01	2.591912859178422e-06	-1.627310360693994e-08	6.519419821155637e+06	4.000000000272168e+05	4.800000000010843e+02	1.453802716170838e+08	9.980594739393700e-10	
15	-9.521336421522788e+00	4.687942208059366e+00	1.801289618385066e+01	2.590772548252647e-06	-1.812826826459637e-08	6.519419821221543e+06	4.000000000307827e+05	4.800000000012305e+02	1.644275400465841e+08	9.976251380177568e-10	
16	-9.233627627879894e+00	4.609744256661737e+00	1.801289618402290e+01	2.590036468109877e-06	-2.022157850820878e-08	6.519419821287702e+06	4.000000000343629e+05	4.800000000013767e+02	1.835516057092684e+08	9.973476778300448e-10	
