"Iteration","CLift","CDrag","CSideForce","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
           0, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.99011233e+00, 5.27427758e+00, -1.09836286e+01, 8.59598391e+00, 0.00000000e+00, 1.0000000000, 0.0100000000, 0.0005622383
           1, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.00709797e+00, 5.29821796e+00, 1.44847166e+00, 8.61247343e+00, 0.00000000e+00, 1.0000000000, 0.0100000000, 0.0011067010
           2, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.02071199e+00, 5.31902144e+00, 1.74727392e+00, 8.62570891e+00, 0.00000000e+00, 1.0000000000, 0.0100000000, 0.0016514551
           3, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.03111451e+00, 5.33667343e+00, 1.92034489e+00, 8.63583409e+00, 0.00000000e+00, 1.0000000000, 0.0100000000, 0.0021946228
           4, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.03833181e+00, 5.35107842e+00, 2.04150727e+00, 8.64285635e+00, 0.00000000e+00, 1.0000000000, 0.0100000000, 0.0025526768
           5, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.04225316e+00, 5.36204270e+00, 2.13389371e+00, 8.64664449e+00, 0.00000000e+00, 1.0000000000, 0.0100000000, 0.0029046693
           6, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.04262419e+00, 5.36925706e+00, 2.20778841e+00, 8.64692223e+00, 0.00000000e+00, 1.0000000000, 0.0100000000, 0.0032352660
           7, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.03906369e+00, 5.37233203e+00, 2.26864979e+00, 8.64328781e+00, 0.00000000e+00, 1.0000000000, 0.0100000000, 0.0035854326
           8, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.03116992e+00, 5.37091654e+00, 2.31970772e+00, 8.63532418e+00, 0.00000000e+00, 1.0000000000, 0.0100000000, 0.0039370518
           9, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.01879277e+00, 5.36466928e+00, 2.36304601e+00, 8.62284858e+00, 0.00000000e+00, 1.0000000000, 0.0100000000, 0.0042736379
