"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
202.89,7.5001e+07,1.7,17306,6.4526e-12,0,1.4999e+06,1.5773e-15,569.84,1,0,0,0.4,0
202.89,7.5001e+07,1.7,17306,6.9436e-12,0,1.4999e+06,1.0894e-15,569.84,1,0.001,0.001,0.4,0
202.89,7.5001e+07,1.7,17306,7.4345e-12,0,1.4999e+06,6.0157e-16,569.84,1,0.002,0.002,0.4,0
202.89,7.5001e+07,1.7,17306,7.9255e-12,0,1.4999e+06,1.1371e-16,569.84,1,0.003,0.003,0.4,0
202.89,7.5001e+07,1.7,17306,8.4165e-12,0,1.4999e+06,-3.7414e-16,569.84,1,0.004,0.004,0.4,0
202.89,7.5001e+07,1.7,17306,8.9075e-12,0,1.4999e+06,-8.62e-16,569.84,1,0.005,0.005,0.4,0
202.89,7.5001e+07,1.7,17306,9.3985e-12,0,1.4999e+06,-1.3499e-15,569.84,1,0.006,0.006,0.4,0
202.89,7.5001e+07,1.7,17306,9.8894e-12,0,1.4999e+06,-1.8377e-15,569.84,1,0.007,0.007,0.4,0
202.89,7.5001e+07,1.7,17306,1.038e-11,0,1.4999e+06,-2.3256e-15,569.84,1,0.008,0.008,0.4,0
202.89,7.5001e+07,1.7,17306,1.0855e-11,0,1.4999e+06,-2.8309e-15,569.84,1,0.009,0.009,0.4,0
202.89,7.5001e+07,1.7,17306,1.125e-11,0,1.4999e+06,-3.4182e-15,569.84,1,0.01,0.01,0.4,0
202.89,7.5001e+07,1.7,17306,1.1646e-11,0,1.4999e+06,-4.0056e-15,569.84,1,0.011,0.011,0.4,0
202.89,7.5001e+07,1.7,17306,1.2042e-11,0,1.4999e+06,-4.593e-15,569.84,1,0.012,0.012,0.4,0
202.89,7.5001e+07,1.7,17306,1.2438e-11,0,1.4999e+06,-5.1803e-15,569.84,1,0.013,0.013,0.4,0
202.89,7.5001e+07,1.7,17306,1.2833e-11,0,1.4999e+06,-5.7677e-15,569.84,1,0.014,0.014,0.4,0
202.89,7.5001e+07,1.7,17306,1.3229e-11,0,1.4999e+06,-6.355e-15,569.84,1,0.015,0.015,0.4,0
202.89,7.5001e+07,1.7,17306,1.3625e-11,0,1.4999e+06,-6.9424e-15,569.84,1,0.016,0.016,0.4,0
202.89,7.5001e+07,1.7,17306,1.4021e-11,0,1.4999e+06,-7.5298e-15,569.84,1,0.017,0.017,0.4,0
202.89,7.5001e+07,1.7,17306,1.4416e-11,0,1.4999e+06,-8.1171e-15,569.84,1,0.018,0.018,0.4,0
202.89,7.5001e+07,1.7,17306,1.4301e-11,0,1.4999e+06,-8.8403e-15,569.84,1,0.019,0.019,0.4,0
202.89,7.5001e+07,1.7,17306,1.4087e-11,0,1.4999e+06,-8.1942e-15,569.84,1,0.02,0.02,0.4,0
202.89,7.5001e+07,1.7,17306,1.3862e-11,0,1.4999e+06,-7.2626e-15,569.84,1,0.021,0.021,0.4,0
202.89,7.5001e+07,1.7,17306,1.347e-11,0,1.4999e+06,-6.4555e-15,569.84,1,0.022,0.022,0.4,0
202.89,7.5001e+07,1.7,17306,1.3061e-11,0,1.4999e+06,-5.6602e-15,569.84,1,0.023,0.023,0.4,0
202.89,7.5001e+07,1.7,17306,1.2653e-11,0,1.4999e+06,-4.8649e-15,569.84,1,0.024,0.024,0.4,0
202.89,7.5001e+07,1.7,17306,1.2244e-11,0,1.4999e+06,-4.0695e-15,569.84,1,0.025,0.025,0.4,0
202.89,7.5001e+07,1.7,17306,1.1836e-11,0,1.4999e+06,-3.2742e-15,569.84,1,0.026,0.026,0.4,0
202.89,7.5001e+07,1.7,17306,1.1427e-11,0,1.4999e+06,-2.4789e-15,569.84,1,0.027,0.027,0.4,0
202.89,7.5001e+07,1.7,17306,1.1019e-11,0,1.4999e+06,-1.6835e-15,569.84,1,0.028,0.028,0.4,0
202.89,7.5001e+07,1.7,17306,1.061e-11,0,1.4999e+06,-8.882e-16,569.84,1,0.029,0.029,0.4,0
202.89,7.5001e+07,1.7,17306,1.0202e-11,0,1.4999e+06,-9.2865e-17,569.84,1,0.03,0.03,0.4,0
202.89,7.5001e+07,1.7,17306,9.7933e-12,0,1.4999e+06,7.0247e-16,569.84,1,0.031,0.031,0.4,0
202.89,7.5001e+07,1.7,17306,9.3848e-12,0,1.4999e+06,1.4978e-15,569.84,1,0.032,0.032,0.4,0
202.89,7.5001e+07,1.7,17306,8.9764e-12,0,1.4999e+06,2.2931e-15,569.84,1,0.033,0.033,0.4,0
202.89,7.5001e+07,1.7,17306,8.6095e-12,0,1.4999e+06,2.5714e-15,569.84,1,0.034,0.034,0.4,0
202.89,7.5001e+07,1.7,17306,8.2915e-12,0,1.4999e+06,2.2425e-15,569.84,1,0.035,0.035,0.4,0
202.89,7.5001e+07,1.7,17306,7.9736e-12,0,1.4999e+06,1.9136e-15,569.84,1,0.036,0.036,0.4,0
202.89,7.5001e+07,1.7,17306,7.6556e-12,0,1.4999e+06,1.5847e-15,569.84,1,0.037,0.037,0.4,0
202.89,7.5001e+07,1.7,17306,7.3377e-12,0,1.4999e+06,1.2559e-15,569.84,1,0.038,0.038,0.4,0
202.89,7.5001e+07,1.7,17306,7.0197e-12,0,1.4999e+06,9.2698e-16,569.84,1,0.039,0.039,0.4,0
202.89,7.5001e+07,1.7,17306,6.7017e-12,0,1.4999e+06,5.9809e-16,569.84,1,0.04,0.04,0.4,0
202.89,7.5001e+07,1.7,17306,6.3838e-12,0,1.4999e+06,2.6921e-16,569.84,1,0.041,0.041,0.4,0
202.89,7.5001e+07,1.7,17306,6.2169e-12,0,1.4999e+06,-3.1531e-18,569.84,1,0.042,0.042,0.4,0
