"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,          55,       -2.71274929,     -0.6155229864,      -1.252653464,       3.299907259,       -3.08635631,       3.791938192
          0,           0,          56,       -2.62164405,     -0.4534673463,      -1.093723731,       3.387801358,      -3.079750597,        4.14942302
          0,           0,          57,      -2.568222835,     -0.3584378654,        -1.0285475,       3.442535266,      -3.112702847,       4.408301265
          0,           0,          58,      -2.219938315,      0.1476045705,     -0.5236511009,       3.790155309,      -2.985905906,       3.885318057
          0,           0,          59,      -2.174163126,    -0.04337921591,     -0.7483675959,       3.842671433,      -3.198368058,       4.511663167
          0,           0,          60,      -1.905881181,      0.3009810994,     -0.6405187933,       4.104166698,       -3.33812693,        3.85341661
          0,           0,          61,      -1.969294588,      0.2078419137,     -0.7385127597,        4.03739316,      -3.474354356,       4.219583996
          0,           0,          62,      -1.941284748,      0.3056496567,     -0.6684120942,       4.060635922,      -3.697290089,       4.852007213
          0,           0,          63,        -1.8819651,      0.4718662343,     -0.3252080794,       4.129782669,      -3.597052305,       3.939202177
          0,           0,          64,      -2.018426887,      0.2800276997,     -0.6132345976,       3.985682294,      -3.674706341,       4.894975331
          0,           0,          65,      -2.160956969,      0.1504187921,     -0.5715091904,       3.841871396,      -3.502650073,       4.580592327
          0,           0,          66,      -2.391050406,    -0.05519961159,     -0.7166778395,       3.605399793,      -3.460897666,       3.947089777
          0,           0,          67,      -2.633425337,     -0.2086711239,     -0.7799035779,       3.375409154,       -3.47676947,       4.606130277
          0,           0,          68,      -2.801425572,     -0.3971164212,     -0.9282012675,       3.211599738,      -3.556342355,       4.631289601
          0,           0,          69,      -2.756854204,     -0.3331219471,      -1.034246374,       3.245939607,      -3.538978883,       4.175729623
          0,           0,          70,      -2.842807158,     -0.3034848944,      -1.039811959,       3.156542588,      -3.479540579,       4.368246338
          0,           0,          71,      -2.604005865,     0.06673713738,     -0.6725843022,       3.392832626,      -3.177166168,       4.058379673
          0,           0,          72,      -2.469597237,      -0.445938642,     -0.8950998204,       3.535143779,      -3.140745325,       4.548605156
          0,           0,          73,      -2.892905611,     -0.7683077427,     -0.9858703825,       3.126747332,       -3.41772181,       3.498989365
          0,           0,          74,      -3.182962276,      -1.033949375,      -1.297302581,       2.842691416,      -3.621208635,        4.27332017
          0,           0,          75,      -3.393148684,      -1.190949028,      -1.414265439,       2.633923814,      -3.620288006,       3.220062027
          0,           0,          76,      -3.501602876,      -1.257613607,       -1.63616503,       2.523665621,      -3.627319393,       4.021817342
          0,           0,          77,      -3.581720891,      -1.318262574,      -1.726140804,       2.443188195,      -3.584733952,       4.281876222
          0,           0,          78,      -3.249778816,      -1.067225504,      -1.177098747,       2.778718557,      -3.466031885,       3.487746184
          0,           0,          79,      -3.543985256,      -1.281573726,      -1.574257594,        2.48287679,      -3.503653662,       4.313076753
          0,           0,          80,      -3.575754555,      -1.329969337,      -1.568172625,       2.451035587,      -3.456184931,       3.188219594
          0,           0,          81,      -3.686371036,      -1.364489985,      -1.817071544,       2.339349999,      -3.474758278,       3.937032547
          0,           0,          82,      -3.744219537,      -1.412129021,      -1.862486957,       2.280643224,      -3.469912888,       3.000476792
          0,           0,          83,      -3.784812887,      -1.417104689,      -2.027075874,       2.239736378,       -3.46640507,       3.398790709
          0,           0,          84,       -3.81044617,       -1.45057122,      -1.958371949,       2.213481578,      -3.458204807,       3.001466639
          0,           0,          85,      -3.843131511,      -1.451707053,       -2.10902737,       2.180600905,       -3.44753097,       3.115577049
          0,           0,          86,      -3.844621165,      -1.469048986,      -1.971207281,       2.179166442,      -3.435940407,       3.028198716
          0,           0,          87,      -3.879560275,      -1.471130307,       -2.12901059,       2.143876169,      -3.423588854,       3.232587471
          0,           0,          88,      -3.869666729,      -1.476530867,      -1.988320747,       2.154333522,      -3.411870117,       2.980662197
          0,           0,          89,      -3.906949241,      -1.480448511,      -2.143807845,       2.116534057,      -3.398911059,       3.323689994
          0,           0,          90,       -3.89383517,      -1.481945045,      -2.006731006,       2.130335371,      -3.387902358,       2.945726547
          0,           0,          91,      -3.932855285,      -1.487485892,      -2.159116996,       2.090653234,      -3.374428274,       3.329496351
          0,           0,          92,      -3.919365281,      -1.487420175,      -2.027807399,        2.10483257,      -3.364198685,       2.936034866
          0,           0,          93,      -3.959617902,      -1.494311513,      -2.175800197,       2.063821615,       -3.35024214,       3.276759565
          0,           0,          94,      -3.947079097,      -1.496514271,      -2.050734075,       2.077123354,      -3.340739624,       2.927044375
          0,           0,          95,      -3.988581917,      -1.503176994,      -2.194134522,       2.034807374,      -3.326379295,       3.209899563
          0,           0,          96,      -3.976542099,       -1.50558363,      -2.074545292,        2.04770185,      -3.317315467,       2.922865108
          0,           0,          97,      -4.019016538,      -1.513093977,      -2.212232711,        2.00430925,      -3.302791945,       3.163855292
          0,           0,          98,      -4.005813269,      -1.514929161,      -2.098641752,       2.018532393,      -3.294216333,       2.920053627
          0,           0,          99,      -4.048922499,      -1.522858781,      -2.230621211,       1.974327065,      -3.279789049,        3.14322263
          0,           0,         100,      -4.032959492,      -1.523727835,      -2.120299594,       1.991330617,      -3.271931317,       2.916493477
          0,           0,         101,      -4.077305193,      -1.531694142,      -2.247788646,       1.945976652,      -3.257785324,       3.134526066
          0,           0,         102,      -4.058570835,      -1.531191881,      -2.140912784,       1.965660789,      -3.250581055,       2.913653259
          0,           0,         103,      -4.104079646,      -1.539672399,      -2.264367888,       1.919264055,       -3.23681803,       3.120323799
          0,           0,         104,      -4.084300908,       -1.54016673,      -2.161744155,       1.939982938,       -3.22989663,       2.910285943
          0,           0,         105,      -4.131915271,      -1.548221942,      -2.281083141,       1.891385022,      -3.216677654,       3.107047895
          0,           0,         106,      -4.113705446,      -1.548569724,      -2.183649969,       1.910580507,      -3.210373012,       2.909412825
          0,           0,         107,       -4.16134301,      -1.556275041,      -2.298179777,       1.861871571,      -3.197544114,       3.091663071
          0,           0,         108,      -4.141790728,      -1.557027525,      -2.203988027,       1.882641126,      -3.190622164,       2.909578927
          0,           0,         109,      -4.189463311,      -1.564349382,      -2.313844678,       1.833761561,      -3.177920628,       3.078421596
          0,           0,         110,      -4.169423302,      -1.565406045,       -2.22361538,       1.855158829,      -3.169253273,       2.910328152
          0,           0,         111,      -4.216858982,      -1.572486063,      -2.329441136,         1.8064058,        -3.1560494,       3.066665875
          0,           0,         112,      -4.196890219,      -1.573733168,      -2.242787408,       1.827779889,      -3.142262987,       2.911161066
          0,           0,         113,      -4.245473087,      -1.580577736,      -2.343628443,       1.777782231,      -3.127190983,       3.056244926
