Mach,Pressure,Temperature,p,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,entropy,total enthalpt
22,0.17831,895240.0,541.88,0.99031,1,0.0027046,0.0027046,0,0,705.1163759035893,350020.7557293634
23,0.17834,895240.0,541.88,0.99031,1,0.0028276,0.0028276,0,0,705.1163759035893,350020.79659605067
24,0.17837,895240.0,541.88,0.99031,1,0.0029505,0.0029505,0,0,705.1163759035893,350020.83746961306
25,0.17841,895230.0,541.88,0.9903,1,0.0030734,0.0030734,0,0,705.1176191679103,350021.4289480347
26,0.17845,895230.0,541.88,0.9903,1,0.0031964,0.0031964,0,0,705.1176191679103,350021.483470395
27,0.17849,895230.0,541.88,0.99029,1,0.0033193,0.0033193,0,0,705.1176191679103,350021.5380049779
28,0.17853,895220.0,541.88,0.99029,1,0.0034422,0.0034422,0,0,705.118862409969,350022.12951047975
29,0.17857,895220.0,541.88,0.99029,1,0.0035652,0.0035652,0,0,705.118862409969,350022.1840708691
30,0.17861,895210.0,541.88,0.99028,1,0.0036881,0.0036881,0,0,705.1201056297664,350022.77558987204
31,0.17866,895210.0,541.88,0.99028,1,0.003811,0.003811,0,0,705.1201056297664,350022.8438245282
32,0.1787,895200.0,541.88,0.99027,1,0.003934,0.003934,0,0,705.1213488273048,350023.43536043196
33,0.17875,895200.0,541.88,0.99027,1,0.0040569,0.0040569,0,0,705.1213488273048,350023.50363116915
34,0.1788,895200.0,541.88,0.99026,1,0.0041799,0.0041799,0,0,705.1213488273048,350023.5719210057
35,0.17885,895190.0,541.88,0.99025,1,0.0043028,0.0043028,0,0,705.1225920025868,350024.17715445365
36,0.17891,895180.0,541.88,0.99025,1,0.0044257,0.0044257,0,0,705.1238351556149,350024.79606396554
37,0.17896,895180.0,541.88,0.99024,1,0.0045487,0.0045487,0,0,705.1238351556149,350024.86441832996
38,0.17902,895170.0,541.87,0.99024,1,0.0046716,0.0046716,0,0,705.0819254150379,350002.0740640916
39,0.17907,895170.0,541.87,0.99023,1,0.0047945,0.0047945,0,0,705.0819254150379,350002.1424477449
40,0.17913,895160.0,541.87,0.99022,1,0.0049175,0.0049175,0,0,705.0831687974223,350002.76157143747
41,0.17919,895160.0,541.87,0.99022,1,0.0050404,0.0050404,0,0,705.0831687974223,350002.8436865774
42,0.17925,895150.0,541.87,0.99021,1,0.0051634,0.0051634,0,0,705.0844121575365,350003.46285638324
43,0.17931,895140.0,541.87,0.9902,1,0.0052863,0.0052863,0,0,705.0856554953833,350004.08204275725
44,0.17938,895140.0,541.87,0.9902,1,0.0054092,0.0054092,0,0,705.0856554953833,350004.1779474631
