nodeID,x[-],y[-],u[m/s],v[m/s],c[m/s],M[-],d[kg/m3],T[K],P[Pa],s[J/kgK],h[J/kg],G[-],theta[deg]
625,0.0209413,1.00002,69.8629,0.146125,66.148,1.05616,252.664,527.145,2.18053e+06,871.42,399640,1.41897,0.119839
674,0.0416681,1.00009,70.1282,0.292925,66.0314,1.06205,251.59,527.026,2.17584e+06,871.42,399622,1.40992,0.239323
723,0.0621328,1.00019,70.3829,0.436652,65.921,1.06771,250.555,526.91,2.17134e+06,871.42,399604,1.40144,0.355456
772,0.0822958,1.00034,70.6389,0.581431,65.8117,1.07338,249.511,526.792,2.1668e+06,871.42,399586,1.39314,0.471593
821,0.102122,1.00052,70.886,0.723148,65.7077,1.07887,248.498,526.678,2.16243e+06,871.42,399568,1.3853,0.584486
870,0.121579,1.00074,71.1331,0.865162,65.6051,1.08434,247.482,526.563,2.15805e+06,871.42,399550,1.37764,0.696831
919,0.140636,1.00099,71.3719,1.00391,65.5073,1.08963,246.497,526.451,2.15381e+06,871.42,399533,1.37039,0.805863
968,0.15926,1.00127,71.6071,1.14123,65.4122,1.09485,245.523,526.34,2.14964e+06,871.42,399516,1.36339,0.913071
1017,0.17742,1.00157,71.8331,1.27434,65.3221,1.09985,244.585,526.232,2.14563e+06,871.42,399500,1.35678,1.01634
1066,0.195083,1.0019,72.0528,1.40449,65.2355,1.10471,243.669,526.127,2.14173e+06,871.42,399484,1.35046,1.1167
1115,0.21222,1.00225,72.2697,1.53326,65.1511,1.10951,242.762,526.023,2.13787e+06,871.42,399468,1.34431,1.21539
1164,0.228795,1.00262,72.4785,1.65793,65.0708,1.11413,241.887,525.922,2.13416e+06,871.42,399453,1.33847,1.3104
1213,0.244774,1.003,72.679,1.77821,64.9946,1.11856,241.045,525.824,2.1306e+06,871.42,399438,1.33293,1.40156
1262,0.260115,1.00338,72.874,1.8956,64.9214,1.12288,240.223,525.728,2.12713e+06,871.42,399424,1.32759,1.49004
1311,0.274777,1.00378,73.0612,2.00874,64.8518,1.12701,239.432,525.636,2.1238e+06,871.42,399410,1.32251,1.57489
1360,0.28871,1.00417,73.238,2.11606,64.7869,1.13092,238.684,525.549,2.12066e+06,871.42,399397,1.31775,1.65498
1409,0.301854,1.00456,73.4022,2.21617,64.7271,1.13454,237.987,525.467,2.11774e+06,871.42,399384,1.31336,1.72936
1458,0.314141,1.00494,73.5593,2.31211,64.6706,1.13801,237.32,525.389,2.11494e+06,871.42,399373,1.30918,1.80032
1507,0.325491,1.0053,73.7039,2.40075,64.619,1.1412,236.704,525.316,2.11237e+06,871.42,399362,1.30534,1.86563
1556,0.335797,1.00564,73.8334,2.48043,64.5731,1.14405,236.151,525.251,2.11007e+06,871.42,399352,1.30191,1.92412
1605,0.344921,1.00595,73.9505,2.55255,64.532,1.14663,235.652,525.192,2.10798e+06,871.42,399343,1.29882,1.97689
1654,0.352661,1.00622,74.0493,2.6136,64.4976,1.14881,235.229,525.141,2.10622e+06,871.42,399336,1.29621,2.02144
1703,0.358685,1.00643,74.1233,2.65936,64.472,1.15044,234.912,525.104,2.10491e+06,871.42,399330,1.29426,2.05475
1752,0.362342,1.00657,74.1706,2.68869,64.4556,1.15148,234.71,525.08,2.10406e+06,871.42,399326,1.29301,2.07606
1801,0.365459,1.00668,74.2117,2.71419,64.4414,1.15239,234.533,525.059,2.10333e+06,871.42,399323,1.29193,2.09458
1850,0.371378,1.0069,74.288,2.76155,64.4153,1.15406,234.206,525.02,2.10197e+06,871.42,399318,1.28992,2.12891
1899,0.379145,1.00719,74.3845,2.82156,64.3824,1.15619,233.792,524.971,2.10026e+06,871.42,399310,1.28738,2.17231
1948,0.38841,1.00755,74.5047,2.89651,64.3417,1.15883,233.275,524.909,2.09812e+06,871.42,399301,1.28421,2.22636
1997,0.398982,1.00796,74.6387,2.98023,64.2967,1.16177,232.699,524.84,2.09573e+06,871.42,399291,1.28067,2.28653
2046,0.410744,1.00844,74.7899,3.07506,64.2465,1.16509,232.047,524.762,2.09304e+06,871.42,399279,1.27667,2.35444
2095,0.423611,1.00898,74.9523,3.17719,64.1932,1.16865,231.346,524.678,2.09015e+06,871.42,399267,1.27237,2.42729
2144,0.437525,1.00958,75.1326,3.29116,64.1347,1.1726,230.567,524.584,2.08694e+06,871.42,399253,1.26757,2.50822
2193,0.452439,1.01024,75.3214,3.41092,64.0743,1.17674,229.749,524.485,2.08358e+06,871.42,399238,1.26251,2.59286
2242,0.468319,1.01097,75.525,3.54075,64.0102,1.18119,228.865,524.378,2.07995e+06,871.42,399222,1.25702,2.68416
2291,0.485139,1.01177,75.7417,3.67964,63.9431,1.18591,227.922,524.263,2.0761e+06,871.42,399206,1.25112,2.78133
2340,0.502879,1.01265,75.9676,3.82517,63.8745,1.19083,226.938,524.143,2.07207e+06,871.42,399188,1.2449,2.88256
2389,0.521522,1.01361,76.2042,3.97833,63.8041,1.19597,225.904,524.016,2.06786e+06,871.42,399169,1.23831,2.98848
2438,0.541057,1.01465,76.4566,4.14308,63.7307,1.20144,224.8,523.88,2.06337e+06,871.42,399149,1.23116,3.10175
2487,0.561477,1.01578,76.7186,4.31516,63.6565,1.2071,223.65,523.738,2.05871e+06,871.42,399128,1.22361,3.2193
2536,0.582774,1.017,76.9906,4.49495,63.5816,1.21296,222.454,523.589,2.05387e+06,871.42,399107,1.21561,3.34131
2585,0.604945,1.01831,77.2729,4.68278,63.5063,1.21901,221.211,523.434,2.04885e+06,871.42,399084,1.20712,3.46791
2634,0.627988,1.01974,77.5659,4.87918,63.4309,1.22526,219.917,523.272,2.04364e+06,871.42,399061,1.19808,3.59937
2683,0.651905,1.02127,77.8729,5.08706,63.355,1.23177,218.559,523.1,2.03818e+06,871.42,399036,1.18835,3.73754
2732,0.676696,1.02292,78.1902,5.30362,63.2801,1.23846,217.153,522.922,2.03254e+06,871.42,399010,1.17799,3.88041
2781,0.702366,1.0247,78.518,5.5292,63.2067,1.24532,215.697,522.737,2.02672e+06,871.42,398983,1.16694,4.02809
2830,0.728917,1.0266,78.8563,5.76411,63.1355,1.25233,214.192,522.544,2.02071e+06,871.42,398955,1.15514,4.18068
2879,0.756355,1.02864,79.2053,6.00868,63.067,1.2595,212.636,522.343,2.01452e+06,871.42,398926,1.14254,4.33827
2928,0.784686,1.03083,79.5651,6.26324,63.0021,1.2668,211.03,522.134,2.00813e+06,871.42,398896,1.12906,4.50095
2977,0.885686,1.0393,80.8526,7.19008,62.8223,1.29208,205.27,521.376,1.98534e+06,871.42,398786,1.07662,5.08184
3026,0.974703,1.04762,81.9879,8.02943,62.742,1.313,200.187,520.691,1.96531e+06,871.42,398687,1.0248,5.59339
